place,info,문의 및 안내,홈페이지,주소,이용시간,휴일,주차,이용가능시설,시설이용료,접근로,출입통로,review,체험가능 연령,화장실,입장료,장애인 주차 안내,엘리베이터,유모차,수유실,휠체어,지정현황,주차요금,이용요금,주요시설,대중 교통,지체장애 기타 상세,판매 품목,관람석,점자 홍보물,오디오 가이드,주차 요금,객실수,예약안내,예약안내 홈페이지,청각 장애 기타상세,시각장애 기타상세,개장기간,규모,이용 시기,수용인원,영업시간,대표메뉴,취급메뉴,대여안내,보유장비,부대시설,보조견 동반,점자 블록,안내 요원,코스안내,할인 정보,수화 안내,자막 비디오 가이드,입실시간,퇴실시간,객실내 취사 여부,바비큐장여부,세미나실 여부,객실유형,입점브랜드,식음료장,객실,유도안내 설비,영유아가족 기타상세,체험
완초장,"완초장은 왕골로 돗자리 등의 기물을 만드는 공예기술 또는 장인을 말한다. 1996년 5월 1일 국가무형문화재로 지정되었다. 기능보유자는 경기도 강화군 강화읍 신문리에 사는 이상재선생이다. 현재 가내수공업으로 꽃삼합, 폐백동구리, 보석함 등을 판매하고 있다. 완초장이란 왕골로 기물을 만드는 사람을 말한다. 왕골은 논 또는 습지에서 자라는 1, 2년생 풀로서 키는 60∼200㎝에 이르며 완초, 용수초, 현완, 석룡초라고도 한다. 왕골제품으로는 자리, 돗자리, 방석, 송동이, 합 등이 있다. 왕골이 신라시대에 이미 사용되었음은 삼국사기의 기록을 통해 알 수 있다. 고려때에는 사직신의 신위에 왕골자리를 깔았으며, 왕실에서 주로 사용하였고, 중국에 보내는 증여품으로도 사용되었다. 조선시대에 이르러서는 매우 귀한 제품으로 궁중이나 상류계층에서 사용하였고, 외국과의 중요한 교역품으로도 쓰였다. 현존하는 왕골제품을 통해 본 제작기법으로는 도구를 이용하는 두 가지 방법과 손으로 엮는 방법이 있다. 도구를 이용하는 방법 중 한 가지는 고드랫돌에 맨 두 가닥 실을 자리틀에 걸고 자리알을 두가닥 실로 엮는 노경소직(날줄이 겉으로 들어나 보이며 성글게 짜여진 기법)의 자리와 방석이 있으며 또 하나는 돗틀에 씨실을 촘촘히 걸어 긴 대바늘에 꿴 자리알을 넣으면서 바디로 눌러 다져서 짜는 은경밀직(날줄이 겉으로 들어나지 않으면서 촘촘히 짜여진 기법)의 돗방석과 돗자리가 있다.
손으로 엮는 방법으로는 왕골 4날을 반으로 접어 총 8개의 날줄을 정(井)자형으로 엮은 후 두 개의 씨줄을 엮어 만드는 8각, 원형의 방석이 있고, 삼합, 송동이(작은 바구니) 등도 모두 이 기법을 이용하여 만든다. 왕골제품은 역사가 오랜 생활문화유산으로, 한때 단절위기도 있었지만 1970년 이후 그 제작활동이 활발히 이루어졌다. 지금까지의 왕골제품은 깔 것과 용기에 불과하였으나, 염색과 굵기의 조절이 용이하며 특별한 도구 없이도 다양한 기물을 창작할 수 있는 좋은 소재이므로 전통적인 제작기법을 계속 이어나가기 위해 국가무형문화재로 지정하였으며, 이상재가 기능보유자로 인정되어 있다.",,http://www.cha.go.kr,인천광역시 강화군 강화읍 충렬사로22번길 8-1,유동적 영업,유동적 휴무,,,,,,,,,,,,,,,,,,,,,"꽃삼합, 폐백동구리, 보석함 등",,,,,,,,,,,40평 가내수공업,,,,,,,,,,,,,,,,,,,,,,,,,,,
실미해수욕장,실미해수욕장은 무의도 북서쪽 해안에 자리한다. 약 2km에 걸쳐 초승달 형태의 백사장이 펼쳐져 있으며 해변을 따라서 100년 된 아름드리 소나무들이 촘촘하게 숲을 이루고 있다. 솔숲은 한낮에도 짙은 그늘을 만들어 쾌적하고 시원하다. 야영하기 좋은 환경 덕분에 차박 명소로 알려져 있다. 서울이나 수도권에서 당일치기 캠핑으로도 많이 찾는다. 해변의 송림은 한낮에도 햇살 한점 들어오지 않을 정도로 우거져 있다. 해수욕장 서쪽으로는 실미도가 손에 잡힐 듯 가깝게 보인다. 실미해수욕장과 실미도 사이에는 하루 두 차례 바닷물이 빠지면서 너른 모래벌판이 드러나는데 이 길을 따라 실미도까지 걸어갈 수 있다. 실미도는 2003년 말 개봉한 684부대의 비극적인 실화를 그린 작품 영화 ‘실미도’의 촬영지이기도 하다. 지금은 세트장이 모두 철거되어 흔적이 없다.,,https://itour.incheon.go.kr/,인천광역시 중구 큰무리로 99 (무의동),"- 월요일~목요일 08:00~19:00
- 금요일~일요일, 공휴일 07:00~21:00",연중무휴,"가능
요금 (3,000원)",,"[프로그램]
- 일반 10,000원
- 청소년 6,000원
[텐트야영비]
- 당일 5,000원
- 1박 2일 10,000원
※ 이용요금은 변동될 수 있으므로 홈페이지 참고",,,"처음으로 가족과 함께 차박을 하게 되었어요. 날짜를 너무 잘 잡아서 ㅠㅠ 비가 오고 바람이 많이 불어서 힘들기도 했어요. 준비 해간것도 다 하지 못하고 차에서 트렁크 조금 열었다 닫았다 하면서 ㅋㅋ 갈매기 소리 파도소리와 추억을 만들었네요. 물이 빠진 실미도 길도 걸어봤어요 비바람때문에 우산도 뒤집어졌고 차는 엉망이 되었지만 그래도 즐거웠어요. 소나무 아래 바다뷰 너무 좋아요. 강추합니다....
더보기 실미도 해수욕장에 가보니 예전에 봤던 실미도 가 생각이 났습니다 유료라서 좀 망설였는데 그래 들어가 보니 좋긴 좋았습니다 사람도 없고 이곳이 예전에 그 곳이라니 참 많은 것이 생각나는 그런 장소 같습니다 가족과도 가도 좋은 것 같습니다 유료여서 안들어가다가 이번에 처음 들어가 봤는데 캠핑하는 사람들 정말 많더라구요 ! 하나개에 사람이 너무 많아서 정신 없었는데 저렴한 입장료로 훨씬 쾌적하게 바다 잘 보고 왔어요 푸른 바다와 숲의 정취를 느낄 수 있는 해수욕장 입니다.초승달 형태의 백사장이 펼쳐져 있으며 해변을 따라서 100년 된 아름드리 소나무들이 촘촘하게 숲을 이루고 있어 경치가 매우 아름다워 가족과 가기 정말 좋아요 텐트야영비라고 하는데 텐트치고 놀다와도 된다는건가요? 아니면 거기서 텐트쳐논거 대여해서 놀다오는건가요? 서해쪽이라서 물때를 잘 맞추면 동해 부럽지 않아요~ 물빠졌을때도 이것저것 볼게 많아요~^^ 물 빠지고 얼마 안있어서 다시 찬다고 하더라구요 무서워서 입구쪽만 쓱 돌고 나왔는데 바닷길이 신비로웠어요!! 그리고 하얀 굴이 엄청 많은데 신비로운 섬 느낌이 났어요ㅎㅎㅎ",,있음,"2,000원",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,갯벌 체험
원인재,"인천 이씨 중시조인 이허겸의 묘 앞에 세운 건물이다. 중시조란 이름이 별로 없던 성(姓)씨를 가진 집안을 일으켜 세운 선조를 말한다. ‘고려사’에 보면 그의 선조는 신라 때부터 지금의 인천인 소성현에 살았는데, 신라 사신으로 중국 당나라에 갔다가 천자로부터 성(姓)을 받았다고 한다. 그러나 인천 이씨가 고려시대 귀족대열에 낄 수 있게 된 것은 이허겸 때부터로, 그의 손녀 3명이 모두 현종의 비(妃)가 되었다. 첫째 손녀는 원성황후로 덕종과 정종 두 왕을, 둘째 손녀는 문종을 낳았다. 그 뒤 문종에서 인종에 이르기까지 7대에 걸쳐 귀족정치의 막강한 파벌을 이루었다. 이 건물을 언제 세웠는지 정확한 시기는 알 수 없으나 32대 손과 33대 손의 글을 통해, 조선 순조 7년(1807) 혹은 고종 4년(1835)에 세운 것으로 보인다. 원래는 근처 신지마을에 있었으나 택지개발로 지금 있는 자리로 옮겼다.

(출처 : 국가유산청)",,https://www.khs.go.kr/main.html,인천광역시 연수구 경원대로 322 (연수동),상시 개방,연중무휴,"가능
요금 (무료)",,,,,"서울에서 가깝고 고즈넉한 고택의 맛을 느낄수 있어 추천합니다. 아이들의 역사교육에 강추 인천에 사는 사람이라면 한번쯤 가보기 좋은 장소입니다. 다만, 실제로 거주하시는 분이 계시기 때문에 에티켓을 지켜야해요. 주변이 벚나무가 많아서 벚꽃시즌에 가면 정말 아름답습니다! 집근처에 이런장소가 있을줄 몰랐어요 너무좋네요",,,무료,,,,,,인천광역시 문화유산자료 원인재 (1990.11.09 지정),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
부도 등대,"물오리가 두둥실 떠서 오수를 즐기는 모습을 닮았다고 해서 부도라는 이름이 붙여졌다고 한다. 도깨비가 많다고 하여 도깨비 섬이라고도 하며, 많은 도깨비를 쫓기 위해 도깨비가 제일 싫어하는 피와 소금을 섞는다는 의미로 피염도라고도 불리운다. 부도는 인천항 관문에 위치하고 있어 1904년 다른 지역보다 먼저 이곳 부도에 등대가 설치되었다. 그 위치의 중요성에 걸맞게 항로표지의 주요 기능인 광파, 전파, 음파표지를 모두 갖춘 등대이다. 이 등대의 등탑은 높이 15.2m, 지름 3m 규모로 불빛은 15초에 한 번씩 반짝인다. 2001년에는 국내 최초로 회전식 대형등명기를 설치하여 약 50km의 먼 곳에 있는 선박에서도 식별이 가능하도록 광력을 증강하였다. 2005년 5월에 조류의 방향과 세기를 측정할 수 있는 조류신호시스템을 설치하여 실시간 조류 정보를 제공하여 인천항 입출항 선박의 안전 운항에 기여하고 있다.",,https://www.ongjin.go.kr/open_content/tour/,인천광역시 옹진군 영흥면 선미로 142-1,,연중무휴,,,,,,,전연령,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
인천 푸른벗말,"푸른벗말마을 구봉산 정상에서는 영종도[永宗島] 등 서해의 섬들을 한눈에 굽어볼 수 있으며, 1992년 시도[矢島]까지 길이 579m의 연도교[連島橋]가 설치되었다. 섬의 북쪽과 남쪽에 2개의 산지가 솟아 있고, 남서부에 큰 만입[灣入]이 있으며, 섬 주위를 넓은 간석지가 둘러싸고 있다. 경지면적이 비교적 넓어 주민 대부분이 농업에 종사한다. 해변에서는 망둥어·맛조개 등이 많이 잡히며, 당도가 뛰어난 포도가 재배된다. 예로부터 신도는 소금맛으로 유명한데, 바닷물을 농도 짙은 간수로 만들어 큰 가마솥에다 넣고 군불을 때 조려 만든다.",,,인천광역시 옹진군 북도면 신도로 577,상시 개방,연중무휴,가능,,,,,,,있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
용궁사(인천),"신라 문무왕 10년(670년)에 원효대사가 창건하여 산 이름을 딴 백운사라 하였다. 흥선대원군 이하응이 이 절에 머물면서 10년 동안 기도를 하였다고 한다. 1864년에 고종이 왕위에 오르자, 흥선대원군은 절을 옛터에 옮겨 짓고, 구담사에서 용궁사로 이름을 바꾸었다. 일설에는 영종도 중산 월촌에 사는 윤공이란 어부가 꿈을 꾼 뒤 바다에서 작은 옥불을 어망으로 끌어올려 이 절에 봉안했다는 전설에 따라 붙여진 이름이라고도 한다. 흥선대원군이 중건한 관음전과 대원군의 친필 현판이 걸려 있는 대방, 그리고 칠성각과 용황각 등의 객사가 남아 있다. 관음전에는 관음상이 고풍스러운 후불탱화를 배경으로 앉아있다. 절 기둥에는 해강 김규진이 쓴 시가 새겨져 있다. 절 입구에는 수령 1,000년이 넘는 느티나무 고목 두 그루가 서 있으며 용궁사로 향하는 오솔길은 빽빽이 들어선 나무숲들 사이로 나 있어 삼림욕도 동시에 즐길 수 있다.",,https://itour.incheon.go.kr,인천광역시 중구 운남로 199-1 (운남동),상시 개방,연중무휴,"가능
요금 (무료)",,,,,"인천 사는 사람이라 그런지 가끔 고즈넉한 용궁사를 찾곤 하다가 오랜만에 들렀더니 새롭게 단장한 느낌이 있었네요. 경내 사는 강아지도 명물이네요. 작은 사찰인데 소원 바위에서 소원을 빌어보는것도 즐거운 일일것 같았습니다. 벼르고 벼르다 드뎌 찾아간 용궁사~ 새단장을 하여서 그런지 사찰 가운도 좋고 아기자기 이쁘게 꾸며 놓으셨네요^^ 소원 바위에 소원 빌고 간절히 돌려봅니다^^ 담에 또 기도하러 올게요_()_ 큰 사찰은 아니에요 용궁사 가는 길이 숲길이어서 참 좋습니다 아기자기하게 꾸며져 있어서 잠시 들러서 산책하기에 좋아요 1000년된 고찰이라고 해서 기대를 안고 갔습니다. 규모가 큰 사찰은 아니었지만, 오래된만큼 1000살이 넘는 느티나무도 볼 수 있었고 고즈넉한 분위기, 좋은 공기덕에 편히 산책하다 와서 좋았습니다. :)",,있음,무료,,,,,,인천광역시 유형문화유산 용궁사 (1990.11.09 지정),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
계양산 산림욕장,"계양산 둘레길이 시작되는 곳에 위치한 계양산 산림욕장은 총면적 73,379㎡로 2012년~2020년까지 조성된 숲이다. 편백나무, 자작나무, 미선나무 등의 관목과 섬시호 등 다양한 수목들로 구성되어 있다. 자연 생태관찰로가 있어 계절의 변화에 따른 계양산의 다양한 모습을 살펴볼 수 있고, 건강지압로가 있어 혈액순환을 개선해 심신의 안정을 얻을 수 있다. 산책로 중간중간 운동시설과 정자, 나무 테이블이 있어 본인의 체력에 맞게 맞춤 운동을 할 수 있다. 모든 길이 나무 테크로 되어있고 무장애 나눔길도 있어 장애인이나 노약자, 임산부 등 누구든지 안전하고 편리하게 산림욕을 즐길 수 있다. 산림욕장으로부터 계양산 둘레길이 시작되어 계양산 중턱까지 오를 수 있다.",,https://www.gyeyang.go.kr,인천광역시 계양구 임학동 산10번지 일원,상시 개방,연중무휴,"가능
요금 (무료)",출렁다리 / 팔각정 / 육각정 / 광장데크 / 건강지압로 등,,출입구까지 무단차로 연결되나 공원 산책로 중 산길 있음,주출입구는 단차가 없어 휠체어 접근 가능 함,데크와 둘레길이 잘돼있어서 산책하면서 산림욕 하기 좋아요 계양산 집 근처라 접근성도 좋고 둘레길이 잘 되어있어서 산책하기 좋아요~ 자주 가요! 데크가 잘 되어 있어 운동하기 좋아요 코스로 장미원 계양산도 잘 연결되어 있어 운동 산책하기 좋은 동네예요 계양산 등산 후 둘레길 코스 정해서 가면 좋아요 코스도 계속 새로 만들고 있어 둘레길만 다니는 것도 운동되고 좋아요 계양산은 자주 가는 곳이에요. 너무 높지도 낮지도 않아서 한두시간 걷기 운동하기에 좋아요. 정상에 가는 길은 계단이라 좀 힘들지만 운동하기에도 좋고 공기도 무척 좋아요 아직 꽃이 활짝피진 않았는데 꽃도 피고 데크도 개방하면 다시 놀러가야겠어요. 예쁘고 한적하고 깨끗하고 관리도 잘되어있어요,,장애인 전용 화장실 있음(계양산 산림욕장 공중화장실),무료,"장애인 전용 주차구역 있음(3대,공중화장실 앞)_무장애 편의시설",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(구)인천일본제58은행지점,"이 건물은 일본 오사카에 본점을 둔 제58은행의 인천지점으로, 일제강점기 조선에서의 금융 활동을 위해 설립되었다. 이후 여러 은행들과 합병되어 야스다은행으로 이름이 바뀌었다. 광복 이후에는 조흥은행 인천지점으로 사용되었으나, 1958년 조흥은행이 새로운 건물을 지어 이전하면서 이 건물은 대한적십자사 경기도지사로 활용되었다. 현재는 인천 중구 요식업조합 사무실로 사용되고 있다. 건물은 2층 규모로, 드물게 볼 수 있는 발코니와 지붕창이 특징이다. 특히 2중 경사로 된 지붕 구조는 프랑스식 분위기를 자아내며, 전반적으로 르네상스 양식을 따르는 독특한 외관을 지니고 있다. 이러한 건축적 가치 덕분에 근대 건축유산으로서 보존 가치가 높다.",,https://www.khs.go.kr/main.html,인천광역시 중구 신포로23번길 69-1 중구음식업지부,09:00~18:00,연중무휴,불가능,,,,,1892년에 지어진 건물이 아직 유용하게 쓰이고 있다니 신가할 따름입니다.. 도대체 얼마나 튼튼하게 지었길래 지금까지 쓰일 수 있는 것인지 궁금합니다! 일본 침략을 기념하는것도 아니고…. 저런 치부를 관광지로 한다는것도 이해가 안가고…. 조선총독부 철거 하듯이 없애 버렸으면 좋겠다,,,무료,,,,,,인천광역시 유형문화유산 인천 구 일본제58은행 (1993. 07. 06 지정),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BMW 드라이빙센터,"이곳에서 가장 인기 있는 프로그램은 드라이빙 체험이다. BMW 차량을 이용하여 트랙을 시원하게 질주할 수 있다. 아웃토반의 나라 독일의 차답게 달리는 쾌감을 여과 없이 제공한다. 또한 아이들을 대상으로 자동차의 구조와 과학적 원리를 배울 수 있는 주니어 캠퍼스와 교통안전교육 및 교통법규의 이해를 돕기 위한 키즈 드라이빙 스쿨, 다양한 문화행사와 이벤트가 개최되는 국내에 지어진 세계 최초의 자동차 복합 문화 공간이다.",,https://driving-center.bmw.co.kr,인천광역시 중구 공항동로 136 (운서동),09:00~18:00,매주 월요일,가능,"브랜드 체험 센터, 드라이빙 트랙, 서비스센터, 라이프스타일샵, 레스토랑, 주니어 캠퍼스, 핸드오버 익스피리언스 라운지 등",,출입구까지 턱이 없어 휠체어 접근 가능함,주출입구는 턱이 없어 휠체어 접근 가능함(회전문/수동문),이곳에 방문했던날 비가오고 날씨가 무척 안좋았어요 그래도 다행히 실내라 bmw 구경하고 2층에있는 커피숍에서 차 달리는거 구경했네요 자동차 좋아하는 5세아이가 좋아했어요 요즘 같이 날씨가 춥고 실내에 가볼만 곳으로 추천합니다.다양한 BMW 자동차를 타보기도 하고 사진도 찍고 구경하는 재미가 쏠쏠한 곳입니다.BMW의 다양한 모델이 전시되어 있고 가장 가까이에서 다양한 콘셉트의 자동차들만도 구경할 수가 있습니다.또 멋진 디자인의 바이크들도 직접 만져도 보고 타볼 수도 있어서 추천합니다.,초등학교 1학년~6학년,,무료,"장애인 주차장 있음(5대,장애인 표지판)_무장애 편의시설",엘리베이터 있음,대여가능,수유실 있음,,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,점자블록 있음 (주출입구)_시각장애인 편의시설,안내요원 있음,,,,,,,,,,,,,,,,드라이빙 프로그램 / 주니어 캠퍼스 실험실 / 주니어 캠퍼스 워크숍 등
덕적도 갈대 군락지,"인천광역시 옹진군에 속한 덕적도는 서해 최대 규모의 갈대 군락지와 배낭 여행하기 좋은 비조봉 코스로 유명하다. 반짝이는 물결을 따라 살랑거리는 금빛 갈대의 리듬에 맞춰 군락지를 걸어보면 가을을 만끽하기에 충분하다. 비조봉 정상에는 팔각정 조망대가 있어 배낭여행을 즐기기에 좋으며, 이곳에서는 일몰과 일출을 모두 볼 수 있고 고개만 들면 둥근 보름달과 반짝이는 별을 파노라마로 바라볼 수 있어 가을의 낭만적인 분위기를 한껏 더 느낄 수 있다. 덕적도는 육지에서 1시간 정도 소요되는 비교적 가까운 거리에 있어 당일치기나 1박 2일 여행을 즐기기에도 좋다.",,www.ongjin.go.kr,인천광역시 옹진군 덕적면 덕적북로 130,상시 개방,연중무휴,"가능
요금 (무료)",,,,,곧 덕적 갈건데 참고 했어여! 시간이 많지를 않아서 서울 근교로 찾아보다가 알게된 곳입니다. 갈대밭이 생각보다 크고 너무 예뻐서 놀랐어요 좋은 사진도 추억도 잔뜩 가져온 곳이라서 또 가려고 합니다 지난주덕적도 비조봉 등산했어요~~ 정상에 오르니 탁트인 바다를 보니 힘든 산행이였지만 너무 좋네요~~ 덕적도 몇 해전부터 계획만 세우고 가지를 못했어요... 이번 가을에는 꼭 방문해서 갈대군락지도 함께 구경하고싶네요 아직도 무더위인데 수도권에서 가까운 섬이면 좋죠 힐링 여행,,있음,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[강화 나들길 제5코스] 고비고개길,"강화나들길은 해안을 따라 1.3km마다 자리한 돈대와 강화산성, 고려왕릉을 돌며 강화도를 찬찬히 들여다보는 도보 여행길이다. 탐방로를 천천히 걸으며 강화도의 역사, 생태, 생활, 문화를 다양하게 접할 수 있는 길로 구성되며 총 20개 코스가 있다. 강화는 섬 전체가 박물관이라 해도 과언이 아닐 만큼 유적지가 많은 곳이다.
[강화 나들길 제5코스] 고비고개길은 강화버스터미널에서 외포여객터미널까지 20.2㎞를 잇는 구간으로 6시간 40분 정도 소요된다. 옛사람들이 강화장터를 가기 위해 이용했던 길을 복원한 제5코스는 높지 않은 산길을 수 시간 동안 거닐며 삼림욕을 즐길 수 있다. 강화를 동서로 연결하던 옛길로 고천리에서 나무꾼과 장사꾼들이 등짐을 지고 고비고개를 넘어 강화장터로 가던 길과 2개의 저수지를 도는 풍경, 내가시장에서 만나는 소박한 시골장 풍경 등을 볼 수 있으며 덕산산림욕장의 상쾌한 숲길과 외포어시장의 볼거리는 도보여행의 진수를 느끼게 해준다.",,"http://www.nadeulgil.org
http://cafe.daum.net/vita-walk",인천광역시 강화군 강화읍 청하동길 24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[강화 나들길 제5코스] 고비고개길
* 강화버스터미널-외포여객터미널
* 거리 : 20.2km
* 소요시간 : 6시간 40분
* 구간 : 강화버스터미널 - 남문 - 서문 - 국화저수지 - 홍릉 - 오상리고인돌군 - 내가시장 - 덕산산림욕장 - 곶창굿당 - 망양돈대 - 외포여객터미널
* 완주도장 받는 곳
* 출발지 : 강화버스터미널 관광안내소, 준석상회
* 도착지 : 외포리 관광안내소, 성안정식당",,,,,,,,,,,,,,,
[강화 나들길 제1코스] 심도역사문화길,"강화 나들길은 해안을 따라 1.3km마다 자리한 돈대와 강화산성 사이를 잇는 길, 그리고 고려왕릉을 에둘러 도는 길 등을 이어 만든 탐방로를 가리킨다. 또한 산과 들판, 바다와 같은 자연과 문화재를 함께 즐기며 걸을 수 있는 길이다. 심도역사 문화길은 고려시대의 임시수도로서 도서지역의 특성을 잘 간직하고 있는 강화산성, 고려궁지 , 용흥궁, 강화성공회한옥성당과 아늑한 대산마을 벌판을 보며 연미정으로 가는 길은 옛 정취를 그대로 느낄 수 있는 고향 같은 길이다.",,https://www.ganghwa.go.kr/,인천광역시 강화군 강화읍 청하동길 24,상시 개방,연중무휴,불가능,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"길이 : 18km
소요시간 : 약 6시간
구간 : 강화버스터미널 - 용흥궁 - 강화향교 - 연미정 - 갑곶돈대",,,,,,,,,,,,,,,
[인천 개항 누리길] 1시간 코스,"인천역 부근 개항장 일대에 조성된 인천 개항 누리길은 근대 개항기 역사와 문화를 체험하며 걷는 테마길이다. [인천의 올레길]로 불리는 누리길(세상을 즐기는 길)은 인천광역시 중구에서 2006년부터 운영해 온 도보 관광 코스로 근대 역사 건축물 등 문화유적에 대한 해박한 지식을 갖춘 문화관광해설사의 재미있고 유익한 해설을 들으며 도보로 관광할 수 있는 테마관광코스이다.
인천역을 중심으로 모두 세 개의 도보 코스가 나뉘며 1시간 코스는 인천역을 출발해 차이나타운거리와 짜장면박물관, 해안성당 앞, 대불호텔 전시관, 인천개항박물관, 인천개항장 근대건축전시관, 아트플랫폼으로 이어진다.
인천 개항 누리길은 별도의 참가비는 없으나 10명 이상의 개인이나 단체가 3일 전까지 사전 예약을 하면 문화관광해설사의 안내를 받아 도보로 탐방할 수 있다.",,https://itour.incheon.go.kr,인천광역시 중구 제물량로218번길 3 (해안동1가),"매주 화~일요일 (10:00 ~ 17:00)
※ 해설안내는 예약이 필수이며 상황에 따라 취소 및 변경될 수 있으니 사전 확인 필요",매주 월요일,있음,,,,,"인천개항 누리길은 인천항 개항 당시 근대 역사의 유산을 살펴볼 수 있고 한국의 근대화와 국제 교류의 중심지로 발전했던 인천 역사를 담고 있는 곳이라 그런지 걷는 내내 과거와 현재가 공존하는 독특한 풍경을 느낄 수 있었어요. 차이나타운, 신포국제시장, 근대건축물거리등 tv에서 이미 많이 봤던 곳을 실제로 보니 더 반가웠어요. 개항장 코스를 따라서 다녀보고 있는데 현재와 과거의 조화를 풍경으로 느낄수있어서 좋았어요 사진찍을곳도 많고 예쁜 카페도 많아서 좋아요 130여년전 문물이 들어왔던 개항장거리에는 군데군데 당시의 흔적들이 남아있다.걸으면서 개항장 거리에 살았던 다양한 인물들의 이야기,그들의 애환과 천지개벽과 같은 제물포항의 희노애락을 상상하며 걸어본다. 국제도시였던 당시의 제물포,인천여행은 오래도록 뇌리에 남는 여행이다. 도시 속 도보로 여행 가능한 곳 시원한 바다바람에 취해 100 여년 전 시간으로 떠나보아요 도심에서 떠나는 시간여행. 뚜벅이 도보여행자를 위한 알찬 코스입니다. 자유공원에서 인천 앞바다를 조망하며 시원한 뷰도 보고~ 개항장에선 근대 문화도 느낄 수 있죠. 무엇보다 수도권에선 당일치기가 가능하단 게 큰 매력이에요. 때때로 훌쩍 떠나도 좋은 곳, 그래서 종종 방문한답니다. 생각보다 볼것도 많고 은근 알차게 재밌어요 서울에서 가깝고 바다를 볼 수 있는 곳입니다. 더구나 차이나타운 등 이색적인 관광지도 있고 근현대 시간 여행을 할 수도 있습니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
인천나비공원,"부평숲 인천나비공원은 나비를 주제로 조성된 자연공원이다. 도심 가까이에서 자연을 직접 느끼고 체험할 수 있는 자연 학습 공간으로, 나비의 생태와 숲 속 생태계를 배울 수 있는 다양한 시설을 갖추고 있다. 공원 내에는 배추흰나비 등 나비가 번데기에서 성충으로 변화하는 과정을 관찰하며 생태계를 학습할 수 있는 자연교육센터와, 실제 살아 있는 나비를 가까이서 만나볼 수 있도록 투망 구조로 만들어진 나비 생태원이 마련되어 있다. 이를 통해 나비의 생태와 더불어 환경 보호의 중요성도 자연스럽게 배울 수 있다. 이외에도 해바라기, 메밀, 벼 등이 자라는 ‘흙의 정원’, 계절별 야생화를 관찰할 수 있는 ‘들꽃동산’, 수서곤충과 물고기, 양서류 등을 관찰할 수 있는 ‘습지원’이 있다. 또한, 재활용 자재로 만든 타악기를 직접 연주해 볼 수 있는 ‘소리동산’, 물속에서 자라는 식물을 관찰할 수 있는 ‘수생식물원’도 조성되어 있다.",,https://portal.icbp.go.kr/butterflypark/,인천광역시 부평구 평천로 26-47,"- 하절기(3~10월) 09:00~18:00
- 동절기(11~2월) 10:00~17:00
※ 퇴장시간 1시간 전까지 입장 가능","매주 월요일 / 1월 1일 / 설날·추석
※ 야외시설(흙의 정원, 들꽃동안 등)은 연중무휴","가능
요금 (무료)",나비생태관 / 자연교육센터 / 숲체험장 / 소리동산 / 들꽃동산,,출입구까지 경사로가 설치되어 있음(완만함),주 출입구는 턱이 없어 휠체어 접근 가능함(자동문),나비공원 데크가 잘되어있어 오르며 경치보기 좋습니다 작지만 알차게 좋습니다. 유치원에서도 단체로 오고 아이들이 체험할것도 있고요. 소풍가기 딱 좋아요,,장애인 화장실 있음,무료,장애인 주차장 있음(4대)_무장애 편의시설,엘리베이터 있음(자연교육센터 내),,수유실 있음(자연교육센터 1층),,,,,,,,,,,,,,,,,,,,,,,,,,,,,점자블록 있음(주요시설 앞)_시각장애인 편의시설,,,,,,,,,,,,,,,,"수유실 내 소파 있음 화장실 내 기저귀 교환대, 유아 변기 커버 있음",
