place,info,문의 및 안내,홈페이지,주소,이용시간,휴일,주차,입장료,접근로,출입통로,장애인 주차 안내,화장실,엘리베이터,오디오 가이드,review,이용요금,휠체어,수유실,관람석,판매 품목,지정현황,이용가능시설,점자 홍보물,이용 시기,유모차,체험가능 연령,시각장애 기타상세,지체장애 기타 상세,주요시설,시설이용료,대중 교통,개장기간,부대시설,주차요금,규모,주차 요금,수용인원,입점브랜드,유아용보조의자,보조견 동반,점자 블록,안내 요원,보유장비,유도안내 설비,코스안내,자막 비디오 가이드,할인 정보,강습안내,입실시간,퇴실시간,객실내 취사 여부,식음료장,객실수,객실,매표소,대여안내,영유아가족 기타상세,체험
망산도·유주암,"용원동 앞바다의 작은 섬을 망산도, 이 섬의 동남방 70m 해상의 바위섬을 유주암이라 한다. 두 곳으로부터 약 1km 떨어진 곳에 있는 비각이 유주비각으로 삼국시대 가야 김수로왕비 허태후의 전설과 관련된 것으로 1988년 경상남도 기념물로 지정되었다. 유주비각은 목조 기와집으로 기단이 없이 장초석을 놓고 두리기둥을 세운 것으로 전체적으로 볼 때 벽체 상부를 홍살로 장식한 전형적 비각의 형태이다. 전설에 따르면 수로왕에게 왕비를 맞아들이기를 청하자, 왕은 자신의 왕비는 하늘이 정해 줄 것이라고 대답하였는데 어느 날 서남쪽 해상에 붉은 돛과 붉은 깃발을 단 배가 나타났다. 그 후 배를 인도하니 마침내 그 배는 망산도에 닿았고, 그 배에서 허태후 일행이 상륙하였다. 전설에 따르면, 허태후가 처음으로 배에서 내린 곳이 망산도이며, 타고 온 돌배가 바닷속에 뒤집혀 유주암이 되었다고 한다. 한편으로는 수로왕이 몸소 마중을 나와 이 섬에서 멀리 해상을 바라보며 기다렸다고 하여 망산도라 부른다는 설도 있다.",,국가유산청 https://www.heritage.go.kr/,부산광역시 강서구 송정동,상시 개방,연중무휴,가능,무료,,,,,,,"가까운 곳에 이런 풍경이 있다니., 아이들과 둘러보기 좋고 바다의 매력을 느낄 수 있었어요^^ 부산가면 꼭 가볼게요 부산 곳곳 안 가본 곳에 다 가보고 싶어요. 고즈넉한 곳으로요 오래전 가족이랑 긴 곳이에요 고즈넉하고 뭔가 편한 공간이었어요.. 바다와 연결되는 뭔가 색다른 느낌도 있었고요 지금은 어떻게 되었을까요 ㅎ 궁굼하네요",,,,,,부산광역시 기념물 망산도·유주암 (2008.04.02. 지정),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
남천 해변시장,"남천동에 위치한 남천해변시장은 다양한 볼거리와 먹거리가 가득한 종합시장이다. 과거에는 바다가 있던 곳으로, 주거지 조성을 위해 매립한 부지에 아파트가 들어서고 좌판이 형성되어 시장이 조성되었다. 1989년 개설되어 현재는 200여 개 점포가 있는 상가건물형 시장이다. 활어, 선어, 해물전 등 수산물을 취급하는 곳이 많으며, 농산물, 야채, 식료품, 초장집, 식당, 분식점, 떡집, 수입품, 정육점 등 다양한 상품을 취급하고 있는 종합시장이다. 재래시장 현대화사업의 일환으로 리모델링을 시행했으며, 냉난방장치 등의 환경을 개선해 고객들이 편리하게 이용할 수 있도록 만들었다.",,http://www.bbsj.kr/,부산광역시 수영구 광안해변로15번길 77 (남천동),※ 점포별로 상이함,※ 점포별로 상이함,가능,,,,,,,,,,,,,활어 / 건어물 / 의류 / 잡화 / 과일 / 채소 / 수산물 등,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
국제시장 먹자골목,"창선동 국제시장 내 먹자골목은 야외 음식점으로 60년이 넘는 역사를 자랑하며, 새콤한 오징어무침을 곁들인 충무김밥과 달콤하면서도 매콤한 맛이 매력인 떡볶이, 물국수와 순대, 부산의 명물인 비빔당면과 팥빙수 등 다양한 길거리 음식을 맛볼 수 있는 곳이다. 국제시장 골목길 좌판 의자에 앉아서 먹고 즐기는 풍경은 우리나라 재래시장의 정감 넘치는 모습 중 하나로, 내국인은 물론 외국 관광객들이 필수적으로 찾는 먹거리 골목이다. 국제시장 먹자골목을 경험하고 국제시장의 옷, 구두, 액세서리 등 다양한 쇼핑을 즐겨보자.",,,부산광역시 중구 중구로 36,"09:00~20:00
※ 점포별로 상이함",매주 일요일,가능,,출입구까지 경사로가 설치되어 있음,주출입구는 단차 없어 휠체어 접근 가능함,장애인 전용 주차구역 있음_무장애 편의시설,"장애인 전용 화장실 있음(창선동우체국, 와이즈파크 화장실)",엘리베이터 있음,,삼진어묵 사러 방문했습니다~ 정신없지만 좋았어요 국제시장 골목은 예전보다는 조금 더 활성화된 느낌이지만 여전히 부산의 느낌이 잘 살아나는 장소입니다 꼭 방문해 보셔요 저녁 늦게 보다는 조금 일찍 가셔서 포장마차 먹거리를 이용하셔도 좋고 패션 카페등 각종 브랜드 도 많이 입점해 있어요 공공주차장도 있어서 이용하기 편해요 부산 국제시장에서 맛있는 간식 먹으면서 시장구경하는 재미가있어요. 관광지가면 시장은 꼭들리는데 골목 구경거리가 많아요 !! 국제시장은 처음 가봤는데 작은 골목에 가게들이 정말 많네요. 쇼핑도 쇼핑이지만 부산어묵을 포함해 맛있는 간식들이 많아요. 한 곳에서 많이 드시지마시고 골고루 다니면 좋아요. 영화에서보던 국제시장 먹거리 구경거리가 넘쳐요. 꼭 먹고 싶었던 비빔당면 별것아닌데도 맛있었고 씨앗호떡도 줄서서 맛보았어요. 상점 구경하다보면 하루가 모자라요. 북적북적 사람사는 맛이 있는 부산의 국제시장~~ 일정상 먼저 가게 되서 부산역 도착해서 버스타고 혼자 구경을 하게 되었는데 볼거리도 많고 좋더라고요 비빔당면 먹어볼까 하다가 못먹어봤는데 다음번에는 꼭 먹어봐야겠어요 그래도 유명한 물떡과 다른 것들은 먹어봤었네요 가서 또 맛난거 먹으러 가고 싶네요,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
해양환경공단 해양환경교육원(부산),"부산 영도구 해양환경교육원은 해양 환경 보호와 교육을 위한 중요한 공간이다. 이곳은 해양 생태계의 중요성과 보호 필요성을 알리기 위해 다양한 전시와 체험 프로그램을 제공한다. 교육원 내부에는 해양 생물과 관련된 전시물들이 마련되어 있으며, 실습과 체험을 통해 방문객들이 직접 해양 환경을 이해할 수 있다. 또한, 다양한 해양 교육 프로그램이 운영되어 어린이부터 성인까지 폭넓은 대상이 참여할 수 있다. 해양환경교육원은 부산의 해양 문화와 환경에 대한 인식을 높이고, 지속 가능한 해양 보호 활동을 촉진하는 중요한 역할을 한다.",,https://www.merti.or.kr/,부산광역시 영도구 해양로301번길 23,※ 교육과정 별로 상이하므로 홈페이지 참고,주말 / 법정공휴일,"가능
요금 (무료)",,,경사로를 이용하여 휠체어로 출입가능,장애인 전용주차구역(2개)_무장애 편의시설,장애인 전용 화장실 있음(1층),엘리베이터 있음,,,※ 교육과정 별로 상이하므로 홈페이지 참고,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,해양오염방지관리인교육 / 대국민 전문방제교육
장기려기념 더 나눔센터,"장기려 박사는 당대 최고의 외과 의사이자 한국의 슈바이처로 불린 간 외과학 명의이다. 장기려기념 더 나눔센터는 평생 가난한 이웃에게 나눔을 실천한 장기려 박사의 뜻을 기리기 위한 기념관으로 2013년 개관했다. 장기려기념 더 나눔센터에는 장기려 박사가 생전에 사용하던 물건이 전시되어 있으며, 박사의 업적과 사람을 살리는 의술을 평생 실천한 그의 인품을 알 수 있는 자료들을 볼 수 있다.

장기려 박사는 1911년 평안도에서 태어났으며, 1943년 우리나라 최초로 간의 윗조각을 떼어네는 간암 설상절제수술에 성공했다. 1950년 한국전쟁이 일어나자 부산으로 피란 와 피란민과 병자들을 위한 진료를 시작했다. 1951년 부산복음병원(현 고신대학교복음병원의 전신)을 설립하고 25년간 복음병원 원장으로 근무했으며, 제2대 부산대학교 의과대학장 겸 병원장 등을 역임했다. 1968년에는 국내 최초의 의료보험조합인 청십자의료보험조합을 창설하여, 가난한 사람들이 치료를 받을 수 있게 했다. 1976년 복음병원에서 은퇴한 후로도 부산 동구 수정동에 청십자 병원을 설립하여 무료진료와 여러 사회봉사활동을 계속하며 은퇴가 없는 일생을 살았다. 그는 부산에서 나고 자란 인물은 아니지만 부산을 터전으로 소외된 이웃들의 고통을 어루만지면서 진정한 봉사의 삶을 살다 간 참의사로 인간을 존귀하게 여기는 분이었다.",,https://www.bsdonggu.go.kr/tour,부산광역시 동구 영초윗길 48 (초량동),"화요일~토요일 10:00~19:00
일요일 09:00~18:00",매주 월요일,가능(소형 3대),,,,,,,,,무료,,,,,,,,,,,,,,,,,,,부지면적 709㎡ / 건축연면적 383㎡,무료,100여 명,,,,,,,,,,,,,,,,,,,,,의사가운 입어보기
요산김정한문학관,"요산김정한문학관은 한국의 대표적 문인인 요산 김정한 선생님을 기념하고 그의 문학을 기리며 시민정신을 고양하기 위해 건립된 문학관이다. 2006년 11월 생가터 옆에 요산문학관을 개관하여 전시 및 기념사업을 운영하고 있으며, 기념관은 지하 1층부터 지상 3층까지의 현대식 건물과 넓은 정원으로 조성되어 있다. 1층은 세미나실로 운영되며, 2층은 김정한 선생의 생애와 작품, 일본 유학시절 자료, 친필 원고 등이 전시하는 전시실과 소장도서실, 3층은 요산문학연구소로 운영되고 있으며 반지하에는 강당이 있다. 문학관 옆에는 김정한 선생님의 생가가 2003년 6월 팔작지붕의 일자형 전통 한옥으로 복원하여 시민들에게 개방하고 있다.
김정한 선생님은 1908년 출생하여, 범어사 부설 명정학교를 다니고, 동래고등보통학교를 졸업하였으며, 경남 남해에서 교사 생활을 하였다. 1936년 조선일보 신춘문예에 ‘사하촌’으로 등단하였으며, 주요 작품으로는 ‘모래톱이야기’, ‘수라도’, ‘사밧재’ 등 다양한 작품을 집필하였다. 매월 10월에는 요산 김정한 문학축전을 개최하고 있으며, 수시로 다양한 강좌와 문화행사를 개최하고 있다.",,▪ https://www.sayosan.or.kr,부산광역시 금정구 팔송로 60-6 (남산동),화~일 10:00~17:00 (휴게시간 13:00~14:00),"매주 월요일, 국경일",없음,,출입구까지 평지로 되어 있으나 흙(돌) 구간 있음,주출입구는 턱이 없어 휠체어 접근 가능함,,,,,가까운 곳에 요산 문학관이 있는 줄 몰랐어요. 이번 주말에 바로 고고씽해야겠습니다. 아주 감사하고 좋아요. 멋진 11월 되세요^0^ 아즈낙히 너무 좋네요. 가까운곳에 위치해 있었는데 오늘에서야 알았네요 꼭 가보려구요^^,"입장료 1,000원",,,,,,,,,,,,,,,,,,,"부지면적 1128.76㎡ / 건축연면적 749.89㎡(반지하 1층, 지상 3층)",,80명 수용 가능,,,,점자블록 있음_시각장애인 편의시설,,,,,,,,,,,,,,,,,‘세계를 상상하는 소설 쓰기’ 프로그램 등 수시 운영
이바구공작소,"이바구공작소는 부산 산복도로의 생활자료관으로, 산복도로의 역사를 살펴볼 수 있는 전시관이다. 1층에서는 전시되어 있는 레트로한 교복을 대여해 체험해 볼 수 있고 2층에는 넓은 창으로 ‘산복도로의 풍경’을 그대로 감상할 수 있다. 그리고, 벽면에는 ‘산복도로’에서 살고 있는 사람들의 사진과 이야기로 꾸며진 공간이 있다. 한국전쟁으로 피난민들이 부산에 정착하면서, 오르막의 산까지 판자촌 마을이 형성되어 ‘산복도로’가 탄생한 이야기부터, 생계를 유지하며 열심히 살아가는 모습들을 사진과 자료로 알 수 있다.

(출처 : 부산광역시 교육청 홈페이지)",,http://www.2bagu.co.kr/index.bsdonggu,부산광역시 동구 망양로486번길 14-13 (초량동),10:00~19:00,매주 월요일,불가능,,,,,,,,레트로한 추억여행과 함께 산복도로에서 바라보는 바다 풍경이 운치가 있어요,무료,,,,,,,,,,,,,,,,,,,,,200명,,,,,,,,,,,,,,,,,,,,,
청량사(부산),"부산 명지동에 황금 닭이 알을 품는 듯 평안히 둥지를 이루는 금계포란형의 형상을 하는 곳에 청량사가 있다. 풍수지리학적으로 명당 중의 명당으로 손꼽히는 곳에 위치하고 있는 청량사는 마을의 수호신인 당산할머니를 모신 사당으로부터 유래되었다. 청량사의 창건 연대는 분명치 않으나 석가모니 후불탱화 뒷면에 상세히 기록된 내용을 미루어 1917년으로 알려지고 있다. 당산각이 있던 자리에 인근 김해의 불모산 장유암 주지 금도스님이 교당을 세우고 3년 후인 1920년 석가모니 후불탱을 모셨다고 한다. 청량사는 초창기 장유암 교당으로 불리다가 이후 연호사로 개칭되었는데, 이는 홍수 때마다 일대가 물에 잠기어도 유독 사찰만은 홀로 머리를 내밀고 있는 모습이 마치 연꽃이 떠 있는 것과 같은 형상을 한다고 해서 붙여진 이름이다. 이후 한국불교의 한 기둥이었던 홍경선사가 주석하면서 홍수 피해가 많은 장마철에 맑은 날씨를 염원하는 마을 사람들의 기원을 담아 1961년 범어사 말사로 등록하면서 청량사로 고쳐 불렀다고 한다.",,,부산광역시 강서구 제도로 29,상시 개방,연중무휴,불가능,무료,,,,있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
삼진어묵 체험·역사과학관,"부산광역시 영도구에 위치한 삼진어묵 체험·역사과학관은 부산어묵의 역사를 만나볼 수 있는 동시에 다양한 볼거리와 흥미로운 프로그램을 제공하고 있는 곳이다. 삼진어묵 체험·역사관은 1, 2층이 체험 공간으로 운영되고 있으며, 3층에는 역사과학관으로 구성되어 있어 어묵과 관련된 역사적, 과학적 정보를 만나볼 수 있다. 어묵 체험 문화를 주도하고 있는 체험관이자 역사과학관으로 몽떡오꼬노미, DIY 어묵탕, 피자어묵 등 전문 강사와 함께 수제 어묵 요리를 만들어보는 체험 프로그램을 운영 중이다. 또한, 직접 만든 어묵 요리는 현장에서 시식이 가능하다.",,https://www.samjinfood.com,부산광역시 영도구 절영로7번길 41-1 (봉래동2가),"09:00~18:00
※ 사전 예약제 운영 (전달 첫째 주 화요일 오전 9시 예약 오픈)",매주 월요일,"가능
요금 (무료)",,,,,있음,,,어묵을 좋아하는 가족들이랑 갔는데 어묵에 대해 더 많이 알게돼서 좋았어요 체험을 해볼수있는게 제일 좋습니다. 삼진어묵 역사체험관에서 어묵의 발전과정도 보고 금방 만든 여러종류의 어묵도 맛볼수 있어서 아주 좋아요. 어묵에 대해서 체험하며 배울 수 있어서 좋았어요. 어묵의 역사가 이렇게나 재밌을 지 몰랐습니다 부산에가면 체험도하고 맛난어묵도 먹고 자주들려요 가족끼리 친구끼리 연인끼리 가기좋아요~ 종류도 다양하고 먹고 갈 수도 있어서 좋아요! 그리고 따뜻하게 먹어서 더 맛있어요! 추천드립니다,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,몽떡오꼬노미 만들기 / DIY 어묵탕 만들기 / 모양어묵+프리미엄 피자어묵 만들기
부산 감천문화마을,"감천문화마을은 1950년대 6.25 피난민의 힘겨운 삶의 터전으로 시작되어 현재에 이르기까지 부산의 역사를 그대로 간직하고 있는 곳이다. 산자락을 따라 질서 정연하게 늘어선 계단식 집단 주거형태와 모든 길이 통하는 미로 같은 골목길의 경관은 감천만의 독특함을 보여준다. 부산의 낙후된 달동네였지만 문화예술을 가미한 도시재생사업을 추진하면서 지금은 연간 185만 명의 국내외 관광객이 다녀가는 대표 관광명소가 되었다. 산비탈을 따라 계단식으로 들어선 아름다운 파스텔톤의 집들과 미로와 같은 골목길이 있어 한국의 마추픽추, 산토리니로 불린다. 2016년 대한민국 공간문화대상 최고상인 대통령상을 수상하기도 했다. 감천문화마을에서는 아름다운 자연과 어우러진 그림 같은 마을의 풍경을 즐기면서, 골목골목 설치된 다양한 형태의 작품을 감상할 수 있으며, 감천문화마을 내 입주작가들의 공방을 통해 다양한 공예 체험도 가능하여 관광객들이 끊임없이 찾고 있다.",,http://www.gamcheon.or.kr,부산광역시 사하구 감내2로 203,상시 개방,연중무휴,"가능
요금 (무료)",무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,목공체험 / 도자기체험 / 케리커쳐 등
부산광역시교육청학생인성교육원,"체험으로 깨닫게 만드는 교육원, 부산광역시학생교육원은 부산의 진산 금정산은 자연경관이 아름답고 삼국통일의 대업을 달성했던 신라 화랑들의 수련장이었으며 금정산성이 있는 곳이다. 이곳은 임진왜란때 우리 조상들이 산성을 쌓고 나라를 지켰던 민족의 성지로 청소년들에게 나라사랑과 조국수호의 정신을 일깨울 수 있는 산 교육장으로 부산광역시교육청 산하 고등학교 학생들의 심성 및 야영 수련활동을 실시하는 곳이다. 공동체험활동, 극기훈련, 호연지기배양 등을 주최사업으로 삼고 있으며 시설이용료는 무료이다.

주요 행사로는 4월에서 10월에 걸쳐 시내 각 중. 고등학교 대상으로 2박 3일간의 심성수련 또는 1박 2일 간의 야영수련을 실시하고 있다. 부산광역시학생교육원은 총면적 179,180㎡, 건축면적 14,812.51㎡에 이르는 대규모의 교육원이다. 이 넓은 장소에 숙박시설과 집회시설, 체육시설, 수련시설 등이 갖춰져 있어 청소년에게 체계적인 체험 교육을 시킬 수 있다.",,https://home.pen.go.kr/bsec/main.do,부산광역시 금정구 북문로 178 (금성동),,공휴일,가능,,출입구까지 경사로가 설치되어 있음,주출입구는 경사로 있어 휠체어 접근 가능함,장애인 전용 주차구역 있음_무장애 편의시설,,엘리베이터 있음,,,,,,,,,,,,,,,,생활지도실 / 생활실 / 대강당 / 다목적실 / 운동장 / 국궁장 등,,,,,,,,,,,,"점자블록 있음(입구, 화장실, 엘리베이터 등)_시각장애인 편의시설",,,,,,,,,,,,,,,,,
구포 축산물도매시장,"구포 축산물도매시장은 1960년대 중반 형성된 축산물 전문시장이다. 현재 210개의 점포가 성업 중이며, 2006년 재래시장으로 등록되어 운영 중이다. 시장 면적은 14,000m²이고 관련 종사자가 약 500여명에 달한다.
한우, 육우, 젖소, 수입육, 돈육, 부산물, 편육 등 축산물과 관련된 모든 품목을 취급하며, 전국으로 판매하고 배송하고 있다. 축산물 유통의 효율성과 경제 극대화를 이루기 위해 상인회를 조직하여 운영하고 있다.
시장 주변에는 미식가들이 즐겨 찾는 곰탕집들이 자리 잡고 있으며, 인근에는 부산의 유명한 재첩국 맛집이 모인 삼락재첩거리가 있다.",,"▪ http://blog.naver.com/bo6318
▪ https://www.visitbusan.net/",부산광역시 북구 사상로583번길 20 (구포동),08:00~19:00 (점포마다 상이함),점포마다 상이함,"있음 (도매시장 공영주차장, 10분당 200원 / 일일 4,700원(시장 이용시 1시간 무료))",,출입구까지 턱이 없어 휠체어 접근 가능함,주출입구는 턱이 없어 휠체어 접근 가능함,장애인 주차장 있음_무장애 편의시설,,,,,,,,,한우 / 육우 / 돈육 / 수입육 등 축산물,,,,,,,,,,,,,,,,,,,,동반가능,,,,,,,,,,,,,,,,,,
환공어묵 부산역점,"부평동 16번지 깡통시장에서 1940년 부터 77년의 역사를 이어온 부산어묵 '환공어묵'이다. 77년 전통의 부산어묵 '환공어묵'은 수제어묵, 카츠어묵, 고로케어묵, 봉지어묵 등 다양한 어묵을 만들고 있다. 부산역사에 위치한 환공어묵 베이커리는 부산시민과 타지에서 온 각종 여행 및 비즈니스 고객들이 찾는 곳이다. 간편하게 테이크아웃하여 즐길 수 있는 어묵부터, 여행길 가족 및 친구들에게 선물하기 좋은 선물세트까지 있다. 부산역사 내 2층에 위치해 있으며, 코레일 어플리케이션을 통해 선물세트 구입도 가능하다.",,https://www.hwangongfishbakery.com/,부산광역시 동구 초량동 1187-20,06:30~22:00,연중무휴,불가능,,출입구까지 턱이 없어 휠체어 접근 가능함(수동문),주출입구는 턱이 없어 휠체어 접근 가능함,장애인 주차장 있음_무장애 편의시설,장애인 화장실 있음,엘리베이터 있음,,삼진과 쌍두마차 환공.,,,,,공어묵 세트 / 산들모듬어묵 / 종합모듬어묵 등,,,,,,,,,,,,,,,,,,,,,"점자블록 있음(주 출입구 앞,화장실 앞)_시각장애인 편의시설",,,,,,,,,,,,,,,,,
동보프라자,"1995년 9월 23일 문을 연 동보프라자는 복합문화공간으로 한 층 당 150평 규모의 대형 전문점들로 구성되어 있다. 전문 식당가와 서점, 병원, 잡화, 화장품 판매점 등 다양한 복합 쇼핑몰이 모여 있는 곳이다. 번화가에 몰려 있는 상가라 접근성이 좋아 방문하기 편리하다는 장점을 가지고 있다.",,,부산광역시 부산진구 중앙대로 704 (부전동),10:30~21:30,연중무휴,가능,,,,,,,,,,,,,"대형 CD전문점, 전문 식당가, 문구/팬시, 안경점/안과",,,,,,,,,,,,,,,"지상 6층, 지하 2층",,,,,,,,,,,,,,,,,,,,,,,
함지골청소년수련관,"새 시대 청소년상 정립을 목표로 하는 함지골청소년수련관은 지난 1996년 개원한 이래 전국에서 모범적인 수련관으로 손꼽히고 있다. 부산광역시의 운영 기조를 바탕으로 청소년들이 스스로 찾을 수 있는 마당, 청소년들이 직접 꾸며내는 수련관이 될 수 있도록 많은 노력을 기울이고 있다. 함지골청소년수련관은 청소년들이 국제화 시대에 중심 역할을 수행할 수 있도록 육성하는 것을 기본 목표로 삼고 있다. 또한 이러한 목표를 기반으로 하여 다양한 프로그램을 개발 운영함으로써 새 시대 청소년상 정립을 꾀하는 전문적인 수련기관이다.",,www.hamji.or.kr,부산광역시 영도구 절영로 321 (동삼동),,연중무휴,가능,,출입구까지 경사로가 설치되어 있음,주출입구는 턱이 없어 휠체어 접근 가능함(수동문),장애인 주차장 있음_무장애 편의시설,,엘리베이터 있음,,예전 학창시절에 가봅곳인데요 아직도 있네요,프로그램별 상이 홈페이지 참조,,,,,,,,,,,,,,,,,,,,,,,,보조견동반 가능함,점자블록 있음(주출입구)_시각장애인 편의시설,,,,,,,,,,,,,,,,,
광안리해변 테마거리,"2003년 광안리해수욕장 개장일에 맞춰 완공된 광안리해변 테마거리는 매년 다양한 축제와 행사들이 열리고 있는 곳으로, 인공야자수, 조형물, 벤치, 녹지대 등을 갖추고 있는 광안리해수욕장의 새로운 명소로 자리 잡게 되었다. 해변을 따라 조성된 테마거리는 보행자 중심의 시민휴식공간으로 이국적인 분위기를 연출하고 있다. 테마거리는 남천동 협진태양맨션에서 민락 회타운까지 해안도로를 따라 조성되었으며 해변 측에 보도를 조성하고 전망파빌리온 등 조형물과 가로등, 수목플랜트, 벤치등을 조성하여 낭만의 거리, 해맞이광장, 젊음의 거리로 나누어져 있다. 보행자 거리의 의미를 살려서 전 구간에 점토 블록을 깔았으며, 광안리해변 테마거리 조성으로 지하철 2호선 공사 후 급격한 침체기를 맞던 광안리해수욕장 일대가 젊음과 축제의 거리, 가족의 거리로 예전의 명성을 되찾고, 지역상권도 회복되고 있다. 사시사철 전국에서 수많은 관광객들이 아름다운 광안리해수욕장을 찾고 있으며, 잘 꾸며진 해변거리를 거닐면서 광안대교의 찬란한 야경을 보고, 광안리카페거리와 민락회타운에서 맛있는 음식을 즐기며 추억과 낭만의 거리로 오랫동안 기억에 남을 것이다.",,https://www.visitbusan.net/kr/,부산광역시 수영구 민락동 (민락동),상시 개방,연중무휴,가능,무료,출입구까지 턱이 없어 휠체어 접근 가능함,주출입구는 턱이 없어 휠체어 접근 가능함_무장애 편의시설,,있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,동반가능_시각장애인 편의시설,,,,,,,,,,,,,,,,,,
수영만 요트경기장,"부산광역시 해운대구에 위치한 수영만 요트경기장은 1986년 건설된 요트 경기장으로, 아시아 최대 규모이다. 총면적은 23만 803㎡이며, 육상 면적은 13만 8561㎡, 해상 면적은 9만 2242㎡이다. 부산시는 아시안 게임과 올림픽 개최를 위해 1982년 수영만을 매립하고 1985년 수영만 요트경기장 건설사업소를 설치하였다. 수영만 요트경기장은 1986년 4월 30일 준공되어 지금까지 운영되고 있으며, 1986년 아시안게임, 1988년 올림픽, 2002년 부산아시안게임 요트경기 등 굵직한 국제 요트 경기가 개최되었다. 36개 동의 건물과 488척의 요트 및 보트를 계류할 수 있는 대형 계류장을 갖췄으며 2척의 청소선을 보유하고 있다. 승하선을 위한 부잔교 8열 945m, 크레인 32조, 무인등대 4개소, 통제소 2개소를 갖추었으며 500대의 차량 주차가 가능하다. 주변에 요트학교, 윈드서핑학교, 잠수학교 등 각종 해양레저 강습소와 부산수상항공협회, 스킨다이빙협회, 우주소년단 등 전문단체 또한 주변에 포진하고 있어 국내 최대의 해양레저스포츠 메카이기도하다. 요트경기장 운영위원회에서는 시민들의 레저 및 여가 활동을 위하여 해양스포츠 강습을 지원하고 있다. 뿐만 아니라 해운대와 광안리 사이에 위치하고 있어 탁 트인 바다 풍광과 함께 88 올림픽 기념탑 및 성화대와 같은 국제 행사 개최를 기념하는 조형물들이 자리하고 있어 시민들의 휴식공간 역할도 하고 있다.",,https://www.haeundae.go.kr,부산광역시 해운대구 해운대해변로 84,,,"가능
요금 (무료)",,출입구까지 단차가 없어 휠체어 접근 가능함,주출입구는 경사로 있어 휠체어 접근 가능함,장애인 전용 주차구역 있음_무장애 편의시설,,엘리베이터 있음,,"광장이 좀 어두웠다. 주변 마천루를 빛내느라고 그러는지 몰라도 멋진 가로등 2개정도 있으면 좋겠다. 야간 요트투어 너무 너무 즐거웠다.자녀들과 함께 다시 타고싶다 추석 연휴에 요트체험 하고 왔습니다. 아이들도 시오머니도 모두 즐거운 경험이었습니다. 다음번엔 야간으로 타보고싶네요. ^^ 이곳에서 출발하는 요트를 타고 달맞이고개, 해운대 해수욕장, 광안리 해수욕장과 광안대교까지 모두 볼 수 있어요. 친구나 가족 모두에게 추천해드리고 싶은 관광코스입니다. 저녁 요트 투어 너무 좋았습니다. 광안대교와 광안리 해수욕장을 배경으로하는 석양과 마린시티 광안대교 야경 멋있더군요. 6시 요트 투어 추천합니다. 해가 길어지면 좀 더 늦게 타는게 좋겠죠?","[요트투어]
- 대인 19,800원
- 소인 7,700원
※ 이용요금은 변동될 수 있으므로 전화문의",,,,,,,,,,,,부산광역시요트협회 건물 장애인 선수 공간 있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
부산공간화랑,"부산공간화랑은 1975년 개관한 이래 수준과 신뢰라는 일관된 경영 철학을 바탕으로 현재까지 운영해오고 있는 유서 깊은 화랑이다. 공간화랑은 좋은 작가를 찾는 안목, 작가의 좋은 작품을 구분하는 선별력, 세계 미술과 국내 미술의 상황을 읽어내는 정보력 등의 3가지 지침을 기반으로 작가와 애호가에게 신뢰를 주기 위해 노력하고 있다. 화랑에 들어서면 한쪽 벽면에 공간화랑의 전속작가인 이우환 선생의 그림이 걸려 있어 화랑으로서의 분위기를 나타낸다.
2005년 30주년 개관 기념전을 비롯해 남관 특별 회고전을 개최했으며, 권진규, 김종영, 이중섭, 박수근, 장욱진, 김종식, 전혁림, 이우환, 김창열, 심문섭, 신성희, 김원숙, 고영훈, 안창홍, 안종연, 사석원 등 근현대 한국미술 거장들을 비롯한 유수의 초대전과 작품전을 지속적으로 개최해 오고 있다. 공간화랑은 1989년부터 '부산청년미술상'을 제정 및 운영하여 역량 있는 새로운 작가의 발굴에도 노력하고 있으며, 국내 최고 수준의 미술작품을 기업체, 관광서 등에 대여하는 제도를 운영하고 있다.",,http://www.kongkan.kr,부산광역시 해운대구 마린시티1로 167,월요일~토요일 10:00~19:00,"매주 일요일
※ 전시 기간 중 변동 가능",불가능,,,,,,,,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
