place,info,문의 및 안내,홈페이지,주소,이용시간,휴일,주차,주차 요금,이용요금,규모,할인 정보,접근로,출입통로,장애인 주차 안내,엘리베이터,화장실,지체장애 기타 상세,review,이용가능시설,입장료,지정현황,체험가능 연령,수유실,휠체어,점자 홍보물,시설이용료,주차요금,대중 교통,유모차,판매 품목,객실,주요시설,부대시설,강습안내,오디오 가이드,영업시간,대표메뉴,취급메뉴,관람석,개장기간,수용인원,대여안내,보유장비,시각장애 기타상세,점자 블록,보조견 동반,유도안내 설비,입점브랜드,코스안내,입실시간,퇴실시간,객실내 취사 여부,객실수,객실유형,세미나실 여부,예약안내,예약안내 홈페이지,안내 요원,식음료장,홍보물,이용 시기,유아용보조의자,영유아가족 기타상세,체험
괴산 칠충사와 피세정,"* 칠충사 *
칠충사는 순창 조 씨(淳昌趙氏) 가문에서 배출된 충신 가운데 괴산삼강록(槐山三綱錄)에 등재되어 있는 조신, 조종, 조복, 조반, 조덕공, 조덕용, 조은 등 7명의 충절인(忠節人)을 뽑아 그들의 행적을 기리기 위하여 세워진 사당이다. 사당은 목조 기와집으로 정면 3칸 측면 2칸의 맞배집이며 1975년 문중에서 건립하였다. 사당 아래에는 1973년에 건립한 정면 7칸 측면 1칸의 맞배지붕 목조 기와집인 순창 조문(淳昌趙門) 칠충각(七忠閣)이 있다.

* 피세정 *
피세정은 정면 3칸, 측면 2칸의 팔작지붕 목조 기와집의 정자로서 정자 안에는 피세정중건기, 피세정기를 비롯하여 많은 편액이 걸려 있다. 피세정은 정자의 위치나 경관을 바라보는 방법에 대한 자료로서 가치가 크다.",,https://www.heritage.go.kr/,충청북도 괴산군 문광면 괴산로 3440-14,상시 개방,연중무휴,가능,,,,,,,,,,,지금 정비중이어서 접근이 쉽지않아 멀리에서 휙보고 돌아갑니다. 이곳이 방문의 최종 목적지만 아니라면 쉬었다 가는 정도의 목표라면 나쁘지않을듯 합니다.,,무료,충청북도 기념물 괴산 칠충사 (1976.12.21. 지정),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
보광사(괴산),"보광사는 고려 28대 충혜왕 1년에 창건되고 조선 헌종 때 폐사된 옛 봉학사 터의 아래쪽에 건립한 사찰이다. 1967년 사찰 위쪽에 있는 봉학사지를 답사한 기록에 의하면 봉학사지 5층 석탑 2층 옥개석 사리공에서 조선 세조 때 탑을 보수한 기록문이 나왔다고 하며, 폐사지에서 수습한 암막새에 음각된 당초문이 고려중기 이후로 보이는 것으로 밝혀져 봉학사의 창건과 중수 연대를 가늠하게 하고 있다.
<충청북도지(忠淸北道誌)>에 의하면 1925년 폐사지에 권봉주 스님이 초막을 세우고, 김봉삼 스님이 1936년부터 폐사지에 있던 봉학사지 석조여래좌상을 아래쪽에 새로 지은 보광사 대웅전에 봉안하여 주존불로 모셨다는 것으로 미루어 이 시기에 보광사가 건립된 것으로 짐작된다. 보광사에는 봉학사 폐사지에 있는 5층 석탑과 대웅전에 봉안된 석조여래좌상 등의 문화재가 있다.",,https://www.goesan.go.kr/tour/,충청북도 괴산군 사리면 모래재로시동2길 231,상시 개방,연중무휴,가능,,,,,,,,,있음,,,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
괴산 송시열 유적,"청천 우암 송시열유적은 화양동계곡 안에 있는 화양서원터(華陽書院址)와 만동묘터(萬東廟址)를 중심으로 암서재, 읍궁암, 애각사적, 묘소와 신도비 등 송시열과 관련된 사적들로 구성되었다. 화양서원은 우암 송시열이 은거하였던 곳에 세워진 서원으로써 조선시대 학자들의 결집장소였으며, 만동묘는 임진왜란 때 조선에 원군을 보내준 중국 명나라 황제 신종, 의종의 위패를 모신 사당으로써 유지가 잘 남아있다. 암서재는 송시열이 만년에 화양동에 은거하면서 제자들을 가르치던 곳으로 알려져 있으며, 읍궁암은 효종(孝宗)의 승하로 북벌이 좌절되자 효종의 기일마다 이곳에 올라 통곡하였다고 전한다. 이 외에도 화양동에는 충효절의, 비례부동 등 많은 애각사적이 산재해 있어 송시열의 북벌애국사상과 민족자존정신이 깃든 유적의 성격과 조선성리학의 중심지로서 일제에 의하여 철저하게 파괴되고 왜곡된 사적의 모습을 잘 보여주고 있다.",,http://www.goesan.go.kr/tour/index.do,충청북도 괴산군 청천면 화양동길 188,상시 개방,연중무휴,,,,,,,,,,,,화양동계곡 놀러갔다가 둘러보기좋음 그냥 평평한 둘레길이고 계곡이랑 절이랑 등산코스 등 있음 둘러보는데 1시간반 걸림,,무료,사적 괴산 송시열 유적 (1999.12.29. 지정),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
괴산호,"괴산호는 괴산군 청천면과 칠성면 일대에 위치한 호수로서 붕어, 잉어는 물론 누치, 쏘가리 등 갖가지 물고기들이 많이 있어 마치 민물고기 전시장을 보는 듯하며 낚시터로도 이름이 높다. 중부고속도로의 개통으로 증평 인터체인지에서 빠져나와, 증평읍을 통과해 괴산으로 빠지면 된다. 주변에 속리산국립공원, 쌍곡계곡, 선유동계곡, 화양계곡 등이 있어 피서철 여행지로도 손색이 없다.",,,충청북도 괴산군 칠성면,상시 개방,연중무휴,가능 (괴산 산막이옛길 주차장),,,,,,,,,,,괴산호를 따라 유유자적 드라이브 하다가 문광저수지 은행나무길 포토스팟 들려주고 인생사진 남겨보세요. 지금 이 계절 여행지로 추천함니다.,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
감곡매괴성모순례지성당,"감곡본당은 1896년 설립되어 100년이 넘는 역사를 간직하고 있는 곳이다. 초대 본당 임가밀로 신부는 파리 외방전교회 소속으로 1894년 첫 본당으로 유서 깊은 교우촌, 신학당이 있었던 여주 부엉골에 부임하게 된다. 본당 이전을 생각하던 중 사목 방문차 여주를 지나 장호원에 이르러 산밑에 대궐 같은 집을 보고 이곳이 본당 사목지로서 가장 적합하다는 것을 직감하게 된다. 그 즉시 임가밀로 신부는 “성모님 만일 저 대궐 같은 집과 산을 저의 소유로 주신다면 저는 당신의 비천한 종이 되겠습니다. 그리고 그 주보가 매괴 성모님이 되실 것입니다.”라고 기도 하였으며, 부엉골로 돌아가서 매괴 성모님께 끊임없이 청하였다. 당시 대궐 같은 집은 명성황후의 육촌 오빠인 민응식의 집이었고 1882년 임오군란 때 명성황후가 피신 왔던 곳이기도 하다. 1896년 5월 성모성월에 그 모든 집터와 산을 매입, 매괴성월인 10월 7일 본당을 설립하기에 이른다. 결국 임가밀로 신부가 처음에 기도한 대로 감곡본당을 성모님께 봉헌하여 이곳이 감곡매괴성모순례지성당이 된 것이다.",,http://www.maegoe.com,충청북도 음성군 감곡면 성당길 10,상시 개방,연중무휴,가능,,,,,출입구까지 경사로가 설치되어 있음(성당 내 휠체어 진입 가능),주출입구는 경사로 있어 휠체어 접근 가능함,장애인 전용 주차구역 있음_무장애 편의시설,,있음,,지인 추천으로 방문한 감곡매괴성모순례지성당은 노을 맛집이자 음성전체를 볼 수 있는 뷰맛집입니다. 성당은 다른 성당들 보다 더 이국적이고 고요하니 경건한 마음이 들었습니다. 마침 방문시간 미사시간이여서 더 뜻깊은 시간을 보내고 왔습니다. 신자가 아니라도 한번 가볼만한 곳입니다. 오래됐지만 유럽풍의 성당건물이 이국적인 느낌이 있고 건물색깔이 산뜻해서 사진도 잘나옵니다. 교외에 있는 성당은 처음 방문하는 것 같아요. 성당의 웅장하면서도 인자한 자태가 너무 인상적이었습니다. 마음이 절로 경건해지고 평안해지는 곳이었어요. 음성에 가게되면 꼭 가야하는 곳이에요 :),,무료,충청북도 유형문화유산 음성 감곡성당 (1996.01.05. 지정),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
청안 사마소,"청안 사마소는 조선 숙종때 청안현의 생원, 진사 50여명이 이미 사마방에 급제하매 숙종 29년(1703)에 사마소를 설치하였다 하며, 청안향교에서 생원시에 합격한 생원과 소과에 합격한 진사, 그리고 대과에 급제한 선비의 이름을 올린 사마재의 성격을 지니고 있었던 것으로 추정된다. 이 사마소에는 문과 8인, 생원 40인, 진사 40인, 인물 3인, 음관 2인, 지주 22인을 합하여 115인을 제명하고 춘추로 제향하고 있는데, 1910년 경술국치로 철폐되었다가 광복후 청안지방의 유림들이 1950년 재건하였다. 건물은 정면 3칸, 측면 2칸의 맞배지붕 목조기와집이다.
사마소는 생원과 진사 즉 사마방에 급제한 자가 50인 이상이 나온 읍에 설치되는데, 그 급제자들이 지방유림으로서 뛰어난 인물이라 하여 후배와 후손들이 제사하며 유학을 강론하고 정치를 의논하던 곳이다. 처음에는 이들의 친목도모와 정치 토론 및 교육 활동 등으로 그 고장 발전에 기여하였으나 점차 수령의 통치에 간섭하고 백성들을 함부로 잡아다 벌을 주는 등 폐단을 야기하기도 하였다. 현재 독립된 건물로 남아있는 사마소는 옥주사마소(옥천), 경주사마소 등 그 수가 그리 많지 않다.",,http://www.goesan.go.kr/tour/index.do,충청북도 괴산군 청안면 청안읍내로5길 33-13,,,,,,,,,,,,,,,,,[괴산 청안사마소] 충청북도 기념물 (1984.12.31 지정),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
아난티 중앙 골프클럽,"아난티 중앙 골프클럽은 마운틴, 레이크, 스카이 총 3개의 코스에 27개의 홀이 조성되었다. 도심지역보다 온도가 낮아 여름철에도 시원하게 즐길 수 있으며 산악코스임에도 불구하고 업다운이 심하지 않아 아마추어에겐 최상의 코스이다. 자연지형을 최대한 살려 공략에 묘미를 살렸으며 계곡을 그대로 이용해 코스를 조성하여 마치 자연 속에 있는듯한 느낌을 준다.",,https://joongang.ananti.kr/kr/,충청북도 진천군 백곡면 배티로 818-105 (배티동),홈페이지 참고,홈페이지 참고,가능,,"[그린피]
- 매월 요금 변동 됨
[카트비]
- 100,000원
[캐디피]
- 150,000원
※ 자세한 요금은 홈페이지 참조",,,,,,,,,,,,,,,,,,,,,,,,더레스토랑 / A마켓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
박달재수련원,"박달재수련원은 청정한 공기와 샘솟는 시원한 자연수가 어우러진 곳에 있어 자연경관이 빼어나다. 또한 인근에 치악산, 월악산, 단양팔경 등 관광명소와 유명한 온천이 있어 연계 관광지로도 좋다.
박달재의 ‘박달’은 밝은 땅. 다시 말해 겨레와 통하는 뜻이다. 수련원은 이렇게 민족 얼 바로 찾기에 역점을 두고, 민족발전에 필수요소인 자주성과 독자성, 창조성과 협동성을 계발 강화하는 특수 프로그램을 개발하는 것을 목적으로 하고 있다. 또한 이러한 프로그램을 기반으로 환경 및 생활과 수련 전반을 통하여 우리의 전통 윤리와 근면 건실한 기풍을 진작하는 데 종합적인 노력을 기울이고 있다.
박달재수련원은 진로 체험 프로그램, 1박2일 프로그램, 2박 3일 프로그램, 간부 수련프로그램 등이 있으며 프로그램 내용은 협의에 의해 변경 및 수정이 가능하다.",,http://www.parkdaljae.co.kr,충청북도 제천시 봉양읍 박달로 256-46,프로그램에 따라 상이,,있음,,프로그램에 따라 상이,,,,,,,있음(남/녀 구분),,,,,,,,,,,,,,,,"실내교육장 - 대강당, 중강당, 소강당, 세미나실
야외교육장 - 캠프파이어장, 양궁장, 피자체험장, 드론체험장 등
부대시설 - 수영장, 눈썰매장, 서바이벌장, 매점, 양호실, 쉼터 등
숙박시설 - 숙소 등",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
영동 김참판댁,"영동 김참판댁은 17세기 후기에 건축되었다고 전해온다. 이 집은 현재 안채와 별당형식의 안사랑채만이 남아있다. 또한 안채는 18세기 중엽, 안사랑채는 훨씬 뒤인 19세기 중엽에 지었을 것으로 추측하고 있다. 무성한 팽나무 숲을 뒤로하고 안채가 자리하며 그 앞쪽으로 안사랑채가 직각으로 위치하는데, 담장을 앞뒤 좌우로 빙 돌려서 딴 공간으로 구분하며 쪽대문을 설치해서 사랑마당과 연결 지었다.
안채는 사대부 집에서 흔히 쓰는 ‘ㄷ’자형 구조로 부엌, 안방, 대청을 일직선으로 배열하는 남도방식을 취하고 있다. 양 옆의 날개 부분에는 부엌 옆으로 뜰아랫방이, 대청 옆으로 찬방과 윗방, 아랫방이 있다. 찬방은 조금 특이한 공간으로 안방 뒤의 골방에 만들기도 하는데 모두 대청에 곁들여 배치된다. 주기능은 음식을 보관하고 분배하는 곳으로 이용되며, 이밖에도 물건을 보관하거나 여름철 안사람의 휴식공간으로 이용하는 등 여러 용도로 쓰이는 장소이다.
안방부터 오른쪽 날개 부분의 아랫방까지 앞과 뒤 모두 툇마루를 놓아 연결되고 있다. 특이한 것은 양 옆 날개 부분의 지붕인데 왼쪽 부분의 지붕은 옆면이 사람 인(人) 자 모양의 맞배지붕이고, 오른쪽은 여덟 팔(八) 자 모양인 팔작지붕이다. 좌우를 대칭시키지 않은 구조가 흥미롭다.
안사랑채는 안에서 사용한 사랑채란 뜻으로, 안채 맞은편에 댓돌만 남아 흔적을 전하는 사랑채와 다르게 돌아 앉은 것이 특이하다. 역시 남도 방식을 보이며 대청, 웃방, 안방, 부엌, 모퉁이방이 배열된 ‘一’자형 집으로, 모두 툇마루와 쪽마루가 있어 동선이 연결이 된다. 전체적으로 건축장식기법이 우수한 건물이다.

※ 위 국가유산은 일반적으로 관람이 가능하나, 소유주 등의 개인적 사정으로 관람이 제한될 수도 있음",,https://yd21.go.kr/tour/,충청북도 영동군 양강면 괴목1길 13-5,상시 개방,연중무휴,불가능,,,,,,,,,,,,,무료,국가민속문화유산 영동 김참판댁 (1984.01.14. 지정),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
초평저수지,"진천군 초평면 화산리에 있는 초평 저수지는 충북에서 가장 큰 저수지이며, 미호 저수지라고도 한다. 미호천 상류를 가로막아 영농목적으로 만들어진 초평저수지의 외형적 규모는 저수량이 1378만 톤이며 진천군 관내뿐만 아니라, 멀리 오창, 북일, 북이, 옥산, 강서 등지까지 물을 대고 있다.
저수지 근처 한반도 지형 전망대에서 초평저수지를 바라볼 수 있는데, 저수지는 전체적으로 굴곡이 심한 ‘ㄹ’ 자 형태를 이루고 나지막한 구릉성 산지에 둘러싸여 있다. 저수지를 빙 둘러 나무 데크 산책로가 조성이 되어있고, 일출, 일몰 명소로도 유명하며 전망이 아름다워 드라이브하기에도 좋다.",,진천관광 https://www.jincheon.go.kr/,충청북도 진천군 초평면 초평로 (초평면),상시 개방,연중무휴,가능 (한반도지형전망공원),,,,,,,,,있음,,조용하게 걷기 좋은 길입니다 큰 나무들도 있어 그늘 속에서 걷기 좋습니다 조만간 다시 가봐야겠네요 초평저수지를 중심으로 저수지 주변에 데크길과 다리가 잘 조성되어 있어 조용히 산책하며 힐링하기 좋았습니다. 데크로드/하늘다리/미르309출렁다리로 연결된 코스와 더불어 진천 농다리까지 걷기 참 좋은 코스입니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
진천공예마을,"충북 진천군 문백면 공예촌길 일원에 도자기, 목공예, 천연 염색, 한지공예 등 각 분야 예술인들이 모여 사는 진천공예마을이 있다. 공예가들이 사는 마을답게 집 하나하나가 예술 작품처럼 특색 있다. 마을 곳곳이 하나의 갤러리이자 야외 전시장 같은 느낌이 드는 곳이다. 고가, 황토집, 서구식 가옥 등 개성 넘치는 집들이 모여 운치 있는 공예마을을 이룬다. 작가들의 작업실로 이용되는 공간에서 공예체험도 가능하다. 작가들과 함께 소통하며 체험을 할 수 있어 더 흥미롭다.",,http://cafe.daum.net/dhrehdfl,충청북도 진천군 문백면 공예촌길 116-3,공방별 상이,연중무휴,"가능
요금 (무료)",,,,,,,,,있음,,체험도 할 수 있고 볼거리가 많아서 좋았어요,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
괴산 읍내리 은행나무,"청안 읍내리 은행나무는 은행나무과에 딸린 낙엽교목이며 높이 17m, 가슴높이의 둘레 7.1m 로서 가지가 동서로 16m, 남북으로 15.5m 정도 퍼져있다. 수령은 약 1,000년으로 추정되고 있다. 전설에 의하면 고려 성종(成宗) 때 이 고을의 성주가 선정을 베풀어서 백성들의 존경을 받아 왔었다. 어느 날 백성들에게 위로연을 베푸는 자리에서 우리 성내에 못이 하나 있었으면 좋겠다고 하였더니 백성들이 ‘청당(淸塘)’이란 못을 파게 되었고, 성주는 그 연못가에다 많은 나무를 심었는데 이 은행나무는 그중에서 남은 하나이다. 그 후 성주가 조정으로 떠나게 되어 백성들은 어진 성주를 보내는 아쉬움에 시를 지어서 성주를 추모하면서 잘 가꾸어 왔다고 한다. 이 나무속에는 귀 달린 뱀이 살고 있어서 나무를 해하는 사람은 이 속에 있는 뱀의 해를 받는다고 전해오고 있다.",,https://www.heritage.go.kr/,충청북도 괴산군 청안면 청안읍내로3길 8,관람 시 협의 (청안초등학교 행정실),"매주 토요일, 일요일 / 법정 공휴일",가능,,,,,,,,,,,,,무료,천연기념물 괴산 읍내리 은행나무 (1964.01.31 지정),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
명암낚시터,"명암낚시터는 명암저수지에 자리하고 있다. 명암저수지는 농경을 목적으로 축조한 저수지로 면적은 약 10,000평 정도이다. 이곳에서는 붕어, 대물 향어, 메기, 잉어 등의 낚시를 할 수 있고 대낚시 장비와 어분, 수제 찌 등을 대여하거나 구입하여 낚시를 즐길 수 있다. 이용 시간은 오전 7시부터 일몰까지이며 주말에는 어류의 방류가 이루어진다.
명암 낚시터에는 야외 좌대뿐 아니라 냉난방 시설과 텔레비전, 냉장고 등을 갖춘 방갈로도 준비되어 있다. 또, 민박을 운영하며 민박집 뒤로는 취사장, 샤워장, 야외 화장실, 주차장, 캠핑장 등이 조성되어 있다. 가족이나 친구와 함께 여유롭게 낚시를 즐기며 휴식을 취할 수 있는 곳이다.",,,충청북도 제천시 봉양읍 명암로 243,상시개방,연중무휴,가능,,,,,,,,,있음(남/녀 구분),,조용하고 좋더라고요 가족들끼리 가서 힐링하고 왔어요~ 캠핑장도 좋습니다~~ 가까운 곳에 이런 멋진 곡이 있어서 좋아요 고즈넉하고 조용해서 좋아요!! 멍 뚫려 있어서 시원한 느낌을 받으면서 낚시 하기 좋은 곳입니다. 예전엔 사우나 삼겹살도 구워 줬는데 요샌 안해서 아쉽네요,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
천룡컨트리클럽,"천룡컨트리클럽은 27홀 규모에 소수회원제로 운영되고 있는 골프장이다. 각각의 홀마다 다른 전략성을 가지고 있어 재미를 더한다. 이곳의 홀은 언제든 오픈할 수 있도록 최신장비 및 그린 키퍼들이 있고 잔디는 최고급 중지 및 양잔디를 사용하여 전문관리인들의 전문성을 엿볼 수 있다. 부대시설로는 프로샵, 남녀락카실, 사우나실, 경식당, 대식당, 비즈니스센터 등 특급호텔 수준의 시설을 이용할 수 있다.",,https://www.crcc.co.kr,충청북도 진천군 이월면 진안로 347-123,홈페이지 참고,연중무휴,가능,,"[그린피]
- 주중 190,000원 ~ 200,000원
- 주말 250,000원 ~ 260,000원
[카트비]
- 100,000원
[캐디피]
- 150,000원
※ 비회원기준요금
※ 자세한 사항은 홈페이지 참고",,,,,,,,,,,,,,,,,,,,,,,,식당 / 골프연습장 / 락카룸 / 사우나 / 클럽하우스 / 그늘집,,,,,,,,,,,,,,,,"[황룡코스]
- 9홀 36파
[청룡코스]
- 9홀 36파
[흑룡코스]
- 9홀 36파
[퍼블릭]
- 9홀 36파",,,,,,,,,,,,,,,
진천 이영남 묘소,"진천 이영남 묘소는 임진왜란시 7년 전쟁을 마무리 짓는 최후의 노량해전에서 충무공 이순신 장군과 함께 순국한 임란충신 가리포 첨사 겸 조방장 양성 이영남(1563~1598) 장군이 잠드신 유서 깊은 곳이다. 이영남 장군은 1566년 2월 13일 진천군 덕산면 기전리에서 태어났으며, 선조 17년(1577)에 별시무과 병과에 급제하여 선조 25년(1592) 율포권관을 시작으로 임진왜란 때 원균의 막하 장수로써 소비포권관, 강계부판관 등을 역임하였다.
경상우수사 원균이 왜군에 의해 동래성이 함락된 후 도망가려 하자 전라좌수사 이순신에게 원병을 청하여 연합함대를 결성하게 되었고, 그 후 옥포·사천포해전, 한산대첩 등 수많은 전투에 참가하였다. 선조 31년(1598)에 가리포첨사로 이순신 장군과 함께 노량해전에서 순국하였다. 장군의 노복이 시신을 수습하여 고향인 진천 기전리에 묻었으며, 선조 38년(1605)에 절충장군 선무원종일등공신으로 녹훈되었다.

이영남 장군 묘소가 조선시대 묘소의 일반적 형태로 최근에 새로 조성하였으나, 조선 중기 최대의 국난이었던 임진왜란 당시 수많은 해전을 통해 나라의 위태로움을 구한 장군의 위업을 기리기 위하여 지정하게 되었다. 묘소는 원형의 봉분으로 직경 약 600㎝, 높이 약 240㎝로써 둘레를 십이지신상의 호석으로 조성하였다. 묘소 앞쪽에 상석 및 계체석, 정면 좌·우측으로는 문인석과 망주석이 각각 1기씩 있으며, 우측에 이영남 장군 사적비가 1983년에 세워졌다. 이 석물들의 상태는 량호하나 근래에 건립·조성된 것이다. 좌측으로 말무덤 <애마총>이 자리하고 있다. 이영남 장군 묘소 상단으로는 장군의 부모 <이사종, 광주 진씨> 묘소 <쌍분> 각 1기 및 묘비와 조부 <이극인>의 묘소 및 묘비 1기가 위치하고 있다.",,https://www.jincheon.go.kr/site/tour/,충청북도 진천군 덕산읍 기전리,상시 개방,연중무휴,가능,,,,,,,,,,,,,,충청북도 기념물 진천 이영남 묘소 (2008.08.01 지정),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
연제 안승갑 고가,"연제 안승갑(1887~1951) 고가는 진천군 만뢰산 아래 보련마을의 중심자리에 위치하고 있다. 연제 안승갑 선생은 1934년부터 1942년까지 현 화랑문화학교 자리에 안중근의사의 재종질 등 민족혼이 투철한 선생을 초빙하여 한글, 우리 역사, 민족사상등을 교육하던 만뢰학원을 사비로 설립·운영하였다.
이 고가는 조선시대 전통 가옥구조를 계승하여 1900년대 초에 건축한 ‘ㄱ’ 자형 돌기와 팔작지붕으로 정면 6칸, 측면 2칸 반으로 부분적인 겹집형태로 본채의 구조는 좌측(서쪽)으로부터 반 칸의 뒤주가 부엌에 이어져 있고 안방과 윗방, 대청이 있다. 대청마루는 널찍하고 매 칸마다 여닫이문을 설치하여 상당히 개방적이며, 부엌은 정면 2칸, 측면 2칸의 크기로 전면 앞마당과는 쌍여닫이 판문으로 연결되어 있다. 대문과 광은 본채와 직각으로 배치되어 정면 3칸, 측면 1칸 크기로 각 칸을 사이벽으로 구획하고 간략한 토벽구조로 축조되었으며, 본채와 아래채 사이에는 좌로부터 외양간, 변소, 잿간, 헛간으로 구성된 건물 1동이 자리 잡고 있다.",,,충청북도 진천군 진천읍 보련골길 46,상시 개방,연중무휴,가능,,,,,,,,,,,,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
단양클레이사격장,단양클레이사격장은 단양 시내에서 8km 거리에 있다. 해발 500m 고지에 있으며 경치 좋고 공기 맑은 야외에서 즐기는 안전하고 최신 시설을 갖춘 고급 레저스포츠이다. 단양 사격장은 사격 전문 안전요원의 1:1 개인 지도를 통해 안전하게 즐길 수 있다. 시설 이용 시 주의 사항으로는 14세 이상만 가능하며 장난치는 행동은 금지이며 방문 시 실물 신분증을 지참해야 한다.,,,충청북도 단양군 단양읍 노동장현로 207-17,"- 하절기 (3월~10월) 09:00~18:00
- 동절기 (11월~2월) 09:00~17:00",연중무휴,가능,,"- 평일 10,000원~30,000원
- 주말, 공휴일 15,000원~35,000원",,,,,,,있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오장환문학관,"충북 보은군 회인면 오장환 시인 생가 옆에 오장환문학관이 자리 잡고 있다. 정지용 시인의 제자이자 백석과 더불어 1930년대를 대표하는 오장환 시인은 1918년 충북 보은군 회인면 중앙리 140번지에서 태어났다. 어려서 박두진 시인과 안성초등학교를 같이 다녔으며 일본 지산중학에 유학하고 온 뒤부터는 서정주, 김광균, 이육사 시인 등과 가깝게 지냈고, 휘문고등학교를 다닐 때 정지용 시인에게서 시를 배웠다. 1951년 34세의 젊은 나이에 병사하였다. 2006년에 건립된 오장환문학관에는 오장환의 삶을 담은 영상실과 그의 시집이 전시되어 있다. 그리고 주옥같은 그의 시들이 빼곡하게 채워져 있다. 또한 문학관 안에는 휘문고 교지에 실린 초기 시, 오장환 시인의 동시, 이육사 시인에게 보낸 친필 엽서, 해방 후 중학교 교과서에 실린 시 등이 전시되어 있다.",,https://www.boeun.go.kr/tour/main/index.do,충청북도 보은군 회인면 회인로5길 12,09:00~18:00,매주 월요일 / 1월 1일 / 설· 추석 연휴,가능,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
충주 미륵리 석조여래입상,"충주 미륵리 석조여래입상은 충주 수안보 미륵사지에 있는 거대한 석불입상이다. 고려 초기 이 부근에서 많이 만들어진 대형 불상들과 양식적 특징이 같다. 전설에 따르면 신라 말 마의태자가 나라의 멸망을 비통하게 여겨 이곳까지 와서 불상을 만들었다고 한다. 이곳에서 나온 명문 기와를 통해 이곳이 미륵불을 모시는 사찰이며 원(院)을 겸하고 있는 사찰이라는 점, 1192년에 중수하였다는 사실 등이 밝혀졌다. 현재 불상이 위치한 석굴사원 앞쪽에는 석등을 비롯하여 오 층 석탑, 귀부, 당간지주, 불상 대좌 등 석조물들이 남아있다. 충주 미륵리 석조여래입상이 서 있는 석굴은 평면이 반원형으로 상부를 목조 가구로 결구한 반축조 형식의 석실 사원으로 추정되고 있다. 상부구조는 남아있지 않고 하부의 석실만 남아있는데, 감실이 있는 석축 구조를 보이며 이 석실의 중앙에 석불입상이 서 있다.
충주 미륵리 석조여래입상을 둘러싸고 있는 석실은 웅장한 규모로 큰 무사석으로 쌓아 올렸다. 석축 위에는 목조 건물이 있었으나 소실된 것으로 추정된다. 전실은 목조로 축조되었던 석굴과 목조건축의 복합양식을 보여준다. 석굴암을 모방한 듯하나 규모가 웅장하고 우리나라 석굴사원의 발달 연구에 있어 귀중한 자료이다. 주 미륵리 석조여래입상은 석굴사원으로 추정되는 충주 미륵사지의 중심 영역에 있다. 높이가 거대하며 모두 5매의 화강암을 이용해 조성했다.",,http://www.grandculture.net/chungju,충청북도 충주시 수안보면 미륵리 58,상시 개방,연중무휴,가능,,,,,,,,,있음,,충주관광지로 추천받아 간곳~~얼굴의 화려함과달리 몽통은간략하게표현되어 있고 화재로인해 일부만 남아있는상태라 아쉽다. 늘 가림막에 싸여 궁금 했는데 넘 신비로왔어요,불교 용품 판매점 / 주차장 / 화장실,무료,보물 충주 미륵리 석조여래입상(1963.01.21. 지정),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
