place,info,문의 및 안내,홈페이지,주소,이용시간,휴일,주차,이용요금,review,체험가능 연령,화장실,이용가능시설,입장료,시설이용료,주차 요금,할인 정보,접근로,출입통로,엘리베이터,장애인 주차 안내,수유실,주차요금,관람석,지체장애 기타 상세,지정현황,휠체어,대중 교통,유모차,오디오 가이드,시각장애 기타상세,판매 품목,점자 홍보물,개장기간,수용인원,주요시설,강습안내,청각 장애 기타상세,규모,입점브랜드,영업시간,대표메뉴,취급메뉴,큰활자 홍보물,점자 블록,안내 요원,유도안내 설비,보조견 동반,대여안내,보유장비,매표소,부대시설,자막 비디오 가이드,홍보물,수화 안내,코스안내,영유아가족 기타상세,체험
감로암(서울),"동대문에서 대학로로 들어가는 율곡로 대로변에 자그마한 사찰이 있다. 그 이름도 특이하게 목마른 중생에게 구제의 감로를 준다는 ‘감로암’이다. 도심 속 삭막한 빌딩 숲 사이에 아직 개발되지 않은 주택가에 정말 도심에서 보기 힘든 자그마한 암자가 있다. 감로암의 역사는 벌써 100여 년이 흘렀다. 대로변에서 주택가로 나 있는 골목길을 따라 들어서면 보이는 곳에 여느 주택과 별반 차이 없이 건물을 지어 불상을 봉안하고 예배하고 있다. 하지만 여법하게 산문을 만들고 단청을 하며, 기와를 엮어 고풍스러운 가람의 멋을 느끼게 한다. 예부터 관음영험도량으로 알려진 감로암은 동네 어르신들, 특히 할머니들의 다담방, 기도처로 알려져 있다. 감로암은 사찰의 이름처럼 누군가 구제받을 수 있고, 고통에서 벗어날 수 있는 감로가 있는 곳이다. 지금은 마시지 못하지만 보타전 아래에는 여전히 그 옛날 감로의 맛을 느끼게 했던 감로가 흐르고 있다.",,,서울특별시 종로구 율곡로23길 16 (충신동),09:00~18:00,연중무휴,불가능,,,,,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
남대문 중앙상가,"중앙상가는 각종 여성용품과 우리나라의 특색 있는 제품들로 구성되어 있다. 1층 여성의류 전문매장에는 전국의 다양한 디자인의 여성의류가 한곳에 모여 있어 쇼핑을 즐기는 여성들이 많이 찾는 곳이며, 액세서리 전문점도 함께 있어 쇼핑시간을 단축할 수 있다. 2층은 외국인들이 가장 선호하는 민속공예품 및 전통공예품들이 많은 곳이며 포목, 수예, 침구, 전통혼례 용품들을 한눈에 볼 수 있는 곳이다.",,,서울특별시 중구 남대문시장4길 21,점포별 상이함 (전화 문의),점포별 상이함 (전화 문의),가능,,,,,,,,,,,,,,,,,,,,,,,,여성용품 / 한복 / 액세서리 등,,,,,,,지하 1층 지상 4층,,,,,,,,,,,,,,,,,,,
남대문 본동의류상가,"남대문 본동의류상가는 전통시장인 남대문시장 안에 있는 상가 건물이다. 2층 건물에 명품의류 할인매장, 각종 숙녀복과 남성복, 패션잡화 도매상, 카페 등의 상점이 입점해 있다. 상가 건물 주변으로 남대문시장의 명물 갈치조림골목과 정육점, 식품, 잡화 등 우리나라 고유의 시장 문화와 특색이 담긴 상점들이 많다. 남대문시장의 예스럽고 정겨운 풍경을 보기 위해 찾는 국내외 관광객이 많다.
수도권 지하철 4호선 회현역 5번 출구에서 도보 약 10분 거리에 있다. 주변에 갈치조림, 잔치국수, 떡볶이 등 맛집들이 많아서 볼거리와 먹을거리를 함께 즐길 수 있다.",,,서울특별시 중구 남대문시장2길 3-2,상점마다 상이,상점마다 상이,없음,,마음껏 저렴한 가격에 수많은 제품을 쇼팡할수 있는 쇼핑천국입니다..^^,,,,,,,,,,,,,,,,,,,,,,문구 / 의류 / 식품 외,,,,,,,지상 2층,,,,,,,,,,,,,,,,,,,
테이크어스트릿(Take a street),"브랜드 셀렉트샵 테이크어스트릿(Take a street)은 다양한 아이템을 조합하는 것에 그치는 것이 아니라 매 시즌 상품 구성의 콘셉트를 정해 이야기가 있는 숍을 보여주고자 한다. 감각적인 브랜드만을 선별하여 신발, 모자, 가방, 시계, 티셔츠 등의 잡화 및 액세서리 품목을 취급하며 각 아이템으로 새로운 스타일을 연출할 수 있도록 코디 서비스도 지원한다.",,"공식 홈페이지 http://www.takeastreet.com
공식 인스타그램 https://www.instagram.com/takeastreet",서울특별시 마포구 양화로 45 1층 106호,12:00~21:00,매주 일요일,"가능
요금 (1시간 무료 / 구매 시 최대 3시간)",,,,장애인 화장실 있음,,,,,,출입구까지 턱이 없어 휠체어 접근 가능함(수동문),주출입구는 턱이 없어 휠체어 접근 가능함,엘리베이터 있음,장애인 주차장 있음(홈플러스 주차장)_무장애 편의시설,,,,,,,,,,,의류,,,,,,,,,,,,,점자블록 있음(주 출입구 앞)_시각장애인 편의시설,,,,,,,,,,,,,
정법사(서울),"삼각산 정법사(正法寺)는 원래 복천암(福泉庵)으로 조선 후기 유명한 학승이며, 선사였던 호암 체정(1687~1748) 대선사가 창건하였다. 1959년 건봉사(乾鳳寺) 만일염불회(萬日念佛會)의 회주 보광스님과 석산스님이 서울 가회동에 있던 건봉사 포교당인 정법원을 이곳에 이전하여 중창하였다. 이후 만일염훌회의 만화, 대련, 복광의 법맥을 계승한 고명한 어산장(염불승)인 석산스님이 주석하면서 염불수행의 일가를 이루었다. 현재 남아있는 유물로는 조선시대에 조성된 관세음보살상과 산신탱화 및 복천암터의 주춧돌 등 다수가 있다.",,http://www.jbtemple.org,서울특별시 성북구 대사관로13길 44 (성북동),09:00~18:00,연중무휴,가능,,,,,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
성신여자대학교박물관,"성신여자대학교 박물관은 1966년 생활과학박물관의 설립을 시작으로 지금의 문화예술의 향유공간으로 성장·발전하였다. 우리 문화유산을 수집, 보존, 전시하는 기능과 함께 선인들의 생활상과 문화예술의 면면을 밝혀내기 위해 연구 및 교육기관으로서의 역할을 수행하는 문화의 전당이다. 대학 안에 3개의 박물관과 운정기념관, 아트갤러리 등 문화적 감성을 자극하는 공간에서는 매년 다양한 전시와 프로그램을 운영하고 있으며, 이를 통해 지역주민과 교직원 및 학생들에게 수준 높은 문화감상과 학습의 기회를 제공하고 있다.",,www.sungshin.ac.kr/museum,서울특별시 성북구 보문로34다길 2 (돈암동),10:00~17:00 (입장마감 16:30),매주 토요일~일요일 / 법정공휴일 / 개교기념일(4월 28일),가능,무료,,,,,,,"1시간 3,000원 / 이후 10분당 500원",,출입구까지 단차 없이 연결 됨 (건물 3층으로 진입),주출입구는 무단차로 휠체어 접근 가능함,,장애인 전용 주차구역 있음(대학교와 공용)_무장애 편의시설,,,,,,휠체어 무료대여(2대),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서울월드컵경기장,"서울월드컵경기장은 2002년 FIFA 월드컵을 위해 건설된 다목적 경기장이다. 이 경기장은 최대 66,000명을 수용할 수 있는 규모를 자랑한다. 현대적인 디자인과 뛰어난 시설로 유명하며, 국내외 다양한 스포츠 이벤트와 공연이 열리는 장소이다. 또한, 경기장 주변에는 공원과 문화시설이 조성되어 있어 시민들의 여가 공간으로도 활용된다. 서울월드컵경기장은 한국 축구의 상징적인 장소로, 국가대표팀의 홈경기와 K리그 경기가 자주 개최된다. 이곳은 스포츠 팬들에게 특별한 경험을 제공하는 곳이다.",,https://www.sisul.or.kr/open_content/worldcup/,서울특별시 마포구 월드컵로 240 (성산동),09:00~18:00,연중무휴,가능,"[스타디움 투어]
- 성인 1,000원
- 18세 이하 / 65세 이상 / 장애인 / 국가유공자 / 의사상자 500원
※ 무료 : 다둥이 행복카드 소지자 및 다둥이 행복카드에 등재된 가족
※ 자세한 사항은 홈페이지 참고","이번 월드컵 예선경기로 직관 다녀왔는데 서로 부딪힌다거나 혼잡하다거나 그러지않고 안전요원이 있어 시끌벅적하지만 질서는 잘 지켜졌습니다. 주말이 아니고 평일에 이 정도라니!!! 부스에 이벤트도 하고 푸드트럭도 많고 국가대표 정품 머플러, 유니폼도 판매하고 있어서 경기 시작 한 시간 전 도착해도 시간 모자른 느낌이였어요. 경기보려고 휴가 내셔서 시간 많다면 근처 망원동에서 놀다가 한강통해서 공유 자전거로 오면 금방입니다! 참고로 차끌고 오는건 추천드리지않아요! 주차비도 있겠지만 나중엔 주차비가 얼마든 자리가 나냐 안 나냐가 문제라서..ㅠㅠ 일단 월드컵 본선 진출 아싸!!
닫기 경기장내 다양한 시설이 있어서 좋아요! 인터넷으로 봐도 좋지만 무엇보다도 서울월드컵경기장에서 현장감 느끼는 것만큼 좋지는 않을 듯!! 축구경기장주변엔 야외공원과 연결되어서 산책하기에도 좋아요.",,있음,,,,,,주차장에서 경기장 엘리베이터 입구까지 턱이 없어 휠체어 접근 가능함,,"장애인 엘리베이터 있음(동문,서문,남문,북문)","장애인 주차장 있음(동문,서문,남문,북문)_무장애 편의시설",,,"장애인 관람석 있음
1층 : D1-D2문 / B~G블럭 / 14열 / 1~32 좌석
3층 : S4문 / F블럭 / 40열 / 1~20 좌석
N1문 / F블럭 / 40열 / 20~39 좌석
E1,E5문 / A~H블럭 / 40열 / 1~33 좌석",,,,,,,,,,,,주경기장 / 보조경기장 / 풋살구장 / 다목적구장 / 월드컵광장 등,,,,,,,,,점자유도로 및 점자블록 있음(엘리베이터 앞)_시각장애인 편의시설,,,,,,,,,,,,,
경의선책거리,"경의선 책거리는 18세기 후반, 책을 통해 문치(文治)를 하려는 정조시대의 책(冊)가도 문화를 현대적 의미로 되살려, 시민들에게 책을 통한 복합문화공간으로 제공하고자 경의선 폐선부지인 홍대 복합역사에 조성한 책 테마거리다. 경의선 책거리를 찾는 시민들이 세상에 나온 책 한 권의 위대한 가치를 통해 건강한 삶의 지혜를 함께 나누고 꿈을 실현하며, 마포의 출판 산업 부가가치를 높이는 출발 거점으로 발전하길 바라는 의미로 2016년 10월 조성이 완료되었다.",,https://www.instagram.com/gbookst,서울특별시 마포구 와우산로37길 35,11:00~20:00,매주 월요일,불가능,,경의선 숲길이 집 근처라 산책겸 나가는데 멀리 걸어갈때는 홍대입구까지 쭉 걸어갔다 와요~ 아이랑 산책하기도 좋고 중간중간 구경할것도 많고 넘 좋아요. 경의선 책거리 근처에는 다양한 소품샵이 있는데 그중 오브젝트는 다양한 전시와 팝업을 함께 진행하고있어서 구경하기 좋았어요. 홍대에서 신촌가는방향으로 산책하기도 좋은곳이네요.주변 이쁜카페나 먹거리도있고요.옛기차길이 멋지네요.,,장애인 화장실 있음(홍대입구역),,,,,,출입구까지 턱이 없어 휠체어 접근 가능함,주출입구는 턱이 없어 휠체어 접근 가능함(수동문),,장애인 주차장 있음(애경타워 주차장)_무장애 편의시설,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
눈스퀘어,"다양한 국·내외 패션, F&B, 라이프스타일과 엔터테인먼트가 하나로 어우러진 공간으로 명동을 상징하는 새로운 아이콘이다. ‘눈(snow)’과 같이 희고 아름다운 결정체를 가지고 있는 쇼핑몰의 외관을 의미하는 것으로 인테리어 또한 한국 최초로 외부 에스컬레이터를 설치해 편리하게 구성하였다. 눈스퀘어에는 다양한 국내·외 브랜드들이 즐비해 있다. 이외에도 다양한 먹을거리와 CGV 영화관 등의 문화공간이 함께 마련되어 있어 패셔니스트들의 흥미를 더할 것이다.",,http://www.noonsquare.com,서울특별시 중구 명동길 14 (명동2가),11:00~22:00,연중무휴,가능,,,,장애인 전용 화장실 있음(각 층),,,,,,출입구까지 경사로가 설치되어 있음(수동문),주출입구는 경사로가 있어 휠체어 접근 가능함,엘리베이터 있음,장애인 전용 주차구역 있음(지하1층)_무장애 편의시설,,,,,,,,,,,의류,,,,,,,,나이키 / 자라 / 에이랜드 / 에비수 / CHARLES & KEITH / 핸드메이드 리퍼블릭,,,,,점자블록 있음(주출입구)_시각장애인 편의시설,,,,,,,,,,,,,
타임스퀘어,"타임스퀘어(Times square)는 2009년 9월 16일 서울시 영등포에 오픈한 국내 최대 규모의 복합 쇼핑몰이다. 상업∙업무∙문화∙레저가 어우러진 도시형 엔터테인먼트 문화공간(UELC∙Urban Entertailing Lifestyle Center)으로, 메리어트호텔, 오피스 2개 동, 신세계백화점, CGV 멀티플렉스, 이마트, 교보문고, 아모리스, 글로벌 SPA 브랜드 자라와 등이 입점해 있다. 초대형 복합 쇼핑몰인 타임스퀘어는 오픈 이후 8개월간 방문객 4,900만 명, 매출 6,500억 원을 기록하면서 서울 서남부권의 랜드마크로 자리 잡았다. 지상 1~5층의 아트리움과 패션몰 외벽을 대형 통유리로 처리해 24시간 자연 채광을 받으며 쾌적한 쇼핑을 즐길 수 있는 것이 특징이다. 또한 완벽한 휴식과 여유를 위해 분수 정원과 테라스 공간까지 마련되어 있다.",,http://www.timessquare.co.kr,서울특별시 영등포구 영중로 15 (영등포동4가),10:30~22:00,연중무휴,"가능
요금 (최소 30분 무료 / 30분 초과 시 10분 당 1,000원)",,"너무 좋아요~ 마트에 쇼핑몰에 영화관에 백화점까지 연결되어 있으니!!! 앞에 분수도 있어서 더운 여름에 시원하게 느껴지고 실제로 소핑몰안이 너무너무 시원해요~ 하루종일 놀라그래도 놀수있을것같아요~ 뒷편에 미니 정원은 분수랑 꽃이 있어서 힐링하기 딱이예요!! 좀 복잡하긴 하지만 아이랑 놀 수 있는 공간도 많고 쇼핑 센터도 커서 좋습니다 타임스퀘어 내에 주렁주렁은 아이들이 좋아하는 공간입니다 영등포에 위치한 타임스퀘어는 근처에 롯데백화점과 이마트가 있어 주차가 힘들지만 대중교통으로가면 바로 앞에서 내려 편해요. 이번에 갔을땐 팝업스토어로 2025야채스타 육상선수권대회 를 하더라구요. 입장해서 공던지기 뜀박질등 네가지 미션을 완료하면 럭키드로우 참여기회가 주어지더라구요 재미있어요.주말이라 사람이 좀 많았지만 쇼핑과 식당거리도 많아 가볼만해요. 좀 복잡해서 차로 가긴 좀 힘듬 1층에 이런저런 행사도 많이해요 영화도 보고 쇼핑도 하고 책도보고 밥먹고 하다보면 하루가 다 가요 할것이 많아요 타임스퀘어 딱히 사지 않더라도 지하상가와 함께 아이쇼핑 좋아요. 꺽이지 않는 폭염과 끈적한 습도, 지루한 여름이 계속되는 24년. 올해는 실내에서 보내는 시간이 늘어갑니다. 실내에 있다보면 단조로움에 자칫 무료해지는데, 식사와 디저트, 쇼핑과 영화를 한번에 해결할 수 있는 타임스퀘어. 그리고 최고의 장점은 수시로 바뀌는 이벤트가 있어 즐거운 시간을 보낼 수 있는 곳, 더위를 피해 들러 보세요…",,"장애인 전용 화장실 있음(지하1,2,3층)",,,,,,출입구까지 경사로가 설치되어 있음,주출입구는 경사로가 있어 휠체어 접근 가능함,엘리베이터 있음,장애인 전용 주차구역 있음(지하3층)_무장애 편의시설,,,,무인안내시스템(지하3층~지상5층),,"휠체어 대여 가능함 (1층 안내데스크, 10:30~22:00, 신분증보관)",,"유모차 대여 가능함(1층 안내데스크, 10:30~22:00, 신분증보관)",,,패션 / 뷰티 / 생활 / 서적 등,,,,,,,,무신사스탠다드 / 유니클로 / 자라 / 무인양품 / 교보문고 등,,,,,,,,,,,,,,,,,유아휴게실(지하2층),
국립중앙도서관,"국립중앙도서관은 국가 대표 도서관으로 국가의 지적 문화유산을 총체적, 체계적으로 수집·보존하여 이를 후세에 전승시키는 문화 전달자로의 책무를 수행하고 있는 우리나라 문헌 정보의 총보고이다. 1988년 5월 28일 남산에서 서초구 반포동으로 신축 이전한 현재의 국립중앙도서관 건물은 본관과 부속건물(별관)로 이루어져 있으며, 서초공원으로 둘러싸인 도서관 건물은 주위의 경관이 아름답고 분위기가 조용하여 도서관 이용자들에게 편안하고 쾌적한 휴식 공간을 제공하고 있다.",,http://www.nl.go.kr,서울특별시 서초구 반포대로 201 (반포동),09:00~18:00 (수요일 09:00~21:00),"매월 둘째 주, 넷째 주 월요일 / 일요일을 제외한 관공서의 공휴일
※ 설, 추석 연휴 기간 중의 일요일은 휴관",가능,무료,"이제 돌아오는 가을. 서울 한복판에 있는 도서관에서 낙엽과 함께 고즈넉한 독서를 즐길 수 있습니다. 한국에서 출판되는 모든 자료를 볼 수 있는 특징도 있고, 구내식당에서 맛있는 한끼도 해결 가능합니다. 오전에 왔다가 오후에 나가게 됩니다~!!! 참 좋아하는 도서관 중 하나. 넓고 책이나 자료들도 많아서 좋습니다. 대출은 안되는점 참고하세요! 식당의 밥 맛있어요. 국립중앙도서관은 일반 도서 잡지 시청각 자료들을 보기위한 마음의 관광터여서, 시중에서 절판된 책들도 찾아볼 수 있고, 여러가지 자료들도 편리하게 검색할 수 있습니다. 꼭 공부나 연구 뿐 아니라 하루 이틀 정도 좋아하는 분야의 책들을 찾아서 읽고 쉴수 있는 장소같습니다. 특히 매달 독립영화도 무료로 관람할 수 있어서 더욱 좋은 것 같습니다. 교통도 편리하고 더위도 잊을 수 있는 귀하고 좋은 도서관입니다.
닫기   ",,장애인 전용 화장실 있음,,,,"최초 30분 무료 / 이후 15분 당 500원
(1일 최고요금 10,000원)",,출입구까지 단차가 없어 휠체어 접근 가능함,주출입구는 단차가 없어 휠체어 접근 가능함,장애인 전용 엘리베이터 있음,"장애인 전용 주차구역 있음(14대,구내식당 앞)_무장애 편의시설",,,,,,,,,,,,,,,,,,,,,,,,점자블록 있음(접근로부터 주요시설 앞까지 연결됨)_시각장애인 편의시설,,,,,,,,,,,,,견학 / 해설이 있는 K 컬처(실감체험관) / 미디어 활용 및 창작 교육 / 영화 상영
세종로공원,"세종로공원은 우리나라의 중심인 세종로 가로(경복궁-광화문-세종문화회관-청계천-서울광장)에 조성된 녹지공간이다. 노후되고 폐쇄되어 시민 이용에 한계가 있던 곳을 광화문광장과 연계하여 개방형 공원으로 탈바꿈하여 새로운 시민소통의 공간으로 마련하였다. 공원 내에는 그늘집과 나무의자가 곳곳에 설치되어 인근 직장인들에게 도심 속의 휴식공간을 제공한다. 또한, 분수대와 야외 원형 무대, 각종 조형물이 들어서 깔끔하고 정돈된 분위기 속에서 휴식을 취할 수 있다.",,http://parks.seoul.go.kr/parks/detailView.do?pIdx=1328&tabTarget=1,서울특별시 종로구 세종대로 지하 189,상시,연중무휴,"가능 (세종로공영주차장)
요금 (1시간 5,160원 )",,,,장애인 전용 화장실 있음,"[휴게․편익공간] 야외무대, 매점, 디자인파라솔, 야외테이블 등
[상징광장] 조선시대 사헌부 및 병조터 흔적복원
[한글글자마당] 전국민 공모 11,172자로 구성",무료,,,,출입구까지 단차가 없어 휠체어 접근 가능함,주출입구는 경사로 있어 휠체어 접근 가능함,엘리베이터 있음,,,,,세종문화회관 장애시설 이용 가능,,,,,,,,,,,,,,,,,,,,"점자블록 있음(화장실, 엘리베이터)_시각장애인 편의시설",,,,,,,,,,,,,
KCDF 갤러리숍 공예정원,"인사동 한국공예·디자인문화진흥원(KCDF) 갤러리 내에 위치한 갤러리숍은 명실 공히 한국을 대표할 수 있는 최고의 장인, 작가들이 만든 수준 높은 공예디자인 상품들이 전시 및 판매되고 있다. 주방용품, 생활용품, 인테리어, 문구/사무, 패션/잡화 등 다양한 카테고리 별로 판매 중인 상품들을 둘러볼 수 있다.",,https://www.kcdfshop.kr,서울특별시 종로구 인사동11길 8 공예종합유통지원센터 KCDF갤러리 1층,10:00~19:00 (휴게시간 13:00~14:00),매주 월요일 / 1월 1일 / 설·추석 당일,,,,,,,,,,,,,,,,,,,,,,,,,공예품 / 디자인 상품,,,,,,,,,,,,,,,,,,,,,,,,,,
생명보험교육문화센터,"생명보험 교육문화센터는 국내 최초로 문을 연 생명보험 체험관이다. 전시 홍보관과 디지털체험관, 체험 학습관 등을 갖추고 있으며 아이들이 어렵게 느낄 수 있는 금융과 보험 상식을 쉽고 재미있게 전달해 준다.
체험 프로그램은 초등학생부터 일반인까지 참여 가능한 체험학습과 중·고등학생을 대상으로 한 진로학습이 있다. 체험학습은 태블릿 PC를 활용해 자기 주도적인 학습 형태로 이뤄진다. 전시 홍보관에서 생명보험의 역사와 사회공헌활동에 관한 전시를 관람하고 생활 속 위험과 보험의 필요성을 주제로 한 애니메이션을 관람하면 기본적인 준비가 끝난다.
오리엔테이션과 가상현실(VR), 증강현실(AR) 등을 통해 금융보험의 원리에 대해 알아보고, 각자 태블릿 PC를 들고 본격적인 미션 수행에 나서게 되는데 체험 학습관에 총 13개 미션이 준비되어 있다. 각 단계를 거칠 때마다 화폐란 무엇인지, 보험은 어떻게 생겨났으며 어떤 원리로 작용하는지, 사회보험은 왜 필요한지 등 다양한 금융 보험 상식을 학습할 수 있다. 또 자신의 소비 지출 성향을 테스트하거나 게임을 통해 생애주기별 위험 관리를 체험하게 된다. 미션을 모두 마치면 그동안 배운 내용을 팀별 퀴즈 배틀을 통해 복습하게 된다. 진로학습은 금융보험에 대해 이해하고 보험 관련 다양한 직업에 대해 배울 수 있다.
생명보험 교육문화센터는 서울 외에 부산에도 체험관이 있으며 모든 프로그램은 무료로 참여할 수 있다.",,https://www.lifeinsedu.or.kr/,서울특별시 종로구 새문안로5길 31 (도렴동) 3층,"09:00~18:00
※ 사전 예약제로 운영",매주 토요일~일요일 / 공휴일,가능 (약 15~20대),,,학생 및 성인(단체 및 개인),있음,체험학습관 / 전시홍보관 / 디지털 체험관 / 교욱회의장,무료,,,,문턱 없이 평지로 연결되어 휠체어 통과 가능,주출입구에 휠체어가 통과 가능 가능함 (회전문),엘리베이터 있음,장애인 전용 별도 주차칸 있음 (지하 2층 5칸),,"기본 10분 1,000원 / 추가 10분당 1,000원",,,,,,,,,,,,,,,,,,,,,,,,,가능,,,,,,,,,,체험학습 / 진로학습
성북문화원,"성북문화원은 1996년에 설립되었다. 설립 이래 성북학 연구, 성북마을아카이브 구축, 전통예술강좌를 비롯한 각종 문화강좌의 운영과 성북동문화재야행을 비롯한 각종 콘텐츠의 개발은 성북구 지역문화의 기반을 다지는 역할을 해왔다. 지역주민들의 문화 발전을 위해 미술·서예, 악기·음악, 댄스·무용, 생활교양, 어린이로 5가지 카테고리를 나누어 다양한 분야의 문화 프로그램을 운영하고 있다. 프로그램 수강은 인터넷 접수와 방문 접수 두 가지 방법으로 진행된다.",,https://www.isbcc.or.kr/,서울특별시 성북구 성북로4길 13-8 (동소문동1가),09:00~18:00,매주 토요일~일요일 / 법정공휴일,가능,,,,장애인 화장실 있음,,,,,,출입구까지 경사로가 설치되어 있음(수동문)_무장애 편의시설,주출입구는 경사로가 있어 휠체어 접근 가능함,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,문화강좌
어린이회관 눈썰매장,"어린이회관 눈썰매장은 서울 최대의 눈썰매장으로 가족, 연인 누구나 즐길 수 있는 공간이다. 어린이회관 눈썰매장은 12월 말부터 3월 초까지 개장하며, 눈썰매장이 80m의 초급코스와 120m의 중, 고급 코스로 나뉘어있어 연령과 수준에 맞춰 눈썰매를 즐길 수 있다. 이 밖에도 다양한 놀이시설과 빙어잡이 체험이 가능하다. 빙어잡이 체험 시 틀채와 빙어통은 무료제공 되는 것으로 사용하면 되고 잡은 빙어는 10마리 이내로 가져올 수 있다.",,"https://www.lpseoul.com/
https://www.instagram.com/slp_bbq.swim.snow_place/",서울특별시 광진구 광나루로 441 (능동),10:00~17:00,"2/26~12/20
※ 변동될 수 있으므로 홈페이지 참고","가능
요금 (종일 6,000원)","14,000원
※ 자세한 사항은 홈페이지 참고",어린이대공원옆 어린이회관 눈썰매장 넓고 주차도 괜찮고 좋네요. 저번 추운날 아이듵과 같이 다녀왔는데 눈썰매 시설도 잘되있고 아이들이 재미있어하네요. 여름과 겨울 테마가 달라져서 계절마다 가기 좋네요. 매년 겨울이면 어린이회관 눈썰매장을 찾게되는거같아요. 주차도 편하고 시설도 깨끗한데다가 가까워서 찾기 좋아요. 아이들이 눈썰매탈곳으로 정말 좋아요. 올겨울도 벌써부터 기대가 매우 되는곳이라 적극 추천합니다.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"빙어잡이체험, 에어범퍼카, 에어바운스, 전통얼음썰매, 전통민속놀이체험",,,,,,
이새,"이새는 화학성분이 들어가지 않은 원단을 사용하여 자연주의 브랜드라는 특징으로 중장년층을 위주로 한 친환경 염색 의류이다. 천연 소재와 천연 염색, 한복과 양장이 조화를 이룬 몸에 편안한 실루엣으로 디자인된 옷을 주로 판매한다. 의류뿐만 아니라 가방, 신반, 모자 등도 천연 소재로 만들어 판매하고 있으며, 침구와 앞치마 등의 라이프 용품도 있다. 인사동에 오프라인 매장이 위치해 있으며, 온라인으로도 구입할 수 있다.",,http://www.isae.co.kr,서울특별시 종로구 인사동길 30-1 (관훈동),전화 문의,전화 문의,,,,,,,,,,,,,,,,,,,,,,,,,친환경 여성의류,,,,,,,,,,,,,,,,,,,,,,,,,,
헬로우 에이피엠 (Hello apm),"헬로우 에이피엠 (Hello apm)은 10대~20대가 주 고객층으로 구성되어 있는 동대문의 대표적인 패션몰 중 하나이다. 동대문에서 가장 많은 고객이 찾는 패션몰로 선정되기도 하였으며, 젊음의 열기와 문화가 숨 쉬는 멀티 쇼핑몰이다. 최신 트렌드를 반영한 패션 의류 제품을 저렴한 가격으로 구할 수 있어 내국인은 물론 외국인 관광객까지 즐겨 찾는다. 또한 진열대가 낮게 설치되어 있어 휠체어 이용자도 상품을 가까이에서 볼 수 있다.",,,서울특별시 중구 장충단로 253,상시,연중무휴,가능(100여 대),,,,,,,,,,출입구까지 단차가 없어 휠체어 접근 가능함,,엘리베이터 있음,장애인 전용 주차구역 있음(지하2~3층)_무장애 편의시설,,,,,,,,대여 가능,,,"여성의류, 남성의류, 패션잡화",,,,,,,"- 지하 4층, 지상11층
- 면적 1,620,88㎡",,,,,,,,,,,,,,,,,,,
수락산 당고개지구 공원,"수락산 당고개지구 공원은 지하철 4호선 당고개역 인근에 있다.
지역주민의 편안한 휴식과 문화공간을 목적으로 지어졌다. 공원 중심에 나선형 광장과 어린이 놀이공간, 야외무대, 소나무 동산, 농구장, 배드민턴장, 체력단련장 등이 조성되어 있다. 인공암벽장이 있어 암벽오르기를 즐길 수 있다. 평일과 주말에 암벽등반 동호인들이 자주 이용한다. 나선형광장은 주민들의 커뮤니티 활성화 공간으로 설계 되어졌다. 어린이 놀이공간은 하절기에는 물놀이 시설로 사용되어진다.
공원에서 수락산 등산로가 연결되어 있다.",,http://parks.seoul.go.kr/parks/,서울특별시 노원구 상계로 273,연중개방,,가능,,주변 개발과 함께 잘 정비되어 가벼운 마음으로 찾기 좋은 공원입니다~아이들과 함께 찾아가서 즐거웠던 추억이 생겼습니다~,,장애인 화장실 있음_무장애 편의시설,"휴양시설 : 정자, 야외음악당, 데크쉼터
체육시설 : 궁도장, 배구장, 게이트볼장
편익시설 : 매점, 약수터
문화재 및 사찰 : 아차산보루군, 사찰",무료,,,,출입구까지 턱이 없어 휠체어 접근 가능함,주출입구는 턱이 없어 휠체어 접근 가능함,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
