place,info,문의 및 안내,홈페이지,주소,이용시간,휴일,주차,지정현황,화장실,주차요금,review,이용요금,접근로,출입통로,장애인 주차 안내,엘리베이터,대중 교통,이용가능시설,입장료,시설이용료,유모차,수유실,휠체어,유아용보조의자,판매 품목,체험가능 연령,시각장애 기타상세,규모,개장기간,부대시설,주요시설,객실,입점브랜드,관람석,점자 홍보물,수용인원,오디오 가이드,지체장애 기타 상세,주차 요금,점자 블록,대여안내,보조견 동반,안내 요원,코스안내,보유장비,강습안내,이용 시기,입실시간,퇴실시간,객실내 취사 여부,식음료장,객실수,예약안내,예약안내 홈페이지,객실유형,영유아가족 기타상세,체험
해오름캠핑장,가장 먼저 해가 뜨는 울산 간절곶과 도보 10분 거리의 야영장이다. 울산 바다를 배경으로 하는 아름다운 경관과 일상에서 벗어나 자연을 만끽하고 싶은 캠퍼들을 기다리고 있다.,,http://horns.co.kr,울산광역시 울주군 서생면 해맞이로 1109-17,14:00~익일 12:00,,가능,,가능,,,"50,000원
※ 이용요금은 변동될 수 있으므로 홈페이지 참조 또는 전화 문의 요망",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
황방산생태야영장,"황방산 생태야영장은 울산광역시 동북부에 위치하고 있으며, 도심과 가까이 있어 접근성이 좋은 신설 캠핑장이다. 모든 편의시설들이 깨끗하고 깔끔하게 정리가 되어 있다. 캠핑장은 카라반과 야영장이 함께 있는 구성이다. 근처에는 황방산 숲길, 등산로와 함께 인접해 있어 산책하기에도 좋다. 황방산 생태야영장은 파쇄석 사이트와 하우스 모양의 카라반이 있다. 작지만 깨끗한 최신시설의 화장실, 샤워장, 개수대는 이용하는데 불편함 없다. 캠핑장비가 없는 캠퍼들은 펜션처럼 만들어진 카라반을 이용할 수 있다. 카라반은 1, 2층으로 침대가 있으며 거실 겸 주방시설이 설치되어 있으며, 취사도구도 골고루 갖춰져 있어 편하다. 카라반 앞 중앙으로 커다란 잔디밭이 있어 어린이들이 마음껏 뛰어놀 수 있어 좋다.",,https://camping.junggu.ulsan.kr/camping/index.do,울산광역시 중구 단장골길 1 (복산동),"- 캠핑 14:00~익일13:00
- 카라반 14:00~익일11:00","매주 화요일, 수요일",가능,,가능,,황방산에 맨날로 걷기좋은 길이 있어 평일주말관계없이 많은 사람들이 맨발로 걸어요 야영장에서 아이들과 지내며 황방산 걷다오면 너무 좋아요,"25,000원~160,000원
※ 이용요금은 변동될 수 있으므로 홈페이지 참조 또는 전화 문의 요망",,,,,,,,,,,,,,,,,,"전기, 무선인터넷, 온수, 놀이터, 산책로",,,,,,,,,,,,,,,,,,,,,,,,,,,
들살이오토캠핑장,"들살이오토캠핑장은 산과 강이 어우러져 멋진 풍경을 자랑하는 울산 울주군 배내골에 자리하고 있다. 30여 개의 사이트를 가지고 있는 캠핑장으로 무성한 나무들이 많아 자연적으로 그늘이 생기는 사이트가 많다. 캠핑장 앞으로 흐르는 계곡물에서 물놀이를 할 수 있다. 캠핑장엔 비단 꽃이라고도 불리는 자귀나무가 운치를 더해주고 있다. 캠핑장은 A와 B 2구역으로 나누어져 있으며 파쇄석 사이트를 가지고 있다. 겨울엔 햇볕이 잘 드는 B 사이트가 인기가 좋다. 사이트 2개당 하나씩 배전함이 설치되어 있어 편하게 전기를 사용할 수 있으며, 와이파이 사용도 가능하다.",,http://cafe.naver.com/deulsalicamping/,울산광역시 울주군 상북면 배내로 1064-4,14:00~익일 13:00,,가능,,가능,,,"50,000원~60,000원
※ 이용요금은 변동될 수 있으므로 홈페이지 참조 또는 전화 문의 요망",,,,,,,,,,,,,,,,,,"전기, 무선인터넷, 장작판매, 온수, 운동시설","소화기: 20, 방화사: 1",,,,,,,,,,텐트,,,,,,,,,,,,,,,,
태화연오토캠핑장,"태화연 캠핑장은 울산광역시 중구 태화 저수지에 위치해 있다. 태화강 십리대 밭과 먹거리 단지, 척과천 야외 물놀이장이 인접해 있어 관광시설 견학과 문화시설 체험을 연계하여 캠핑을 즐길 수 있다. 울산 혁신도시와 인접해 있어 주위 편의시설 이용이 가능하고 외부 음식이 캠핑장 안까지 배달된다는 장점이 있다. 캠핑장은 40여 개의 파쇄석 사이트로 되어 있으며 사이트 간 간격이 넓어 여유롭게 텐트를 설치할 수 있다. 각 사이트마다 전기 분전함이 설치되어 있어 전기 사용이 편리하며, 화장실, 개수대, 샤워장도 잘 관리돼 있다. 캠핑장 입구에는 넓은 잔디광장이 있어, 어린이들이 마음껏 뛰어놀 수 있다.",,https://camping.junggu.ulsan.kr/,울산광역시 중구 종가로 66 (태화동),"당일 14:00~익일 13:00
※ 카라반 시설은 당일 14:00~익일 11:00","수요일, 목요일",주차가능,,가능,,,"20,000원~35,000원
※ 이용요금은 변동될 수 있으므로 홈페이지 참조 또는 전화 문의 요망",,,,,,,,,,,,,,,,,,"전기,무선인터넷,온수,놀이터,산책로","안전시설 설비사항
소화기:45, 방화수:2",,,,,,,,,,,,,,,,,,,,,,,,,,
천리안캠프힐,"천리안캠프힐은 가지산과 문복산, 고헌산으로 둘러싸인 오토캠핑장이다. 사계절 운영하고 있으며 특히 가을이면 단풍이 장관을 이룬다. 나무들이 많아 자연스러운 그늘막 역할을 해주는 것도 캠핑장의 장점이다, 사이트가 넓어 대형 텐트를 설치해도 여유 있어 어린이들의 놀이 공간으로 활용할 수 있다. 무료로 와이파이를 사용할 수 있고 전기 배전함이 따로 설치되어 있어 전기 사용이 편리하다. 트램펄린은 연령별로 나누어져 있어 어린이들이 안전하게 뛰어놀 수 있고 관리실 아래 위치한 소나무는 여름철이면 수영장이 설치되는 장소로 가장 인기 있는 사이트이다. 개수대와 화장실이 있고 샤워장에는 탈의실이 별도 공간에 마련돼 있어 편리하다. 반려견 입장이 가능하지만, 목줄은 필수이다.",,http://cafe.naver.com/chunrian,울산광역시 울주군 상북면 삽재4길 5,캠핑 14:00~익일 13:00,연중무휴,가능,,가능,,,"캠핑 40,000원~70,000원
※ 이용요금은 변동될 수 있으므로 홈페이지 참조 또는 전화 문의 요망",,,,,,,,,,,,,,,,,,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,운동시설",소화기:40,,,,,,,,,,,,,,,,,,,,,,,,,,
대왕암공원 출렁다리,"대왕암공원 출렁다리는 울산 최초의 출렁다리이자 동구 최초의 대규모 상업관광시설이다. 대왕암공원 내 해안산책로의 햇개비에서 수루방 사이를 연결하며, 길이 303m, 높이 42.55m 규모로 조성되었다. 또 중간 지지대 없이 한 번에 연결되는 방식으로, 현재 전국의 출렁다리 중 경간 장로는 길이가 가장 길며, 바다 위로 이어진 다리이기 때문에 대왕암 주변의 해안 비경을 짜릿하게 즐길 수 있다.",,https://daewangam.donggu.ulsan.kr/,울산광역시 동구 등대로 95 (일산동),09:00~18:00 (입장마감 17:40),매월 둘째 주 화요일,"가능
요금 (최초 30분 500원 / 이후 10분 당 200원씩 추가 요금 발생)",,있음,,공원이 넓고 걷기좋은 코스였어요 탁트인 바다를 볼수있어서 일산지해수욕장 가시면 꼭 들러보세요~ 출렁다리는 생각보다 더 길더라구요~ 무서웠어요 3월25일 방문. 화장실 찾아 대왕암 팜향으로 직진하는 바람에 나올 때 들렸어요. 일방통행으로 운영하니 공원 도착하시면 이정표 따라 바로 왼쪽으로 가셔서 출렁다리 건너세요. 무료인데 멋집니다. 저같은 쫄보는 굉장히 무서운 다리였습니다~ 바람도 조금 불때였는데 더 무섭더라구요 그러나~!! 다리위에서 바라보는 대왕암과 일산해수욕장의 풍경은 절경 그자체니 꼭한번 방문해 보시길 추천드립니다 꽤 흔들려서 무섭지만 안전해보여서 멋진 경치보며 잘 건너갔습니다. 비가 조금내려 운행하지 않았네요 너무 아쉬워요 직접 건너지는 못했지만 바다위 출렁다리 자체만으로 멋지네요 대왕암 꽃들을 즐기며 조금만 걸어가면 출렁다리를 만날 수 있습니다.. 높이도 높도 무섭지만 다리가 튼튼하고 일부러 흔드는 사람만 없다면ㅋㅋ 무사히 지나갈 수 있어요 다리가 은근 길어서 걷는데 허리가 아팠어요 ㅎㅎㅎ 그래도 한번 경험으로 괜찮다고 봅니다 도전해보세요 바다위를 가로지르는 출렁다리를 건너며 아름다운 바다 풍경을 한눈에 담을 수 있었어요. 주차장에서 출렁다리를 건너 대왕암까지 산책코스로도 부담스럽지 않고 좋았어요~ 꽤 길고 건너는 동안 색다른 풍경을 볼 수 있어서 좋았어요. 사람이 많으면 구경 제대로 못하고 걸어가야 하니 좀 한산할 때 가시는 것 추천합니다. 대왕암공원에 몇 년 전에 설치한 출렁다리는 대왕암공원의 또 하나의 명물이네요. 아름답기도 하며 짜릿함을 경험 할 수 있는 좋은 다리입니다. 평일이라서 조용하게 대왕암공원출렁다리를 걸었습니다. 푸른 하늘과 푸른 바다 또 푸른 소나무와 잘 어울리는 출렁다리를 걸으면서 힐링 잘 했습니다.,,,,,,,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대왕암공원오토캠핑장,"대왕암공원오토캠핑장은 울산시 동구청에서 2016년 12월 각종 부대시설을 갖춰 현대식으로 구성한 오토캠핑장이다. 동해안 최초의 등대인 울기등대가 보이는 곳에 자리하고 있어, 밤이 되면 파도 소리와 더불어 등대의 불빛까지 볼 수 있어 몽환적이면서도 환상적인 분위기를 느낄 수 있다. 동해의 일출을 바로 앞에서 감상할 수 있으며, 상쾌한 바닷바람을 맞으며 캠핑을 할 수 있는 곳이다. 모든 편의시설이 깔끔한 곳으로도 유명한 곳이다. 대왕암공원오토캠핑장은 캠핑사이트 36면, 카라반 17면으로 총 53면의 사이트 공간이 마련되어 있으며, 깨끗하고 정리정돈 잘된 화장실과 샤워실, 개수대 등이 있다. 입구에서부터 예약자 확인 후 출입이 가능한 곳으로 조용하고 쾌적하게 캠핑을 할 수 있다. 이용 정원은 6명이며, 반려동물은 출입할 수 없다. 캠핑장 내 산책로도 잘 되어 있어 어린이들이 마음 놓고 뛰어다니며 놀 수 있다. 각 사이트마다 테이블이 설치되어 있으며, 여유로운 공간으로 인해 편안히 지낼 수 있다. 아침에 일어나 바다를 보며 대왕암 산책로를 거닐면 자연스레 힐링이 된다. 주변 관광지로는 대왕암, 울기등대, 슬도, 소리박물관 등 울산 동구의 여행지가 집결되어 있다.",,http://daewangam.donggu.ulsan.kr/camping/Pginfo.do,울산광역시 동구 등대로 80-61 (일산동),14:00~익일 11:00,,가능,,,,대왕암공원오토캠핑장은 위치가 너무 좋습니다. 대왕암과 슬도 사이에 있는데 바다를 바라보는 풍광이 너무 너무 좋네요. 지나가면서 사진 찍고 잠시 쉬었다가 이동했습니다. 바다가 바로 보여 너무 멋진뷰를 자랑하는 대왕암카라반이에요! 아이들과 멋진 추억을 만들고 왔어요^^ 지자체에서 운영하는 캠핑장이랑 부담없는 가격에 캠핑을 즐기기 좋아요 캠핑장 주변으로 대왕암 공원과 슬도가 연결되어 있어 산책하기도 좋고 바다와 숲을 함께 만끽할 수 있어 강력 추천드립니다 ^^ 너무너무 가고 싶은데 예약이 하늘의 별따기라 못갔었는데 곧 갈수 있을거 같아 기대만발입니다~!! 너무너무 좋을거 같아요^^,"20,000원~150,000원
※ 이용요금은 변동될 수 있으므로 홈페이지 참조 또는 전화 문의 요망",,,,,,,,,,,,,,,,,,"전기,온수,놀이터","안전시설 설비사항
소화기:30, 화재감지기:17",,,,,,,,,,,,,,,,,,,,,,,,,,
간월재,"간월재는 ‘영남 알프스’로 알려진 신불산과 간월산 능선이 만나는 자리로 가을철 억새 군락지로 유명한 곳이다. 간월산은 울주군 상북면 이천리와 등억리 사이에 있어 주말이면 부산, 경남, 울산 산악인들이 즐겨 찾는 곳이다. 선선하게 불어오는 바람을 느끼며 간월재의 이국적인 풍경을 바라보면 지치고 힘들 일상을 잊게 만들어준다. 간월재에 오르는 방법 중 가장 쉬운 코스는 ‘사슴농장코스’로 평탄한 길이 6km가량 이어져 등산에 익숙하지 않은 초보자도 부담 없이 간월재까지 갈 수 있다.",,https://tour.ulsan.go.kr,울산광역시 울주군 상북면 간월산길 614,상시 개방,연중무휴,"가능
요금 (무료)",,,,"억새가 예쁜 간월재를 올라갔다. 바다처럼 펼쳐진 억새는 장관이었다. 이처럼 아름다운 풍경이 있는 곳 대한민국에 사는 나는 행복하다~^♡^ 10월의 마지막날 억새보러 간월재에 갔습니다. 지금이 억새절정이라 그런지 평일인데도 북적북적 했습니다. 임도가 잘되어 있어서 등산이라기 보단 트래킹 하는 기분이었어요. 정상에 펼쳐진 억새물결은 너무 예뻐서 사진 찍느라 바빴어요. 고도가 있어서인지 바람도 많이 불고 쌀쌀했지만 좋았습니다. 많은분들도 더 추워지기전에 방문해 보세요. 이왕 가는김에 쭈욱 트레킹도하고 너무 좋았어여 ㅎㅎ 숨통 트이는 자연,,,, 10월에 영남알프스로 다들 가보세요! 근데 날 안 좋은 날에 가서... 추웠던 거 빼고 다 완벽 가을 특히 10월에는 꼭 한번 가볼곳이죠! 영남알프스 인증덕에 겨울에 갔다가 너무 좋았는데, 가을이 찐이라고 해서 가봤는데 역시 정말 너무 좋습니다. 초보분들도 갈 수 있는 코스가 있기에 맑은날 트레킹하며 좋은 이들과 좋은추억 쌓을 수 있는곳입니다. 날씨가 흐려서 많이 아쉬웠지만 그래도 광활한 노을빛 억새밭을 보니까 기분이 좋아지고 숨이 탁 트이는 느낌이었습니다. 풍경도 너뮤 이쁘고 가을에는 꼭 가야하는 곳으로 강추합니다. 그런데 간월재 도착하면 고도가 높고 바람이 많이 불어서 경량패딩 등 보온 준비를 잘 해야겠더라고여ㅠㅠㅠ 얇게 입고가서 추워서 제대로 구경을 못한게 너뮤 아쉬웠습니다. 큰바다에 파도가 쓸려가듯 바람결에 흩날리는 간월재 억재는 영혼의 세계를 경험하게 하지... 가을하면 생각나는 간월재!!! 가을에 가야만 간월재를 제대로 느낄 수 있어요. 시원한 바람과 억새의 조화가 정말 최고에욤!!! 시원한 바람과 억새가 인상적이네요. 신불산 정상까지 갔다오니 너무 힘드네요 가을에 가기 딱 좋은곳입니다 완만한 능선을 따라 걸거가면 넓은 억새밭이 나와 경치가 좋습니다 등산 후 컵라면은 꿀맛입니다ㅎㅎ 가을하면 생각나는 곳이에요 울산에 있고 작년 가을에 방문했었는데 가을꽃도 볼 수 있고 억새도 봤었습니다. 사슴농장코스라는 재밌는 코스도 있어 쉬엄쉬엄 등산하기에도 좋아요 . 곧 선선한 바람이 불어오니 방문해보셔도 좋을 것 같아요",,,,,,,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
해남사,"울산광역시의 중심인 중구 북정동에 자리한 해남사는 1936년 근대의 고승인 통도사(通度寺)의 구하천보(九河天輔) 스님이 울산지역의 포교를 위해 세운 통도사 울산포교당이다. 당시 우리 국민들이 일제강점기 시절의 서러움에 시달리고 있을 때, 불법(佛法)으로써 민생을 구제할 것을 서원(誓願)하여 포교당을 열게 된 것이다. 스님의 뜻대로 포교당을 연 후 많은 스님들이 뒤를 이어 불법의 심오한 진리를 설하는데 힘썼고, 지역사회의 불자들을 교화하여 많은 신행단체가 구성되는 등 활발한 포교활동이 이루어지고 있다.",,http://cafe.daum.net/haenamsa,울산광역시 중구 기상대길 13 (북정동),상시 개방,연중무휴,"가능
요금 (무료)",,있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
울기등대,"울기등대는 ‘제2의 해금강’이라 불리는 울산의 끝 ‘울기(蔚埼)’에 건립되었다. 동해안을 따라 항해하는 선박들의 길잡이 역할을 하고 있다. 특히, 대왕암공원 내에 등대가 위치하여, 등대로 가는 600m의 길섶에는 타래붓꽃, 수선화, 해당화, 해국 등 각종 야생화가 찾는 이를 반기며, 매년 4월이면 왕벚나무 터널이 만개하여 장관을 이룬다. 등대를 지나 계단을 내려서면 문무대왕의 호국영령이 서려 불그스름한 기운을 띤 대왕암이 청자빛 하늘과 코발트빛 바다를 그은 수평선 위로 살짝 돋아나면서 절경을 자아낸다.",,http://ulsan.mof.go.kr,울산광역시 동구 등대로 155 (일산동),"4월~9월 09:00~18:00
10월~3월 09:00~17:00",연중무휴,"가능
요금 (무료)",,장애인 전용 화장실 있음,,"시원해요 바람이 쉴새없이 불어요 ㅎㅎ 귀여운 고양이들도 구경해요. 좋아요! 대왕암공원내에 자리한 울기등대는 이곳을 방문하는 여행객들의 필수 방문 코스입니다. 몇 번을 방문해도 항상 아름답습니다. ""울기등대""는 울산광역시 동구 대왕암공원에 있습니다. 대왕암공원에는 여러 산책 코스가 있는데 울기등대는 지나치면서 아름다운 모습의 사진만 찍었습니다. 울기등대의 흰 색상이 동해의 푸른 바다와 잘 어울림니다. 등대스탬프 투어중~~~^^대암왕공원 안에 울기등대 멋져요.",,출입구까지 단차가 없어 휠체어 접근 가능함(등대 전망대 경사로 있어 휠체어 접근 가능),주출입구는 경사로 있어 휠체어 접근 가능함,장애인 전용 주차구역 있음_무장애 편의시설,,,,무료,,대여가능(공원 입구 관리실 내),,대여가능(공원 입구 관리실 내),,,,,,,,,,,,,,,,,점자블록 있음(화장실 입구)_시각장애인 편의시설,,,,,,,,,,,,,,,,,
울산전시컨벤션센터,"울산전시컨벤션센터 유에코(UECO)는 각종 전시회, 국제회의, 세미나, 문화공연 등 다양한 콘텐츠를 통해 비즈니스 방문객을 위한 전시장 및 회의 시설로서의 기능뿐만 아니라, 시민들의 휴식과 여가를 즐길 수 있는 복합비즈니스 공간으로 조성되었다. 유에코는 전시회, 콘서트, 대형 이벤트 등 380개 부스 내외 또는 최대 7,600명 수용이 가능한 전시장이 있으며, 국제회의, 세미나, 연회, 공연 등을 위한 3개의 컨벤션홀, 그리고 회의실과 스마트라운지 등을 갖추고 있다.",,http://www.ueco.or.kr/webuser,울산광역시 울주군 삼남읍 울산역로 255,09:00~18:00,행사 및 전시마다 상이,가능,,장애인 화장실 있음,,멋져요!! 삼남읍에 위치한 전시컨벤션센터를 통해 많은것을 체험하고 관람할수있었다.최근엔 중소상인선물박람회하였는데 다양한먹거리와볼거리가많아 좋았다~^^다음주에는 119안전체험센터 한다는데 꼭가서 아이들과체험에 참여해보고싶다,행사 및 전시마다 상이,출입구까지 경사로가 설치되어 있음,주출입구는 턱이 없어 휠체어 접근 가능함(자동문),장애인 주차장 있음_무장애 편의시설,엘리베이터 있음,,,,,,"수유실 있음(지하1층, 1층)",,,,,,,,,,,,,,,,,,점자블록 있음(주요시설 앞)_시각장애인 편의시설,,,안내요원 있음,,,,,,,,,,,,,,
언양성당 성지,"1936년 울산지역 최초로 건립된 언양성당은 13개의 성지 및 천주교 사적지와 16개의 공소가 있는 경상남도 지역 천주교 신앙의 출발지이다. 1927년 언양 본당이 설립되었고 1990년엔, 언양 지방 천주교 선교 200주년을 기념하여 신앙유물전시관이 만들어졌다. 이곳엔 신앙 유물과 민속 유물, 언양 천주공교협회 등 본당 단체들이 남긴 기록, 초기 교회 교우들이 사용하던 각종 기도서 교리서 등 고서, 제의 등 총 696점이 전시되어 있다. 특히 신앙 유물은 교황청에 등록된 귀중한 자료다. 언양 성당의 뒷산에는 성모 동굴과 십자가의 길이 있다.",,http://eonyang.pbcbs.co.kr,울산광역시 울주군 언양읍 구교동1길 11 (언양읍),상시 개방,연중무휴,"가능
요금 (무료)",,있음,,역사가 이렇게 깊은 곳이 있다니 ! 처음 알았네요 ^^ 크고 웅장하지는 않지만 오래된 역사적 장소는 한번 방문할만 한것 같아요. 유서깊은 곳을 올 수 있어서 영광입니다. 산새가 어우러져 너무 멋집니다.,,,,,,,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
울산큰애기청년야시장,"울산큰애기청년야시장은 2015년도 전통시장 야시장 조성사업에 공모신청하여 선정된 전국 2대 시장 중 하나이다. 울산 지역 최초의 상설 야시장으로 젊은 층이 좋아하는 다양한 먹거리와 간단한 식사를 겸할 수 있는 먹거리로 구성되어 있으며, 중앙전통시장의 특화음식인 곰장어, 옛날 통닭도 함께 즐길 수 있다. 그리고 어릴 적 향수를 느끼게 하는 기존 포장마차 거리가 있어 좋아하는 음식을 찾아다니며 즐기는 재미가 있다. 색다른 먹거리와 볼거리가 펼쳐져 있는 울산큰애기청년야시장은 가족, 친구, 연인, 직장동료 등 남녀노소 모두가 함께 즐기며 어우러질 수 있는 문화가 있는 야시장이다.",,,울산광역시 중구 젊음의거리 90 (옥교동),18:30~22:30,"매주 월요일, 화요일",가능,,,,"성남동 중앙시장에 위치해 있는 야시장이에요 울산분들도 잘모르는 분들이 있으리라 생각이드네요 일명 먹자골목 부근에 위치한 큰애기야시장은 대부분 젊은분들이 다양하고 맛있는 먹거리를 판매하고 있어요 타코야끼를 좋아하는 부부는 날이추워 타코야끼와 닭꼬치를 포장해와 맥주랑 맛있게 즐겼습니다 울산에 놀러오신다면 한번 즐겨보세요 종종 주말저녁에 아이 손잡고 먹거리 사오곤 합니다. 다양한 먹거리가 많아서 음식 구경 하는 재미도 있어요 불과 지난주에 버터옥수수 사먹었는데 맛있더라구요 야시장의 먹거리 그리우신분들 추천합니다 가족, 친구들이랑 같이 가기 좋아요 삼겹살 김밥, 계란빵, 막창 등 먹거리가 많습니다 골목이랑 주차장에 먹을 수 있는 장소가 마련되어 있어 더 좋습니다 야시장의 매력이 물씬 느껴지는 곳 입니다",,출입구까지 턱이 없어 휠체어 접근 가능함,주출입구는 턱이 없어 휠체어 접근 가능함,장애인 주차장 있음(공영주차장)_무장애 편의시설,,,,,,,,,,곰장어골목 / 통닭골목 / 포장마차거리 / 죽골목,,,,,,,,,,,,,,,,,동반가능_시각장애인 편의시설,,,,,,,,,,,,,,,
강동 해수온천,"강동 해수온천은 정자 앞바다 자연 바닷물을 그대로 침전시켜 100℃ 이상 끓여 공급하기 때문에 염도가 높고 살균효과가 뛰어나다. 내부는 요오드탕, 해수 냉탕, 해수 열탕, 온탕으로 구성되어 있다. 해수탕에 들어가기 전 반드시 먼저 샤워를 하고 청맥반석, 한방안개(사우나) 탕이나 핀란드식 건식사우나에서 충분히 몸을 따뜻하게 한 다음 해수탕에 들어가야 한다. 해수탕에서는 약 5-15분 정도 몸을 완전히 담그고 2회 정도 반복하면 체내의 노폐물이 완전히 제거된다. 탕 안에서 보는 오션뷰도 좋고 해수온천물도 좋기로 소문이 나 몸이 아픈 사람들이 많이 찾는 곳으로 유명하다.",,,울산광역시 북구 동해안로 1418 (구유동),05:00~20:00,연중무휴,가능 (무료),,있음,무료,,,,,,,,,"- 대인 10,000원
- 소인(7세 미만) 5,000원
등 세신 12,000원, 전신 세신 25,000원, 오이+세신 30,000원",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
영남알프스 복합웰컴센터,"울주군 상북면 영남 알프스 자락에 위치한 자연과 문화 복합 열린 공간의 장이다. 수려한 자연경관뿐만 아니라 알프스 시네마, 번개맨 체험관, 국제 클라이밍 장, 산악문학관 등 다양한 시설을 갖추고 있어 영남 알프스를 찾는 관광객들에게 볼거리와 즐길 거리를 제공하고 있다. 다양한 체험의 장소로 온 가족이 함께 즐길 수 있는 공간이다.",,http://all.ulju.ulsan.kr/ynawc,울산광역시 울주군 상북면 알프스온천5길 103-8,"09:00~22:00
※ 개별 시설별 상이함으로 자세한 사항은 홈페이지 참조","매주 월요일(단, 월요일이 공휴일인 경우 다음날 휴관) / 1월 1일 / 설·추석 당일 / 그 밖에 시설보수 또는 점검 등을 위하여 휴관이 필요할 때",가능(약 300대),,,,"건강을 위한 가족과의 힐링 여행! 미취학 자녀들과도 같이 할 수 있는 것들도 많아요. 공기좋고 물 좋은 아름다운 우리강산에 행복해지고 건강해지고 갔습니다 영남알프스 복합웰컴센터에는 알프스 시네마, 번개맨 체험관, 국제 클라이밍 장, 산악문학관등이 함께 있어서 여러가지 체험과 영상을 볼 수 있는 곳입니다. 또 간월산과 신불산을 등산 할 수 있는 출발점 이기도 합니다. ""영남알프스 복합웰컴센터""는 울산광역시 울주군 상북면 등억 온천단지 맨 위에 있습니다. 영남알프스를 찾는 여행객들에게 여러가지 체험 및 정보를 제공 하네요. 주차장도 넓고 좋습니다. 저녁에 오니 야경분수가 반겨주네요 다양한 체험들이 있어서 참 좋았어요. 아이와 함께 할 수 있는 것이 많아 자주 가고 싶어졌어요 공기도좋고~가성비좋은체험도 많아요^^",,,,,,,,,"[번개맨 체험관]
1,000원~15,000원
[국제클라이밍장]
1,000원~100,000원
※ 자세한 사항은 홈페이지 참조",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
온실리움,"울산광역시 울주군에 자리한 온실리움은 자연과 친환경적인 삶을 중요시하는 복합 문화 공간이다. 식물카페로 유명한 이곳은 울산의 제1호 민간정원으로 야외 테라스와 온실, 하늘정원까지 커피를 즐기며 다양한 식물들을 감상할 수 있는 곳이다. 자연 속에서 쉬어갈 수 있는 공간들이 마련되어 있다. 이곳은 다양한 음료메뉴를 취급하는데 고소한 라떼 위에 수제말차크림이 올라간 온실리움이 대표 메뉴이다. 이외에 트로피컬에이드, 망고베리뱅, 아이스티, 아메리카노 등이 있다.",,https://www.instagram.com/onsilrium,울산광역시 울주군 상북면 도동신리로 138,10:00~18:00,매주 일요일,"가능
요금 (무료)",,,,넓고 조용합니다. 공간마다 느낌이 달라 음료 주문 후 둘러보시면 참 좋아요!! 비오는 날 가 보면 온실 유리 너머로 떨어지는 비를 보며 하염없이 상념에 잠길수도 있어요. 실외 정원의 비내리는 풍경도 너무 좋아서 비 오는 날 생각나는 온실리움입니다. 조경이 아주 멋있고 실내에서도 창을 통해 식물들을 잘 볼 수 있게 꾸며놔서 휴양지에서 차 마시는 기분이 듭니다. 경치가 너무 좋아요. 숲속에서 마시는 기분을 느낄 수 있어요 지역 제1호 민간정원으로 뽑힐만해요 식물 좋아하신다면 근처 가셨다가 꼭 들러보시길바랍니다 파인애플이 제일 귀여웠고 큰 나무들도 많아서 식물원안에서 커피를 즐기는 느낌이 너무 좋았어요 외부는 지금은 덥지만 사진 찍기에 너무 좋답니다 처음 알게된곳이네요 울주여행가면 가보고싶어요 다양한 식물들을 감상하며 커피 한 잔 마시면 좋겠어요^^ 이런 좋은 장소를 이제야 알았네요! 울산에 놀러갈 때 꼭 가봐야겠어요 꼭 기억했다가 울산 방문시 들러봐야겠네요 요기 저번부터 찜해둔 곳인데 꼭 가보고 싶어요!!!,,,,,,,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
반구서원,"반구 서원은 ‘언양읍지’에 의하면 1712년(숙종 38)에 세웠다고 한다. 건립 주체 사림은 이위, 김영하(英夏), 김지(志), 박문상(朴文祥) 등이며, 착공 1년 만에 완공하고 1713(숙종 39)에 위의 3 선현을 봉안하였다. 선현 중 정몽주와 이언적은 울산의 구강서원에 이미 봉안되었거니와, 정구를 봉안한 것은 그가 퇴계 문인이면서 언양과 그리 멀지 않은 성주 출신이라는 데서 근거를 찾은 것으로 보인다. 시경(詩經)의 반구 서원은 구강서원과는 달리 사액되지 못하였다. 이것은 언양 사림이 중앙의 정치세력과 연결하여 사액 운동을 벌일 수 있는 정치적, 경제적 실력이 부족했음을 의미한다. 그 후 1871(고종 8) 흥선대원군의 명으로 서원은 문을 닫게 되었다.",,,울산광역시 울주군 언양읍 반구대안길 299,상시 개방,연중무휴,"가능
요금 (무료)",,,,,,,,,,,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
