place,info,문의 및 안내,홈페이지,주소,이용시간,휴일,주차,화장실,review,주차 요금,이용요금,접근로,출입통로,장애인 주차 안내,수유실,입장료,지정현황,이용가능시설,주차요금,엘리베이터,유모차,휠체어,점자 홍보물,체험가능 연령,오디오 가이드,시설이용료,지체장애 기타 상세,수용인원,판매 품목,주요시설,입실시간,퇴실시간,객실내 취사 여부,객실수,객실유형,캠프파이어 여부,대중 교통,관람석,규모,부대시설,이용 시기,객실,개장기간,시각장애 기타상세,할인 정보,유아용보조의자,보유장비,강습안내,점자 블록,대여안내,보조견 동반,매표소,안내 요원,코스안내,예약안내,예약안내 홈페이지,입점브랜드,식음료장,뷰티시설여부,노래방 여부,사우나실 여부,스포츠 시설 여부,세미나실 여부,유도안내 설비,영유아가족 기타상세,체험
무주컨트리클럽,"해발 850m~950m의 산악지대에 위치해 국내에서는 보기 드문 청정 고원 골프장으로 자리매김한 무주컨트리클럽은 총 256,500평의 넓은 부지 위에 18홀, 파72, 총 연장 6,159m의 규모로 이루어져 있으며 울창한 송림속에 자리하여 자연지형의 특색이 그대로 살아 있다.
돌과 나무, 그리고 물을 기본테마로 삼아 자연 그대로의 계곡과 송림속에 코스 전체가 자연과 환경의 절묘한 조화를 이루는 무주컨트리클럽은 만발한 야생화와 울창한 송림에서 뿜어져 나오는 맑은 공기와 함께 골프를 즐기면서 자연의 서정을 물씬 느낄 수 있는 곳이다.",,http://www.mdysresort.com/golf/golf_intro.asp,전북특별자치도 무주군 설천면 만선로 185 (설천면),,,주차 가능,,,,월마다 다르므로 전화 문의 또는 홈페이지 참조 요망,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"스키장, 콘도, 놀이시설",,,,,,,,,,,,,,,,,,,,,,,,,,
두곡서원(김제),"서원은 조선 중기 이후에 학문을 연구하고 훌륭한 유학자의 제사를 지내기 위하여 지역 사림에 의해 설립된 사립 교육 기관이다. 두곡서원은 1634년(인조 12)에 지방 유림의 공의로 정몽주, 강원기, 함부림의 충절과 덕행을 추모하기 위해 세웠다. 선현 배향과 지방 교육의 일익을 담당하여 오던 중 흥선대원군의 서원철폐령으로 1872년(고종 9)에 훼철되었다. 1901년 유림에 의하여 제단을 마련하고 향사를 지내오다가 1970년에 복원하였다.
경내의 건물로는 3칸의 사우, 신문, 4칸의 영모재, 숭의문 등이 있으며, 사우에는 정몽주와 강원기의 위패가 봉안되어 있다. 영모재는 강당으로서 중앙의 마루와 양쪽 협실로 되어 있는데, 원내의 여러 행사와 유림의 회합 및 학문의 토론 장소로 사용된다.",,https://encykorea.aks.ac.kr,전북특별자치도 김제시 진봉면 심포9길 31 (진봉면),상시 개방,연중무휴,,,,,,,,,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
타관산,"타관산은 장수읍 송천리, 용계리, 개정리 등의 경계에 있는 높이 624m의 산이다. 서쪽에 팔공산, 북쪽에 봉황산, 남쪽에 신무산 등이 있다. [조선지형도]에서 타관산은 그 높이만 적혀 있고, 주변에 용추리와 용계리 등이 함께 기재되어 있다. 타관산 자락 주변으로 용추마을, 안양마을, 하평마을, 구락마을이 있다.
향토지에 의하면, 과거 어느 홍수 때 타관에서 떠내려왔다고 해서 붙여진 이름이라고 전한다. 즉 고향에 있는 산이 아니고 객지에서 온 산이라는 뜻이다. 장수읍의 주변은 장안산에서 뻗은 호남정맥이 병풍처럼 둘러쳐져서 지형이 천옥에 해당하는데, 풍수지리에서 천옥의 터는 집터나 묘지가 될 수 없기 때문에 이를 면하기 위해 타관산으로 칭했다고 한다. 한편, 산맥이 연계되지 못하고 들 가운데 홀로 있어서 붙여진 이름이라는 설도 있다.
산의 크기가 아담해 가볍게 산책하며 즐기기 좋고, 좀 더 욕심을 내어 산행 한다면 바로 인접한 팔공산 트레킹을 하는 것도 좋다.",,전라북도 토탈관광 http://tour.jb.go.kr/index.do,전북특별자치도 장수군 장수읍 송천리 산154-1,,연중개방,없음,,,,,,,,,없음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서강사(김제),"김제IC 인근에 있는 서강사는 대한제국의 문신이자 애국지사인 장태수(1841~1910)의 영정을 모신 사당으로 1935년에 건립되었다. 장태수는 철종 12년(1861)에 문과에 급제하여 여러 벼슬을 지내다 1895년(고종 32) 단발령이 내려졌을 때 관직에서 물러났다. 그리고 스스로 남강거사라 부르며 일제 침략에 항거했다. 1910년에 경술국치로 일제 강점이 시작되자 나라에 불충하고 조상에 불효했다며 단식에 들어가 24일 만에 순국하였다.
서강사에는 방선재, 존경재 등 부속 건물 7동, 고직사가 있다. 건물은 조선 후기의 목조 건축 양식을 잘 계승한 짜임새 있는 건물로 보존 상태도 양호하다. 주변에는 남강정사, 금구향교, 선암저수지, 대율저수지 등이 있어 연계하여 관광할 수 있다.",,http://gimje.grandculture.net/,전북특별자치도 김제시 금구면 양시로 125-27 (금구면),,연중무휴,가능 (소형 5대),,,,,,,,,무료,,,,,,,,,,,,,,,,,,,,,,,,,상시 개방,,,,,,,,,,,,,,,,,,,,,,,,,
심곡사(익산),"* 심곡사의 유물 심곡사칠층석탑 *

심곡사는 전라북도 익산시 낭산면 낭산리 176번지 미륵산 기슭의 장암마을 위쪽에 위치한 대한불교조계종 제17교구 금산사의 말사이다. 심곡사는 사찰명칭에서도 알 수 있듯이 신라시대에 무염대사(無染大師)가 수도할 장소를 찾던 중 미륵산 깊은 골짜기에 들어와 절을 세움으로써 심곡사(深谷寺)라 부르게 되었다고 한다. 심곡사가 위치한 미륵산은 신라가 삼국을 통일하기 전 서동(薯童)왕자인 무왕(武王)이 백제의 부흥을 꿈꾸며 세웠던 미륵사가 자리 잡은 곳이기도 하다.심곡사의 대웅전 앞에 자리한 심곡사칠층석탑은 2001년 9월 21일에 전라북도 유형문화재로 지정되었다. 원래는 심곡사에서 200m 정도 떨어진 곳에 위치하였던 것을 현 위치로 옮겼다고 하며, 조성 시기는 고려 말 조선 초로 보고 있다.

* 심곡사칠층석탑 *

재질은 화강암이며 전체 높이는 366㎝, 기단 높이는 116㎝, 탑신 높이는 250㎝, 1층 탑신 폭은 92㎝ 정도이다. 기단(基壇)과 탑신(塔身), 상륜부(上輪部)가 비교적 잘 갖추어져 있다. 기단은 사각형의 기단석에 정교한 연꽃무늬를 조각하여 그 솜씨가 뛰어나다. 또 탑신은 비교적 낮아 안정감을 유지하고 있으며 우주(隅柱)와 탱주(撑柱)도 표현하지 않았다. 1층의 받침돌 위에 7층의 옥개석(屋蓋石)을 올리고 맨 위에는 작은 연꽃봉오리 모양의 머리장식을 얹었다. 옥신(屋身)과 옥개석이 1장의 돌로 이루어져 있다. 옥개석 받침은 3개로 표현되어 있고 경사가 완만한 옥개석의 처마끝은 모서리가 살짝 들어 올려져 있다. 바닥돌 위에 있는 받침돌에는 엎어 놓은 모습의 연꽃무늬와 위를 향한 모습의 연꽃무늬가 아래위로 각각 새겨져 있다.전체적으로 볼 때 기단부의 앙련, 복련 등은 고려시대 후기 탑의 양식이 남아있으며 옥개 받침의 약화 등 조선시대 탑의 특징이 보여지고 있어 과도기적인 석탑 양식의 변화과정을 알 수 있는 중요한 자료이다.",,http://www.iksan.go.kr/tour,전북특별자치도 익산시 낭산면 장암길 113,,연중무휴,가능 (승용차 30대),있음,,,,,,,,,전북특별자치도 유형문화유산 심곡사칠층석탑 (2001.09.21. 지정),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
장선천,"장선천은 지류들이 완주군 운주면 장선리에서 모두 모이기 때문에 장선리의 지명을 따라 장선천이라고 했다. 『동국여지지』에는 인천, 다른 이름으로는 율령천으로 탄현에서부터 시작된다고 기록되어 있고, 연산현에서는 백계 또는 거사천으로 기록되어 있다. 그리고 『여지고』 고산현에서는 용계천으로 기록하고 있다. 장선천을 따라서 운주계곡 캠핑장, 칼바위 유원지, 성바위 유원지, 병풍바위 휴게소 등의 자연경관이 좋은 곳에 유원지가 형성되어 있으며, 역사 관련 유적으로는 쑥재의 봉화대, 용계성 등이 있다.",,http://www.wanju.go.kr/tour/,전북특별자치도 완주군 운주면 장성리 577,,,불가,,고생많으십니다. 검색하다보니 찾게 되었는데 장선천은 주차 불가 인데 장선천 바로 주변에는 상권밖에 안보이고 자차이동하였을때 어디에 주차를해야하나요.?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
승련사(남원),"승련사는 남원 산동면 인근 연화산(527.9m) 남쪽 자락에 있는 사찰이다. 비구니 스님들이 공부하러 들어오는 이 사찰은 정확한 창건 시기는 알 수 없으나, 창건연대는 예로부터 [금강사]라 불리며 지리산이 조망되는 아름다운 경관을 지녀 고승들이 머물렀다고 한다. 그중에서도 고려 16 국사 중 한 사람인 정혜국사가 말년에 이곳에서 살았는데, 사찰을 넓히고자 하였으나 뜻을 이루지 못하고 입적하였다. 이에 그의 제자 졸암이 뜻을 이어받아 1361년(공민왕 10)에 중창하여 절 이름을 승련사로 고쳤다. 그 후 조선 후기에 폐사되었으나 1986년부터 재건되어 지금에 이르고 있다. 지금은 대웅전, 요사채, 선방, 공양간, 삼성각 등을 갖추고 있으며 많은 승려와 신도들이 수도하면서 불법에 정진하고 있다. 주변에는 남원자연휴양림, 남원 내동리 은행나무 등이 있어 연계해서 둘러보는 것을 추천한다.",,"승련사 http://cafe.daum.net/ntsls
남원 문화관광 http://www.namwon.go.kr/tour/index.do",전북특별자치도 남원시 산동면 요천로 2675-90 (산동면),09:00~16:30,연중무휴,가능,있음,"주위에 휴양림가는길에 잠시 들렀어요. 주목적지로 오는건 비추하지만, 겸사겸사 둘러보는건 추천합니다. 맑은 공기 마실겸 산책삼아 들린다고 생각하고 방문하세요!",,,,,,,무료,,대웅전 / 선원 / 요사,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
남원읍성,"읍성이란 군이나 현의 주민을 보호하고, 군사적·행정적인 기능을 함께 하는 성을 말한다. 신라 신문왕(재위 681∼692) 때 지방 행정구역 개편에 따라 남원지역에 소경(지방도시)을 설치하였고, 691년에 쌓은 네모난 형태의 평지 읍성이다. 1597년에는 왜군의 침입에 대비하기 위해, 성을 크게 다시 쌓고 수리하여 담을 높였다. 그해 8월 조·명연합군과 왜군 사이에 전투가 벌어져 왜군에게 크게 패했고, 이때 싸우다 죽은 군인과 주민들의 무덤이 만인의총이다. 1894년 동학농민전쟁 때 많이 허물어져 약간의 성터 모습만 남아있다. 돌축대의 길이는 2.4㎞가 넘고, 높이 약 4m에 이르며 성 안에는 70여 개의 우물이 있었다. 성 내에는 남북과 동서로 직선대로가 교차하고, 그 사이에도 너비가 좁은 직선도로가 교차하여 바둑판 모양의 도로구성을 볼 수 있다. 근대에 들어와 도시가 들어서며 성곽은 대부분 헐려나갔으나, 시내 중심부의 도로는 지금도 바둑판 모양으로 되어 있어, 과거 성내의 가로 구성의 흔적을 보이고 있다. 조선시대 읍성의 가장 전형적인 구조를 하고 있으며, 규모가 크고 우리나라 성곽에서는 거의 보이지 않는 네모 반듯한 구성과 성내의 가로가 직선으로 구성된 점이 흥미롭다.",,https://www.khs.go.kr/main.html,전북특별자치도 남원시 동충동 (동충동),상시 개방,연중무휴,가능,있음,남원 동충동에 있는 조선시대 읍성 그냥 지나치면 조금 큰 돌담길 ㅎㅎ,,,,,,,,사적 남원읍성 (1982.11.03 지정),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.1동산,"3.1 동산은 오수면 오수리 보통학교 학생들에 의하여 3월 10일 만세 시위가 시작된 임실 지역의 3.1 독립만세운동을 기념하기 위해 만든 동산이다. 오수의 3.1 독립만세운동은 유교, 불교, 천도교, 기독교 등 모든 종교인과 교육자, 학생, 민중들이 다 함께 일치단결한 항일항쟁이었다. 동산 내 부대시설은 기념비 외에도 독립 선언 비와 팔각정, 3.1문 등이 있다. 동산 내의 3.1 운동 기념비는 기미년의 숭고한 3.1 독립만세운동의 정신을 이어받고 임실 지역의 뜨거운 자주독립 정신을 기리며 희생당하신 순국선열들을 추모하기 위해 세워졌다. 동산을 둘러본 후에 가까운 곳에 죽림암, 귀래정, 순창남계리석장승 외에도 많은 관광지가 있어 함께 들러보면 좋다.",,https://tour.jb.go.kr,전북특별자치도 임실군 임실읍,상시 개방,연중무휴,가능,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
후지리탑동석불,"전북특별자치도 정읍시 영원면 해정사 절터의 남북 쪽 산기슭 탑동마을에 위치한 높이 96㎝의 좌상이다. 머리가 없어진 상태이며, 풍화가 심해 세부표현이 잘 보이지 않는다. 옷은 양 어깨를 감싸고 있으며, 양손은 가슴에 모으고 있어 비로자나불을 표현한 것으로 생각된다. 4 각형 대좌(臺座)의 아래와 위에는 연꽃이 조각되어 있다. 대좌의 형태와 연꽃무늬 등으로 보아 고려 초기의 작품으로 추정된다.
(출처: 국가유산청)",,https://www.jeongeup.go.kr,전북특별자치도 정읍시 영원면 후지리,상시 개방,연중무휴,"가능
요금 (무료)",없음,,,,,,,,,전북특별자치도 유형문화유산 후지리탑동석불 (1981.04.01 지정),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
여산 숲정이 순교성지,"전북 익산시 여산면 여산리에 있는 천주교 순교 성지이다. 이곳은 호남의 관문으로 일찍이 천주교가 전래되어 수많은 신앙 공동체와 순교자들을 배출하였다. 병인박해가 일어났을 당시에 금산, 진산, 고산에서 잡혀 온 신자들이 순교한 곳이며 기록상으로만 22명이 순교했다. ‘여산 순교 성지’라고 쓰인 대형 돌판이 있으며 그 안쪽으로 백지사 기념비가 서 있다. 순교자들의 무덤은 천호산 기슭 천호 공소 부근에 자리하고 있다.

(출처 : 익산시 문화관광 홈페이지)",,http://www.iksan.go.kr/tour,전북특별자치도 익산시 여산면 여산리,상시 개방,연중무휴,,,날이 좋을때 갔더니 정말 멋있는 곳이더라구요~ 나들이가기 좋았습니다~!,,,,,,,무료,전북특별자치도 기념물 여산 숲정이 순교성지 (2007.10.19. 지정),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
은파 물빛다리,"길이 370m, 너비 3m의 국내 유일의 보도 현수교로서 은파를 가로지르는 다리 위에서 호수에 비친 자연의 모습을 바라보며 여유를 갖고 야간에는 조명으로 연출된 빛의 아름다움을 느낄 수 있어 물과 빛이 우리에게 주는 편안하고 은은한 휴식처와 볼거리를 제공한다. 은파라는 명칭의 은(銀)은 사랑의 빛(희망)이고 파(波)는 풍요의 물을 나타낸다. 군산 지역에 전해져 내려오는 아름다운 사랑의 전설인 중바우 전설을 배경으로 애기바우, 중바우, 개바우를 형상화하여 자연과 역사문화적 요소의 조형화를 통한 의미 있는 경관을 재현하였다. 또한 진입부 놀이마당, 중간부 사령탑(주탑), 종점부 사랑의 길(물터널)로 구분하여 디자인되었고, 다리 전체는 용의 형상을 나타내도록 설계되었다. 현재는 물빛다리에 아름다운 조명을 연결하여 환상적인 야경과 분위기를 제공하고 있다.",,https://www.gunsan.go.kr/tour,전북특별자치도 군산시 미룡동,일몰~22:00,연중무휴,가능,장애인 전용 화장실 있음,부부동반 모임으로 가까운 군산 은파로 벚꽃구경을 갔는데 벚꽃이 너무 예쁘게 피었더군요 물빛다리도 건너보고 반대편에 새로 생긴 불빛다리도 건너보며 벚꽃구경을 했어요 산책로로도 좋은 군산 은파 물빛다리 너무 좋았습니다 밤에 가면 너무 예뻐요,,,물빛다리 입구부터 다리 전체 데크로드로 되어 있음,,장애인 전용 주차구역 있음_무장애 편의시설,,무료,,"은파관광지, 음악분수, 벚꽃 산책로, 자전거도로 (산책로), 인라인 스케이트장, 생활체육장, 보트장 등",,,,대여가능(1대),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
팔효사,"서원은 훌륭한 유학자의 제사를 지내고 지역민을 교육하기 위하여 설립한 조선시대 지방의 사립 교육기관이다. 김제시가지 남부에 위치한 팔효사는 나주나씨 가문의 사당이자 서원이다. 이곳은 1629년(인조 7)에 건립되어 나주나씨 가문 출신의 8명의 효자를 기념하고 가르침을 주기 위해 세웠으나, 1868년(고종 5) 서원철폐령으로 인해 철거되었다. 그 후 1965년 중건되어 오늘에 이르고 있다.
건물은 정면 3칸, 측면 4칸으로 이루어진 맞배지붕 형태의 사당과 정면 4칸, 측면 3칸으로 이루어진 팔작지붕 형태의 강당이 있다. 경내에는 수령 500여 년의 크고 오래된 은행나무가 있다. 나주나씨 문중에서는 경사가 있을 때면 이 은행나무에 큰북을 달아서 두드림으로서 그 사실을 알렸다고 한다. 희한한 것이 이 은행나무는 8 효자가 태어날 때 열매가 맺히지 않았다고 한다. 이 은행나무는 전라북도 기념물로 지정되어 있다. 지금은 효자 1명이 더 추가되어 9명의 효자를 모시고 있다.
주변에는 김제향교, 구산공원, 지평선생태수목공원 등이 있어 연계하여 관광할 수 있다. 또한 호남선 철도 김제역과 김제종합버스터미널이 멀지 않아 대중교통도 편리하다.",,http://www.grandculture.net/gimje,전북특별자치도 김제시 효자로 109-2 (신풍동),,,있음,,,,,,,,,무료,전라북도 기념물 팔효사의은행나무 (1996.03.29. 지정),,,,,,,,,,,,,,,,,,,,,,,,연중개방,,,,,,,,,,,,,,,,,,,,,,,,,
금산교회,"1908년 전주선 교부의 데이트(Lews Boyd Tate) 선교사가 지은 한옥교회이다. 조선 예수교 장로회의 사기(事記)에 의하면, 처음의 교회는 1905년에 5칸으로 지었으나,1908년 지금의 자리로 옮겨 지은 것이라고 한다. 현재 금산교회 옆으로 1988년에 새로 지은 교회본당과 사택이 들어서 있다. 건물은 남북방향으로 5칸이며, 여기에서 동쪽으로 2칸을 덧붙여 뒤집힌ㄱ자 형태를 이룬다.
내부는 통칸으로 이루어졌으며, 남북방향 5칸과 동쪽방향 2칸이 만나는 곳에 강단을 설치하여 남쪽으로 남자석, 동쪽으로 여자석을 분리하여 마련하였다. 이는 한국 초기 교회건축에서 나타나는 독특한 형태로 한국 전통사회의 남녀구분이라는 큰 문제를 ㄱ자형 건물을 지어 남녀가 나뉘어 예배를 보게 함으로써 해결하려 했던 것이다. 한국의 전통 건축양식과 서양식교회의 특징을 조화롭게 결합시킨 이 교회는 초기 교회건축의 한국적 토착화 과정을 살필 수 있는 중요한 건물로, 각 구조물의 보존상태가 양호하여 문화재로 지정·보존하고 있다.",,문화재청 http://www.cha.go.kr,전북특별자치도 김제시 금산면 모악로 407,연중개방,,주차가능,,금산사 꽃 구경 차선책으로 선택된 성지였는데 아이들에게 한국 선교의 산실을 보여줄 수 있어서 무엇보다 의미있는 곳이 되었습니다. 역사적 보존에 감사하며 정신이 고스란히 전해지기를 바래봅니다.,,,,,,,무료,[금산교회] 문화재자료 (1997.07.18 지정),,,,,,,전연령,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
청룡사(김제),"청룡사는 금산사에서 심원암으로 가는 도중 자리한 절로서 창건 연대는 분명하지 않으며, 금산사의 부속 암자였을 것으로 추정된다. 1079년(문종 33)에 금산사 주지로 부임한 혜덕왕사가 금산사를 중창할 당시 모악산 내에 40여 암자를 세웠는데, 이때 청룡사의 전신인 용장사를 창건하였다고 한다. 1954년에 승려 용봉이 금산사 주지로 부임한 후 용장사를 복원하는 과정에서 청룡사로 절 이름을 바꾸었다. 현재 건물은 1974년에 세운 것이다.
관음전에 모셔진 김제 청룡사 목조관음보살좌상은 1655년(효종 6)에 왕과 왕비, 세자의 무병장수를 빌기 위해 승려 천승이 나무로 만든 것이다. 원래 완주군 용진면 간중리 봉서사에 있었으나 1950년대에 화재를 피해 이곳 청룡사로 옮겼다고 한다.
목조관음보살좌상의 조각 기법은 소박하면서도 세련된 양상이 돋보이며 특히 높이 45cm인 작은 불상이지만, 상호 및 손가락의 표현 기법이 매우 섬세하여 보존의 가치가 뛰어나며, 인자하고 원만한 얼굴이 조선 후기 불상의 특징을 잘 보여준다.",,http://www.grandculture.net,전북특별자치도 김제시 금산면 모악15길 80-122,,연중무휴,있음(무료),있음(남녀 구분),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
조앙사,"조앙사는 진묵조사를 흠앙하는 뜻에서 진묵조사의 조(祖)자와 흠앙의 앙(仰)자를 따서 이름 지었다. 이곳은 불교계의 거목으로서 전북지역의 고승이던 진묵대사가 태어났던 곳으로써 그를 모시는 사찰이다. 경내에 진묵조사전이라는 전각을 마련하여 진묵대사를 모실 뿐 아니라 영전을 세웠고, 그의 어머니와 누이의 영정까지 모시고 숭앙하고 있다. 조앙사는 1915년 창건되었고 당시는 대웅전만 있었으나 그 이후 요사를 짓고 칠층석탑을 세우고종각을 지었다. 1977년에는 이전의 대웅전을 헐고 새로 지었다. 이곳은 진묵대사와 함께 근대기에 대화교의 본산이었던 중요한 사찰로 일제강점기 때 대화교의 포교당이 있어 현세에서 고통받는 이들이 미래에는 희망을 밝혀줄 미륵불을 신앙하고 전파하였던 곳이다. 따라서, 근대기 한국 불교계에서 활발한 활동을 전개했던 증거로서 당시에 제작된 포교문을 비롯하여 불화와 불탑 등 여러 성보 문화재가 남아 있다.",,https://www.gimje.go.kr/tour/index.gimje,전북특별자치도 김제시 만경읍 화포3길 63-12 (만경읍),상시 개방,연중무휴,가능,있음(남녀 구분),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
서동공원,"익산시 금마면에 위치한 서동공원은 금마관광지 조성 사업의 일환으로 1990년부터 조성하여 2004년 금마조각공원이란 이름으로 개원한 공원이다. 한반도를 빼닮은 금마저수지를 안고 있으며, 저수지를 따라 4만 평 부지에 조각공원과 전망대 등이 있다. 공원 곳곳에는 서동과 선화를 테마로 하는 조각, 십이지신상, 기타 조각 작품 등이 설치되어 있다. 이외에도 물높이가 최대 5m까지 올라가는 분수대와 잔디광장, 미륵광장, 수변광장, 야외무대 등을 갖추고 있어 지역민들의 휴식공간으로 이용되고 있다.
서동공원에서는 매년 5월 초 서동설화와 서동요를 테마로 한 익산서동축제가 개최되고 있다.",,https://www.iksan.go.kr/tour,전북특별자치도 익산시 금마면 고도9길 41-14,상시 개방,연중무휴,가능,장애인 화장실 있음,"친정지역이라서 아이들 데리고 종종가요! 뛰어놀기 좋고 볼거리도 다양해서 좋았어요 서동축제 참여로 처음으로 방문했는데 너무 즐거웠어요 서동축제 기간에 오니 너무 좋내요 ㅎ 익산 방문길에 잠시 들른 곳. 서동과 선화공주의 사랑이야기를 기린 곳. 산책하기 좋게 꾸며져서 좋았다.특히 아이들이 놀 수 있게 잘 꾸며져서 좋아 보였다. 아이들하고 데이트하러 가는곳입니다. 아이들 뛰어놀기 좋고, 도시락싸서 자전거도타고 퀵보드도타고 바람도 쐬고 주말 여유있게 놀다와요. 역사도 배우고, 여유도갖고 좋은곳 추천해드려요~!!! 아이들과 주말에 간단한 도시락 싸들고 놀러가기 좋아요. 자전거도타고 신나게 뛰어놀기좋고 금마저수지끼고있어서 물멍하기도 좋아요ㅎㅎ 서동축제해서 방문했어요. 비가와서 아쉬웠지만 불꽃놀이도 멋있구요. 아이들 체험거리도 많아서 좋았어요. 평소에도 주말에 아이들과 뛰어놀기 좋은곳입니다.",,,출입구까지 턱이 없어 휠체어 접근 가능함,주출입구는 턱이 없어 휠체어 접근 가능함,"장애인 주차장 있음 (7대, 장애인표지판)_무장애 편의시설",,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
백암스키샵,무주덕유산리조트 인근에 위치하고 있으며 일반 스키 장비에서부터 최신형의 카빙스키와 스노보드를 다량으로 확보하고 있다. 직접 아늑한 콘도를 운영하고 있어 관광에 편의를 도모하고 있다. 무주덕유산리조트로부터 2km 거리에 위치하고 있으며 약 2분 정도 소요된다.,,백암스키샵 http://www.100am.co.kr/,전북특별자치도 무주군 설천면 만선로 32,,동절기 무휴,가능,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,탈의실 (남녀개별),,,,,,,"스키,블레이드,보드,스키복,스키부츠,보드부츠,폴",,,,,,,,,,,,,,,,,,,
적벽강 (전북 서해안 국가지질공원),"부안군 변산면 격포리 해안선 약 2km의 층암절벽과 암반으로 이어지는 지역을 지칭한다. 이곳은 채석강과 함께 전북서해안 지질공원으로 지정되어 있는 곳이다. 채석강의 끝인 죽막마을을 경계로 북쪽이 적벽강이고, 남쪽이 격포해수욕장을 포함한 채석강이다.
채석강이라는 명칭은 송의 시인 소동파가 놀았다는 중국의 적벽강만큼 경치가 뛰어나다 해서 붙여진 이름이다. 변산해변의 절경을 만들어 내는 적벽강은 붉은색을 띤 바위와 절벽으로 해안이 이루어져 있어 맑은 물에 붉은색이 신비롭게 조화를 이루며, 특히 석양 무렵 햇빛을 받아 바위가 진홍색으로 물들 때 장관을 이룬다. 적벽강의 용두산 절벽 위의 수성당을 비롯하여 그 앞 절벽 밑 대마골, 여울굴의 철마 등은 어로민속과 토속신앙의 전설이 많은 지역이다.
적벽강에는 봄에는 유채꽃이, 가을에는 코스모스밭이 펼쳐지므로 꽃구경을 하거나, 구불구불한 해안선을 따라 드라이브하면서 노을을 보는 것도 좋고 마실길을 따라 아름다운 해안가를 걷는 것도 좋다.",,https://www.buan.go.kr,전북특별자치도 부안군 변산면 격포리,,,가능,,부안에 살아서 자주 가던 곳이에요 조용하고 해질 때 풍경이 너무 예뻐요 해질녘 전망이 고요하고 평온했습니다 수성당을 찾아오면 같이 볼 수 있어요 24년 마지막날 처와 함께 전북 부안 여행 적벽강을 따라 걷기 좋아요. 비가 오거나 파도가 심한 날은 조금 무섭지만 안전한 길을 따라 걸으며 절벽이랑 암벽 감상하기 좋은 듯 합니다^^ 돌들이 예쁘고 조용합니다^^ 날 맑으니 더 좋네요^^ 부부동반으로 부안군 여행 시 방문한 곳입니다. 조용하면서도 아름다운 곳입니다. 마실길을 따라 해안가를 걸으며 푸른 바다를 한껏 느낄 수 있어요 ~ 벚꽃 필때 다녀왔습니다 너무 환상적인 곳 이었습니다 바다와 유채꽃과 해안선 절경이네요 옛 선인들의 손길이 느껴지는 곳이예요,,,,,,,무료,[부안 채석강·적벽강 일원] 명승 (2004.11.17 지정),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
