,place,info,문의 및 안내,홈페이지,주소,이용시간,휴일,주차,입장료,review,화장실,지정현황,주차 요금,이용요금,접근로,출입통로,수유실,이용가능시설,장애인 주차 안내,엘리베이터,휠체어,유모차,시설이용료,수용인원,할인 정보,지체장애 기타 상세,주차요금,판매 품목,오디오 가이드,점자 홍보물,대중 교통,체험가능 연령,규모,시각장애 기타상세,관람석,주요시설,보유장비,대여안내,강습안내,부대시설,이용 시기,개장기간,유아용보조의자,객실,입실시간,퇴실시간,객실내 취사 여부,식음료장,객실수,예약안내,객실유형,점자 블록,안내 요원,코스안내,보조견 동반,입점브랜드,노래방 여부,예약안내 홈페이지,뷰티시설여부,유도안내 설비,영유아가족 기타상세,체험
1666,예강서원,"예강서원은 조선 후기의 부농주택으로 약 700평의 대지에 대문채, 사랑채, 안채, 가묘, 고방채와 기타 3동의 부속건물로 구성되어 있다. 사랑채 염수당은 예강서원이라는 편액이 달려있으며 정면 5칸, 측면 1칸에 전후퇴가 있고 우측부터 큰 사랑방, 작은 사랑방, 안마루, 중 문간, 중 사랑방으로 짜여 있다. 전퇴에는 툇마루, 후퇴에는 벽장 등의 수장 공간이 부설되어 있다. 작은 사랑방과 안마루 사이에는 세 짝의 세살문을 달았으며, 안마루 뒷벽은 판벽으로 하여 수장시설을 더했다. 큰 사랑방에도 중방위에 벽장을 시설 하였으며 배면에 안채로 통하는 외짝 여닫이문을 달았다. 사랑채 지붕은 초창기 낙동강변의 억새를 엮어 지붕을 잇는 샛집이었으나 1971년 봄에 평기와집으로 고쳤다고 한다. 창호의 형식과 가구수법, 부재규격에 근대 한옥의 특성이 잘 나타나고 있다. 가묘는 단칸의 맞배집으로 별도의 4대 선조의 위패를 모시고 있다.",,"http://tour.gimhae.go.kr
http://www.cha.go.kr",경상남도 김해시 진례면 진례로311번길 107,,,,,,,[김해 시례리 염수당] 경상남도 문화재자료 (2006.07.20 지정),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,전통서원제례
1667,덕연서원,"신재 주세붕의 업적을 기리기 위해 세운 서원이다. 주세붕(1495∼1554)은 조선 전기 문신이며 학자이다. 주로 홍문관과 성균관 등 학문기관의 관직을 지냈으며, 지방관으로 있을 때에는 교학진흥을 통한 교화에 힘썼다. 덕연서원은 선조 24년(1591)에 ‘동림서원’으로 세웠으나, 현종 원년(1660)에 칠원현 남고에 ‘남고서원’으로 새로 세웠다. 숙종 2년(1676)에는 ‘덕연’이란 이름을 나라로부터 받아 사액서원이 되었다. 그 뒤 흥선대원군 서원철폐령으로 고종 5년(1868)에 폐쇄되었다가 1964년에 다시 세웠다. 서원 안에 있는 건물로는 강당, 존덕사, 덕연별사가 있다. 교육 공간인 강당은 앞면 5칸·옆면 2칸 규모로, 지붕은 옆면에서 볼 때 여덟 팔(八) 자 모양인 화려한 팔작지붕이다. 존덕사는 앞면 3칸·옆면 2칸 규모이며, 지붕은 옆면에서 볼 때 사람 인(人) 자 모양인 맞배지붕이다. 안쪽에는 주세붕의 위패를 모시고 있다. 존덕사 오른쪽에 위치한 덕연별사에는 삼칠선현(三漆先賢) 다섯 분의 위패를 모시고 있다. 서원에서는 해마다 3월에 제사를 지내고 있다.

(출처 : 국가유산청)",,https://www.heritage.go.kr,경상남도 함안군 칠원읍 예용3길 12-2,상시 개방,연중무휴,가능,,,,경상남도 문화유산자료 함안 덕연서원 (1983.07.20 지정),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1668,송정 솔바람해변,"송정 솔바람해변은 상주은모래비치에 이어 남해에서 두 번째로 규모가 큰 해수욕장이다. 100년 이상 된 소나무가 빼어나 송정마을과 송남마을 두 마을이 이어져 있는 해변으로 [송상마을]이라고 불리기도 하는 송정마을은 조선 말 금산과 대곡산 등의 산림을 보호하기 위해 통영 산림감시통제부 산하의 감시초소인 정자를 송정(松停)으로 부른 것이 연유가 되어, 국도 19호선 남해의 명산 금산과 천혜의 해수욕장인 상주와 송정을 찾는 도로변 윗편의 송정마을이 되었다.
특히 [대한민국 테마 10선] 사업대상지에 남해군 대표코스 중 하나로 선정된 송정해수욕장은 2020년 1월, 캠핑객이 머물기 좋도록 파쇄석과 곰솔, 평나무 등을 활용해 ‘송정솔바람 야영장’을 조성해 그야말로 [남쪽빛 감성여행지]로 인기를 끌고 있다. 해수욕장의 주변은 바위로 이뤄진 해안선과 100년 이상 된 해송이 길게 자리잡고 있다. 또한 해수욕장을 조금만 벗어나면 몽돌과 기암괴석이 뒤섞인 경사진 낭떠러지인 단애 해안을 구경할 수 있다. 이뿐만 아니라 서핑을 즐길 수 있는 서핑스쿨이 있으며 [미조항음식특구]와도 가까워 멸치회, 멸치쌈밥 등 다양한 먹거리를 탐방할 수 있다.",,http://tour.namhae.go.kr,경상남도 남해군 미조면 미송로483번길 4-69,,,있음(송정솔바람해변 공영주차장),무료,"이번 여름에 남해에 갔다 오면서 송정에 들렀는데 바다가 잔잔하고 특히 저녁과 밤 시간에 부는 바닷바람이 너무 좋았습니다 밤에 해변 앞 포장마차 같은 곳에서 파는 치맥도 맛있었습니다 시간 상 여유가 있었다면 조금 더 머물고 싶은 장소였어요 조용하고 파도가 잔잔했고 모래가 부드럽고 민들조개도 잡고 즐거웠어요.남해에 여러번 갔지만 이렇게 해변에서 좋았던 기억은 손에 꼽을정도. 해넘이가 너무 예뻐 다음엔 캠핑으로 가려구요. 상업적인 인위적인 것이 별로 없으니 준비를 좀 하고가면 더 좋을것 같아요. 여긴 자연적인게 최고매력! 2024년 여름, 마지막 물놀이. 마지막 해수욕을 송정솔바람해수욕장에 마침표 찍었어요. 깨끗한 바다물 완만한 수심 적당한 파도 고운모래 이따금 조개 해루질 그리고 솔바람 솔솔~ 부는 해송림까지. 해수욕장의 팔방미인이랄까요? 어른, 아이 모두 만족했던 2024년 물놀이 유종의 미. 고마워! 송정솔바람해수욕장! 우리강아지의 수영실력을 볼수있어서 좋았다 여름에 남해에서 재밌게 놀았습니다. 작년과 다르게 파도도 높아서 더 재밌었네요. 주차시설은 남해 해수욕장 중 최고인 것 같고 화장실도 두 군데 깨끗합니다. 슈퍼도 있고 캠핑장도 저렴하고 서핑도 탈 수 있어요. 멀리 설리 스카이워크도 보이네요. 여기 초보들 서핑 하기에 굿굿! 남해 놀러오면 송정솔바람으로 남해서핑스쿨로 고고!",있음,,,,모래구간까지 턱이 없어 휠체어 접근 가능함,,,"숙박시설, 샤워장, 음수대, 야외공연장, 바다구조센터, 119구조대사무실 등",장애인 주차장 있음(생태주차장 6대)_무장애 편의시설,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,동반가능_시각장애인 편의시설,,,,,,,
1669,[지리산 둘레길 코스] 동강~수철,"지리산길은 느리게 성찰하고 느끼며 에둘러 가는 수평의 길이다. 지리산길은 지리산 둘레 3개도(전북, 전남, 경남), 5개 시군(남원, 구례, 하동, 산청, 함양) 16개 읍면 80여 개 마을을 잇는 300여 km의 장거리 도보길이다. 경상남도 함양군 휴천면 동강리와 산청군 금서면 수철리를 잇는 12.3km의 지리산둘레길은 4개의 마을을 지나 산청에 이르는 길이다. 한국 현대사의 아픔을 간직하고 있는 곳이며, 역사의 상처를 치유하기 위해 추모공원이 조성되어 되어 있다. 이루지 못한 사랑이야기가 전하며 지리산자락 장꾼들이 함양, 산청, 덕산을 오가며 생을 이었던 길이기도하다.

※ 이용수칙
- 산악자전거(MTB)는 지리산길 훼손을 가져오기 때문에 이용할 수 없다.
- 도시락과 물, 간식 등을 꼭 준비하고, 쓰레기는 되가져간다.
- 농작물과 열매는 손대지 않는다.(농작물이나 열매는 지역민들의 소중한 재산이다.)
- 대중교통을 이용한다. (대중교통이용은 도보여행의 일부이다.)
- 마을에서는 먼저 인사하고, 사진을 찍을 때는 꼭 허락을 받는다.(생활공간에서 갑작스럽게 사진 찍히는 것은 누구에게나 불쾌감을 준다.)",,"http://www.jirisantrail.kr
http://jiri.knps.or.kr",경상남도 함양군 마천면 금계길 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1670,사량도 바다낚시,"한려해상 국립공원의 중간 지점에 위치하고 있는 사량도는 상도· 하도와 수우도를 합하여 세 개의 섬으로 되어 있다. 어사 박문수가 고성군 하일면에 있는 문수암에서 이 섬을 바라보니 섬 두 개가 짝짓기 직전의 뱀처럼 생겼다고 해서 사량도라고도 전해지는데, 이름대로 사실 뱀이 많아서 뱀과 천적관계인 야생동물들을 찾아보기 힘들다고 한다. 동쪽으로 길게 뻗어 있는 두 섬 중 지도상 윗섬을 ‘상도’, 아랫섬을 ‘하도’라고 한다. 상도의 지리산·불모산·고동산과 옥녀봉으로 연결되는 등산로는 전국 산악인들이 즐겨 찾는 등산코스이며, 하도는 칠현봉을 비롯하여 봉수대가 있는 섬으로 등산과 관광을 즐길 수 있는 섬이다.
여름 산행과 해수욕을 겸할 수 있는 섬, 섬을 이야기하면서 등산의 묘미를 논할 수 있는 섬 중의 하나가 사량도이다. 많은 관광객들이 등산과 낚시를 즐기기 위해 찾아오면서 섬 전체가 활기를 띤다. 등산과 해수욕은 주로 윗섬에서, 낚시꾼들은 아랫섬에서 여유를 즐길 수 있다. 한편 사량호 도선장에서 내지 마을까지 이르는 도중에는 여름철 더위를 식히기에 충분한 사량도 유일의 ‘대항해수욕장’이 펼쳐져 있다. 사량면사무소 뒷길 해안선을 따라 약 15분 쯤 걸어 내려가면 고운 모래사장이 드리워져 있으며, 화장실과 샤워장, 야영장, 파고라 등의 부대시설 또한 잘 갖추어져 있어 아름다운 사량도에서의 섬 산행과 해수욕이라는 두 가지 즐거움을 동시에 만끽할 수 있을 것이다. 사량도는 갯바위 낚시와 양식장 주변 배낚시가 유명한 섬이기도 하다. 감성돔, 뽈락, 농어, 도다리 등의 고급 어종이 풍부해 연중 낚시꾼들의 발길이 끊이지 않는다.",,통영관광 http://www.utour.go.kr/,경상남도 통영시 사량면 (사량면),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1671,갈도,"통영시 욕지면 서남단 끝에 있는 갈도는 철마다 다양한 대형 어종의 낚시터로 예전부터 낚시꾼들의 사랑을 한몸에 받던 곳이다. 봄에는 볼락꾼들이 밤을 지새우던 곳이고 여름에는 참돔·돌돔·농어의 일급 낚시터다. 늦가을부터는 대형 감성돔의 겨울나기 장소로 알려져 있다.
통영에서 직선거리로 45km 떨어진 경상남도 최남단의 섬으로 봄에는 주로 볼락, 여름과 가을에는 혹돔, 돌돔, 농어 등이 낚이고 12월에서 이듬해 3월까지는 감성돔이 낚인다.
* 소재지 - 경남 통영시 욕지면",,섬여행 갈도페이지 http://www.badaland.com,경상남도 통영시 욕지면 갈도길 (욕지면),,,,,샘물이라도 있습니까 혹시 샤워는 물이 없어 어떻게 합니까,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1672,진해현관아 및 객사유지,"조선 순조 32년(1832년) 진해 현감 이영모가 세운 관아 건물로 지방 업무를 보던 곳이다. 중심건물인 동헌을 중심으로 왼쪽에는 조정에서 파견된 관리들의 숙소였던 객사, 오른쪽에는 군령을 출납하는 사령청, 앞쪽에는 말을 사육하는 마방과 지방의 형사를 담당하는 형방소 등의 부속 건물이 같이 있다. 동헌은 앞면 7칸, 옆면 3칸의 ㅡ자형 건물이며, 객사는 앞면 11칸, 옆면 3칸의 건물이었으나, 1985년 불이나 객사는 건물 기단만이 남아있고, 동헌은 여러 차례 보수가 있었다. 다른 건물들은 현대식 건물로 변해서 제 모습을 찾아볼 수 없으며, 세울 당시의 위치를 정확히 추측하기 어렵다. 조선 후기의 지어진 관아 건축 중에서도 그 부속건물의 대부분을 갖추고 있는 드문 예로써 건물의 배치나 건물 형식, 기능 등은 건축사 연구자료로서 큰 가치를 지니고 있다.",,https://www.heritage.go.kr,경상남도 창원시 마산합포구 진동면 성산길 54,,,,,,,경상남도 유형문화유산 창원 진해현 관아 및 객사 유지 (1985.01.14. 지정),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1673,[지리산 둘레길 코스] 금계~동강,"지리산길은 지리산 둘레 3개도(전북, 전남, 경남), 5개시군(남원, 구례, 하동, 산청, 함양) 16개 읍,면 80여개 마을을 잇는 300여km의 장거리 도보길이다(21개 코스 운영). 지리산 둘레를 잇는 길에서 만나는 자연과 마을, 역사와 문화의 의미를 다시 찾아내어 잇고 보듬는 길이며, 한 땀 한 땀 수 놓듯 이어가는 지리산 둘레길을 통해 만나는 사람, 풀 한 포기, 나무 한 그루, 모든 생명들의 속삭임을 귀 기울여 들어 볼 수 있는 자연의 길이다.
금계~동강코스는 경상남도 함양군 마천면 금계마을과 함양군 휴천면 동강리를 잇는 11km의 지리산 둘레길이다. 이 구간은 지리산 자락 깊숙이 들어온 6개의 산중마을과 사찰을 지나 엄천강을 만나는 길이다. 주요 경유지는 의중마을, 서암정사, 벽송사, 세동마을, 운서마을, 구시락재, 동강마을이다. 이 길은 사찰로 가는 고즈넉한 숲길과 등구재와 법화산 자락을 조망하며 엄천강을 따라 걷는 옛길과 임도로 운영된다.",,"http://www.jirisantrail.kr
http://jiri.knps.or.kr",경상남도 함양군 마천면 금계길 5,일출 후~일몰 전,동절기 정비기간 이용통제(12월말~2월말),가능,,,있음(남/여 구분),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"거리 : 11km/12.7km(벽송사 경유)
예상시간 : 4시간/5시간(벽송사 경유)
난이도 : 금계-동강, 중/ 동강-금계, 중
코스
* 금계-동강 구간 경유지
금계마을 – 의중마을(0.7km) – 모전마을(용유담)(3.1km)- 세동마을(2.4km) – 운서마을(3.3km) – 구시락재(0.7km) – 동강마을(0.8km)
* 금계-동강 구간 벽송사 경유지
금계마을 – 의중마을(0.7km) – 벽송사(2.1km) – 모전마을(용유담)(2.8km) – 세동마을(2.3km) – 운서마을(3.3km) – 구시락재(0.7km) – 동강마을(0.8km)",,,,,,,,
1674,해평열녀사당,"해평열녀사당은 통영의 대표적 열녀인 해평열녀의 굳은 절개를 기리기 위해 마을 사람들이 1887년 사비를 들여 지은 사당이다. 열녀비인 해평열녀기실비는 1932년 세워졌다.
해평열녀의 성명이나 생활연대는 알 수 있지만 그가 살던 마을 이름을 따 해평열녀라 불린다고 전해진다. 옛날 용화산 자락의 해평이라는 마을에 시집온 새댁이 있었다. 어느 날 남편이 고기를 잡으러 바다에 나갔다가 늦도록 돌아오지 않았다. 같이 배를 타고 갔던 사람이 찾아와 남편이 심한 파도에 휩쓸려 물에 빠져 죽었다는 소식을 전하자, 부인은 놀라고 슬픈 마음에 남편이 빠졌다는 바다를 찾아가서 자신도 물에 뛰어들었다. 사흘 뒤 부인이 남편을 끌어안은 채 두 시신이 바다로 떠올랐다. 깜짝 놀란 마을 사람들은 시신을 거두어 합장해 주었는데, 얼마 뒤 주변 산 나뭇잎들마다 벌레가 갉아먹은 흔적을 살펴보니 열녀라는 두 글자가 선명히 적혀있었다고 한다.
사당이 지어진 이후로 마을 사람들은 해마다 가을이면 해평열녀 추모제를 지내고 있으며 오늘날까지 이어지고 있다.",,http://www.utour.go.kr,경상남도 통영시 해평5길 131 (봉평동),,연중무휴,가능,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1675,산천재 남명매,"지리산 천왕봉 아래 산청군 시천면 사리에 있는 산천재의 뜰에는 남명 조식(曺植, 1501~1572) 선생이 61세이던 명종 16년(1561)에 손수 심은 매화나무가 있다. 산천재는 선생이 학문을 닦고 연구하던 곳으로 명종 16년(1561)에 세웠고, 순조 18년(1818)에 고쳐졌다. 규모는 앞면 2칸, 옆면 2칸이다. 남명 선생은 영남의 퇴계 이황과 쌍벽을 이룰 만큼 호남 학파의 수장이다. 평생 벼슬에 나가지 않았지만 죽어서 사간원(司諫院)과 대사간(大司諫)에 이어 영의정에 추서된 위인이다. 선생은 1501년(연산 7년)에 경상도 삼가현에서 태어나 벼슬길에 나아간 아버지를 따라 서울로 이주하였다가 그 후 의령, 김해, 삼가 등지에서 거주하였다. 선생은 61세가 되던 해에 산청의 덕산으로 이주해 그곳에 서실을 짓고 산천재라 이름하였다.",,http://www.sancheong.go.kr/tour,경상남도 산청군 시천면 남명로 310-8 (시천면) 산천재관리사무소,,연중무휴,가능,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1676,함안 주리사지 사자석탑,"함안 주리사지 사자석탑은 함성중학교에 있는 통일신라시대의 석탑이다. 원래 여항면 주서리 주리사터에 있던 것을 일제강점기에 면사무소로 이전하였다가, 8.15 광복 후 다시 함성중학교 교정에 옮겨온 것으로, 적지 않는 수난의 역사를 가지고 있는 석탑이다. 수차례에 걸쳐 설치 장소가 이전되면서, 기단부의 4사자와 2층, 3층의 옥개석과 옥신석, 그리고 상륜부(相輪部)의 노반(露盤)만이 잔존하고 그 밖의 부재는 모두 망실되었다.
기단에 네 마리의 사자를 배치한 것이 일반 석탑과는 다른 독특한 모습이다. 그 대표적인 예로 전남 구례 화엄사의 4사자 삼층석탑을 비롯하여 전국을 망라해도 몇 곳에 불과하다.
바닥돌 위에 얹힌 지붕모양의 돌 위로 네 마리의 사자를 올리고 그 위로 5층으로 보이는 탑신을 쌓았는데, 탑신의 몸돌 하나가 없는 상태이다. 3층 혹은 5층일 것으로 추정되는 이 탑의 정확한 모습은 알 수 없으나, 구례 화엄사사사자삼층석탑, 회양 금장암지사사자삼층석탑, 제천 빈신사지사사자석탑 등 비슷한 양식의 탑과 비교해 볼 때, 네 마리의 사자가 포함된 기단부가 있었을 거라고 추측된다. 사자는 발을 가지런히 모으고 등을 맞댄 채 앞을 보고 앉아 있는 모습으로, 조각은 단순하나 각 부의 형태가 잘 드러나 있다. 탑신의 각 몸돌에는 모서리마다 기둥모양이 표현되고 지붕돌은 네 귀퉁이에 치켜올림이 있다.
기단부에 사자상을 배치한 경우는 드문 경우로, 원형을 간직하지 못하고 있는 것이 안타깝다. 남아있는 탑재의 양식으로 보아 통일신라시대에 조성된 것으로 추정된다.",,https://www.haman.go.kr,경상남도 함안군 함안면 함안대로 105-2,상시 개방,연중무휴,가능,무료,,,경상남도 유형문화유산 함안 주리사지 사자석탑 (1972.02.12 지정),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1677,내천못재,"못재는 합천군 율곡면 내천리 서쪽 지산 정상에 있는 연못으로 면적이 약 4백여 평이고 화산이 폭발하여 생긴 화구호라고 하나, 자연함몰로 생긴 것으로 추정된다. ‘순채’라는 식물이 자생하는데 예전에는 이 식물이 나병, 피부병, 황달병 등에 특효약이라 하여 많은 환자들이 병을 치료할 약재를 구하기 위해 찾아왔으며, 주변 잔디밭에는 인근 주민들이 몰려와서 편을 갈라 민속놀이인 씨름경기로 친목을 다졌다고 한다. 또한 임진왜란 때에는 왜병이 진을 치고 맞은편 백마산성에 주둔한 우리 의병과 접전을 벌였던 곳이기도 하다. 주변 지산공원은 천지못 바로 북쪽에 위치한 면적 1,000여 평의 군민 편의시설로 팔각정이 있고, 잔디밭과 주변나무그늘이 좋아 인근 주민들이 소풍을 즐기는 공원이며, 천지못 정상 천지봉은 사방을 한눈에 볼 수 있는 절경으로 정월대보름에는 주민들이 달집을 태우며 그 해의 풍년과 무사태평을 기원하는 일명 달맞이봉이라고도 하는 등 주위경관은 물론 유래가 깊은 자연발생 유원지이다.",,http://www.hc.go.kr/tour.web,경상남도 합천군 율곡면 내천리 (율곡면),,,가능 (10대),,신비로운 연못 내천못재 정말 신기했어요 소풍가기에 좋은곳이며 주변경관이 너무나 멋있어서 또가고싶어지는곳이었습니다. 자연스럽게 생긴 연못 가봐야겠습니다,,,,,,,,"지산공원, 잔디광장, 팔각정",,,,,,,,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1678,양산 북정리 고분군,"오봉산의 중심이 되는 산등성이 일대에 있는 무덤들이다. 대형무덤은 산의 윗부분에 퍼져 있고 소형무덤은 비탈진 곳이나 산의 아래쪽에 자리 잡고 있는데, 이와 같은 무덤의 위치는 시기적인 차이에 따라 무덤의 위치가 달라지고 있다는 것을 보여주고 있다. 무덤들 가운데 부부총과 금조총은 1920년에 조사되었고, 1990년에 내부구조 확인을 위한 발굴조사가 있었다. 조사 결과, 이 지역의 무덤들은 모두 관을 보관하는 돌방(석실)의 앞면이 트인 앞트기식굴방무덤 (횡구식석실분)임이 밝혀졌다. 부부총과 금조총은 앞트기식굴방무덤인데, 부부총은 산 위쪽에 자리 잡은 대형무덤으로 돌방내부의 벽면과 천장을 흰색으로 칠하여 장식하였다. 반면 금조총은 산의 비탈진 곳에 자리 잡은 소형무덤인데 무덤들이 자리 잡은 위치와 형태가 다른 것은 무덤 주인들의 신분과 깊은 관계가 있는 것으로 보인다. 두 무덤에서 출토된 금동관, 금제장식품을 비롯한 화려한 유물은 경주지방의 대형무덤에서 나오는 유물과 비슷하다. 부부총의 경우는 추가장으로 남편이 5세기 중반 이후에 먼저 사망하여 무덤을 만들고, 5세기 후반에 부인이 사망하여 함께 묻힌 것으로 보인다. 금조총의 주인은 5세기 후반이나 6세기 전반에 사망한 것으로 보인다. 출토유물로 볼 때, 무덤의 주인공은 신라의 중앙정부와 깊은 관련이 있는 사람이거나 또는 그 친족에 해당하는 인물로 추측된다.",,https://www.heritage.go.kr,경상남도 양산시 북정동,상시 개방,연중무휴,가능,무료,양산시립박물관 관람후 가볍게 산책하고 갑니다. 현재 주거지에 둘러싸인 옛날 무덤. 밥 먹고 편하게 산책하며 이런저런 사색하기 좋은 곳.,,사적 양산 북정리 고분군 (1963.01.21 지정),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1679,심우사(거창),"심우사(거창포교당)는 1935년 5월 이현보 거사의 땅을 시주받아 월암 승려가 창건하였다. 심우사는 도심 속의 사찰로, 매달 초하루와 보름에 정기 법회를 열어 승려와 신도들이 함께 기도를 올린다. 대웅전과 오층 석탑, 범종루·범종 등이 있다. 또한 법당 안에 보물로 지정된 ‘거창 심우사 목조아미타여래좌상’과 경상남도 문화유산자료로 지정된 ‘거창 심우사 삼장보살탱’이 있다.",,http://www.geochang.go.kr/,경상남도 거창군 거창읍 하동4길 77,상시 개방,연중무휴,가능,무료,사찰이 크지 않으나 거창군 도심지에 위치함,있음,,,,,,,,,,,,,,,,,,,,,전 연령,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680,도남항 동방파제 등대 (연필등대),"통영케이블카 인근에 있는 도남항 동방파제 등대는 통영이 배출한 다양한 문학적 인물들과 그들의 업적을 기념하기 위해 건축됐으며 1986년 12월 최초로 점등됐다.
12개의 외측 기둥과 6개의 내측 기둥이 제각각 수직으로 높이 솟은 혁신적 디자인으로, 건축물 자체가 설계 공모를 통해 당선된 하나의 작품이다. 이 등대는 중력을 극복하고 하늘을 향해 도약하는 힘찬 기상과 통영의 문학적 업적을 상징하는 것으로, 이러한 에너지가 모여 밝은 불빛을 뿜어냄으로써 후세에게 바른 길을 비춘다는 것을 의미한다. 4초에 1번씩 녹색 불빛을 내며, 도남항을 오고가는 선박에게 안전한 항로를 알려준다. 등대가 있는 동방파제 인근에는 통영금호마리나리조트, 통영국제음악당, 도남관광단지 등이 있다.",,마산지방해양수산청 http://masan.mof.go.kr,"경상남도 통영시 도남로 269-38 (도남동, 유람선터미널)",연중무휴,연중무휴,있음(약 30대),무료,연필모양이라 진짜 신기하더라구요^^ 가까이 가서 보면서 이야기 나누기 좋은곳 등대여권3(재미있는등대)에 있는 등대. 통영이 낳은 문인들의 업적을 기념하기 위해 만든 연필 모양을 형상화한 등대. 연필모양이 신기하네요. 통영 케이블카도 타고 박경리기념관도 같이 방문하면 좋을것 같아요.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,연중,,,,,,,,,,,,,,,,,,,,,없음
1681,화림동계곡,"화림동계곡은 해발 1,508m의 남덕유산에서 발원한 금천(남강의 상류)이 서상~서하를 흘러내리면서 냇가에 기이한 바위와 담소를 만들고 농월정에 이르러서는 반석 위로 흐르는 옥류와 소나무가 어우러져 무릉도원을 이루고 있는 곳으로 장장 60리(15km)에 이른다. 우리나라의 정자 문화의 메카라고 불리는 곳답게 계곡 전체의 넓은 암반 위에 수많은 정자와 기암괴석으로 어우러진 곳이다.
계곡에는 조선 선조 때 문과에 급제하여 예조참판을 지냈으며, 임진왜란 때 의병을 일으켜 진주대첩 시 장렬히 전사한 이 고장 출신 지족당 박명부 선생이 머물면서 시회를 열기도 하고 세월을 낚기도 했다는 농월정이 있고, 농월정 주변은 함양군에서 국민관광 단지로 조성하여 관광객을 맞이하고 있다.",,함양 문화관광 http://www.hygn.go.kr/tour.web,경상남도 함양군 안의면 월림리 1472,상시 개방,연중무휴,가능,,,있음,,,,,,,선비문화관,,,,,,,,,,,,,,전 연령 가능,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1682,윤이상 기념공원(도천테마파크),"세계적인 작곡가 윤이상(1917~1995)과 그의 음악을 테마로 한 기념공원이다. 도천동 윤이상 생가 옆 6745㎡ 부지에 조성되었으며, 윤이상 선생의 음악 세계를 조명할 수 있는 지상 2층, 연면적 865.5㎡ 규모의 기념전시관과 소공연장이 있다.
기념전시관에는 선생이 생전 독일 베를린에서 거주하며 남긴 유품 148종 412점이 전시되어 있다. 독일 정부로 받은 훈장과 괴테 메달을 비롯해 사무집기, 생전 연주하던 첼로, 항상 품고 다녔던 소형태극기 등이 있으며, 사진 500여 점이 있다.
윤이상 관련 유물이 있는 전시실과 카페, 기념품 매장, 로비의 기능을 복합적으로 가진 에스파체, 각종 공연과 세미나 등의 실내행사가 가능한 메모리 홀, 야외행사장인 경사광장 등으로 이루어져 있어 볼거리가 많다.
윤이상 기념공원에는 윤이상 거리, 윤이상 생가터, 윤이상 기념관 등이 조성되어 있다.",,https://timf.org/kr,경상남도 통영시 중앙로 27 (도천동),"[공원]
- 상시 개방
[기념관]
- 09:00~18:00","[공원]
- 연중무휴
[기념관]
- 매주 월요일",가능 (약 소형 25대),,"통영시 여행 중에 방문한 곳 입니다. ""윤이상기념공원""은 세계적인 작곡가인 윤이상의 생가와 기념관으로 조성된 공원이네요. 한 바퀴 둘러보고 왔습니다. 잘 꾸며져 있습니다.",있음 (남녀 구분),,,,,,,"* 윤이상 관련 유물이 전시되어 있는 전시실
* 카페와 기념품샵 그리고 로비의 기능을 복합적으로 가진 에스파체
* 각종 공연과 세미나 등 실내 행사가 가능한 메모리홀
* 야외 행사장인 경사 광장 등
<안전시설 설비사항>
관리자 상주 / 안전보험 가입 / 소방시설 구비",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
