place,info,문의 및 안내,홈페이지,주소,이용시간,휴일,주차,지정현황,입장료,review,체험가능 연령,화장실,이용 시기,주차 요금,이용요금,주요시설,접근로,장애인 주차 안내,휠체어,수용인원,규모,출입통로,엘리베이터,수유실,판매 품목,시설이용료,유모차,점자 홍보물,이용가능시설,주차요금,대중 교통,시각장애 기타상세,오디오 가이드,지체장애 기타 상세,유아용보조의자,개장기간,관람석,부대시설,보유장비,보조견 동반,대여안내,점자 블록,안내 요원,유도안내 설비,예약안내 홈페이지,강습안내,입점브랜드,객실,코스안내,자막 비디오 가이드,수화 안내,매표소,영유아가족 기타상세,체험
대구 달서문화원,"달서구문화원은 지역문화의 계승과 진흥 및 발전을 목적으로 2000년 5월 12일 개원하였다.
달서구는 선사시대 유적과 현대의 문화유적이 병존하는 문화의 뿌리가 깊은 지역으로 달서구문화원에서는 이러한 달서구에 대한 지역민의 자긍심과 문화욕구를 고취 시키고자 문화유적 탐방과 문화예술 강좌를 진행하고 있다.
또한 구민 화합을 도모하고자 베란다 힐링 콘서트를 개최하고 있으며, 사진공모전 입상자와 공모전에서 배출된 초대작가회원의 작품을 전시하여 지역 사진문화 발전에 기여하고, 나아가 전통문화 계승과 진흥을 위해 더욱 힘 쓰고 있다",,http://dalseo.or.kr,대구광역시 달서구 문화회관길 160 (장기동),월요일~금요일 09:00~18:00,"매주 토요일, 일요일 / 공휴일",가능,,,,,장애인 전용 화장실 있음,,,,,출입구까지 단차가 없어 휠체어 접근 가능함,장애인 전용 주차구역 있음_무장애 편의시설,,,,주출입구는 단차가 없어 휠체어 접근 가능함,엘리베이터 있음,,,,,,,,,,,,,,,,,,,"점자블록 있음(입구,계단)_시각장애인 편의시설",,,,,,,,,,,,"[문화학교]
- 한문교실, 사진교실, 가야금교실, 서예교실 등
※ 자세한 사항은 홈페이지 참조"
팔공컨트리클럽,"팔공컨트리클럽은 대구 동구 도학동에 위치한 회원제 골프장으로 총면적은 26만 평으로 18홀 72파로 이루어져 있다. 코슨 전장은 7,006야드로 1987년부터 개장되었으며 골퍼들 사이에서는 전통 깊은 골프장으로 유명하다. 팔공컨트리클럽은 대구 팔공산 해발 700M 에코힐링 코스로 이루어져 있다. 아름다운 자연경관으로 많은 골퍼들의 사랑을 받는 곳이다. 이곳은 자연림을 전 코스에서 볼 수 있는 자연환경이 가장 큰 매력이며, 푸른 하늘을 라운딩 중 볼 수 있는 전경이다.",,,대구광역시 동구 팔공산로237길 186,일출부터 일몰까지,명절 당일,"가능
요금 (무료)",,,,,,,,"비회원 그린피 기준
주중 160,000원
주말 180,000원
※ 자세한 사항은 홈페이지 참고",클럽하우스 / 식당 / 연회장 / 골프샵 등,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18홀 72파,,,,,
국채보상운동기념도서관,"대구광역시시립중앙도서관은 1919년 개관하여 전국에서 두 번째로 100주년을 넘은 공공도서관으로 지역의 정보제공 및 시민들의 문화생활을 함께하는 소통의 공간으로 이용되어왔다. 그러나 2021년 노후한 시설로 리모델링공사를 시작하여 2023년 7월 도서관과 기록전시관이 결합된 복합문화공간으로 재탄생하였으며 명칭 또한 국채보상운동기념도서관으로 개칭하였다. 도서관 1~2층은 국채보상운동 기록전시관으로 운영하고 3~4층은 국채보상운동기념 도서관으로 운영하고 있다. 시내에 위치하고 있어 접근성이 좋으며 강좌실, 모둠활동실 등 다양한 편의 시설 제공으로 시민 커뮤니티 조성에 기여하며, 학교 교육과정과 연계한 프로그램 강화로 교육청 소속 도서관의 기능을 특화하여 운영하고 있다.학생·시민들의 지식정보 격차 해소와 문화 공유를 위해 적극적인 도서관 서비스를 제공하고 평생교육 강좌도 개설하고 있다.",,https://library.daegu.go.kr/gukbo/index.do,대구광역시 중구 공평로10길 25 대구광역시립중앙도서관,"[유아어린이 자료실]
주중 09:00~18:00/ 주말 09:00~17:00
[종합자료실]
주중 09:00~20:00 / 주말 09:00~17:00
[인문자료실]
주중 09:00~22:00 / 주말 10:00~17:00","매월 1,3번째 월요일 / 관공서 공휴일(단, 일요일과 겹칠 경우 휴관) / 기타 관장이 필요하다고 인정한 날",가능,,,도서관 시설이 엄청 좋아요~ 앉을 자리도 많고 국채보상운동 관련 기록물도 전시되어 있어서 뜻깊은 장소입니다,,장애인 전용 화장실 있음(1층),,무료,무료,,출입구까지 단차가 없어 휠체어 접근 가능함,장애인 전용 주차구역 있음(1대)_무장애 편의시설,무료대여(1대),,"부지 10,260㎡, 건물연면적 10,396㎡",출입구까지 단차가 없어 휠체어 접근 가능함,엘리베이터 있음,,,,,,,,,"저시력 장애인용 독서화상기,프린트기 있음",,,,,,,,,,점자블록 있음(접근로부터 출입구 앞까지)_시각장애인 편의시설,,,,,,,,,,,,"[평생교육]
- 초등 및 영유아 : 다문화프로그램 / 토요도서관 등
- 중고등학생 : 역사야 놀자 국보로 보는 경제 이야기 등
- 성인 : 여행영어 / 기초일본회화 / 중국어 및 시 창작교실 등
- 어르신 : 스마트폰 활용 기초 / 바르게 걷기 클럽 등
※ 4~5월, 9~10월 예정(매년 프로그램 변경 가능)
※ 전 강좌 무료 / 교재비, 재료비는 본인 부담원칙"
묘골마을,"달성군 묘골마을은 낙동강 동안에 자리 잡고 있는 전통마을로 사육신 중 유일하게 살아남은 박팽년의 후손들이 모여사는 순천 박씨 집성촌이다. 박팽년은, 세조 2년인 1456년 사육신들과 모의하여 단종의 복위를 꾀하다가 실패하여 멸문의 화를 입게 되었다. 그러나 박팽년이 혈통을 보전하게 된 이유는 당시, 박팽년의 둘째 아들 박순의 아내 이씨 부인이 임신 중이었기 때문이다. 조정에서는 뱃속에 든 아이까지도 아들일 경우 죽이라고 명하였고, 이씨 부인은 친정인 묘골에 내려와 살다가 아이를 낳으니 아들이었다. 혈손을 보전하기 위해 고심하던 중 데리고 있던 노비가 딸을 낳자 서로 바꾸어 그 이름을 박씨 성을 가진 노비라는 뜻으로 [박비]라고 짓고. 아들을 노비로 둔갑시켜 혈통을 보전한 것이다.
박비가 장성한 후인 조선 성종 때, 아버지와 동서지간이던 이극균이 경상 감사로 내려와 자수를 권유하자 임금을 찾아가 박팽년의 자손임을 이실직고하였다. 성종은 크게 기뻐하면서 특사령을 내리는 동시에 이름도 박일산으로 고쳐 주었다. 이리하여 은둔의 세월은 막을 내리고 묘골이 충절의 본향으로 널리 알려지게 되었다.
지금도 마을 한옥들에는 사람이 거주하고 있어 마을 전체가 잘 관리되고 있으며, 마을에는 묘골 박씨들의 전통을 자랑하는 육신사와 달성 태고정, 도곡재, 달성 삼가헌 등의 문화유산이 즐비하다.",,,대구광역시 달성군 하빈면 육신사길 39-4,상시개방,,있음(무료),보물 [태고정] / 대구광역시 유형 문화재 [도곡재],,,,있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대구 오토바이골목,"대구 오토바이 골목은 1950년부터 조성되어 70여 년의 전통을 가지고 있는 대구 특화 골목이다. 대구 중구 인교동과 시장북로에 위치한 오토바이 골목은 본래 하천이었으며, 양쪽이 대부분 주택지였다. 1953년 복개천이 된 인교동에 1961년 서울오토바이상회를 시작으로 점차 확산되면서 오토바이 상가가 밀집하기 시작하면서 인교동 오토바이골목이 형성되었다. 오토바이 골목은 과거에 말을 사고파는 마장이 열린 곳이라는 뜻으로 ‘말전거리’라고 불렸다. 그 당시의 말과 지금의 오토바이가 같은 주요 교통수단이라는 점에서 서로 연관성이 있는 곳이다. 오토바이 골목으로 들어서면 가게 앞에 전시되어 있는 오토바이의 모습들이 마치 전시장을 연상케 한다. 구매, 전문적인 수리, 시트 전문점, 장애인용 오토바이를 제작 등 오토바이와 관련한 업체가 모여 있어 모든 것들을 한 곳에서 해결이 가능하다. 또, 부속품 진열과 전시, 판매, 스티커 등도 판매하고 있다.",,,대구광역시 중구 인교동,※ 점포별 상이함,※ 점포별 상이함,불가능,,※ 점포별 상이함,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대구북구청소년회관 아트홀,"북구청소년회관은 자라나는 청소년을 위하여 지ㆍ덕ㆍ예ㆍ체를 겸비한 전인적인 청소년상의 정립과 능동적이고 창의적인 청소년 육성을 목표로 2000년 12월 28일 개관하였다. 회관은 분야별로 우수한 민간 전문 인력을 확보하여 청소년이 쉽게 접할 수 있는 눈높이 교육에 주안점을 두고 운영하고 있으며 특히, 청소년의 이용이 적은 시간대에는 지역주민을 위한 문화교양강좌와 생활체육 프로그램을 운영하여 주민의 문화 향수 기회 제공과 건강증진에 기여함으로써 지역사회 발전에 공헌하고자 하는 장소이다. 북구청소년회관은 청소년들의 건전한 수련공간으로 자리매김할 수 있도록 노력을 기울여 나가면서, 지역주민의 삶의 질 향상을 위해 수준 높은 문화복지 및 생활체육사업의 시행에도 최선을 다하고 있다. 다양한 청소년 육성 프로그램과 지역민의 문화강좌들로 프로그램이 구성되어 있으며 그중 아트홀은 북구청소년회관의 공연장이다.",,http://www.bukguzzang.co.kr,대구광역시 북구 검단로 71-17,※ 프로그램 및 강좌별 상이하므로 홈페이지 참고,매주 일요일,가능,,,,,"장애인 전용 화장실 있음(지하,1층)",,,※ 프로그램 및 강좌별 상이하므로 홈페이지 참고,,출입구까지 경사로 있어 휠체어 접근 가능함,장애인 전용 주차구역 있음(3대)_무장애 편의시설,,,,,엘리베이터 있음,,,,,,,,,,,,,,장애인 전용 관람석 있음(2석),,,,,,,,,,,,,,,,,유ㆍ아동 프로그램 / 인문ㆍ교양 프로그램 / 문화ㆍ예술 프로그램
예송갤러리,"대구의 문화중심 지대인 봉산문화거리에 1992년 서양화 전문 화랑으로 개관하였다. 미술에 대한 시민의 심미안을 높이고 새로운 경향의 작품을 소개함으로써 미술 작품에 대한 인식의 폭을 확장하는 것을 운영 목적으로 하고 있다. 따라서 전시회는 기획, 초대전 중심으로 하고 있으며 중견작가의 품격 있는 작품과 실험성 높은 작업을 하는 신진작가를 발굴하고 지원하는 프로그램을 운영하고 있다. 또 작품을 사랑하고 필요로 하는 모든 고객에게 작품에 대한 이해와 작품 관리를 포함한 큐레이팅을 지원하고 있다.",,예송갤러리 http://www.yesongart.com/,대구광역시 중구 봉산문화길 56 (봉산동),10:00~19:00,매주 일요일,"가능
요금 (무료)",,,,,,,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
동원화랑,"중구에 있는 봉산 문화의 거리에 위치한 동원화랑은 1982년에 개관 이래 풍부한 작품을 편리하게 만날 수 있는 공간이 되도록 노력하여 왔다. 동원화랑의 주된 사업은 미술 컨설팅 업무로, 신축건물의 환경미술 컨설팅이며, 유수 작가들의 그림, 미술품 대여 사업도 병행하고 있다. 한집에 그림 한 점 걸기 운동을 펼쳐 삭막한 도시의 공간을 아늑한 정서의 공간, 예술의 공간으로 바꾸고자 힘쓰고 있다.
동원화랑은 2022년에 대구광역시 남구 앞산 해넘이전망대 인근에 갤러리동원 앞산점(남구 안지랑로5길 52)을 개관하여 중구에서 주로 근대미술을 조명한 것과 달리 현대미술 작품을 선보이고 있다.",,http://idongwon.co.kr,대구광역시 중구 봉산문화길 42,10:30~18:00,일요일(기획전시 중은 무휴),없음,,,,,,,,,,출입구까지 경사로가 설치되어 있음,,,,,주출입구는 경사로가 있어 휠체어 접근 가능함,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
군위향교,"향교는 국가에서 설립하여 유학을 가르치고 인재를 기르는 지방 교육 기관으로 지금의 중・고등학교 수준의 교육을 담당하였다. 시나 문장을 짓는 법과 유교의 경전과 역사를 가르쳤고 중국과 조선의 성현에게 제사를 올렸다. 갑오개혁 이후 교육 기능은 사라졌으며, 봄가을에 공자에게 석전대제를 지내고 초하루와 보름에 향을 피운다. 군위 향교는 조선 태종 7년(1407)에 동부리 마정산에 처음 지었으나 임진왜란 때 불타 없어졌고 선조 40년(1607) 선방산 남쪽으로 자리를 옮겨 지었다. 그리고 숙종 27년(1701)에 지금의 자리로 다시 옮겨 오늘에 이른다. 건물의 배치는 제일 높은 곳에 제사를 지내는 대성전을 두고 그 앞으로 공부하는 건물인 명륜당을 중심으로 학생의 기숙사인 동재와 서재가 서로 마주한다. 명륜당과 마주 보는 앞쪽에 누각인 광풍루와 출입문이 동남향으로 자리한다. 광풍루는 1926년에 세웠고, 서재는 한국전쟁 이후에 다시 지었다. 대성전은 앞면 3칸 규모에 ㅅ자형 지붕을 가진 건물이다. 실내에는 공자를 비롯한 그 제자와 우리나라 성현 27분의 위패가 모셔져 있다. 조선 시대 때 향교는 나라에서 토지와 노비, 책 등을 지원받아 교관이 학생들을 가르쳤으나, 지금은 교육 기능은 없어지고 제사 기능만 남았다.

(출처 : 군위군 문화관광)",,https://www.gunwi.go.kr,대구광역시 군위군 군위읍 동서2길 17-28,09:00~18:00,연중무휴,"가능
요금 (무료)",대구광역시 문화유산자료 군위향교 (1987.05.13 지정),무료,,,있음,,,,,,,,,,,,,,,,,대성전 / 명륜당 / 광풍루 / 동재 / 서재 / 내삼문,,,,,,,,,,,,,,,,,,,,,,,,,
팔거산성,"대구팔거산성은 금호강과 대구 시내가 한눈에 내려다 보이는 함지산(287.7m) 정상부에 축조되어 있으며 산 정상을 돌아가며 축조된 테뫼식 산성이다.
함지산은 산의 모양이 함지를 엎어 놓은 것과 비슷하다고 하여 함지산 또는 함지의 방언인 방티산이라고도 불렀기 때문에 팔거산성도 함지산성 또는 방티산성으로 불렀다.
다양한 역사기록을 통해 팔거산성이 위지한 지역의 명칭이 팔리현(삼국), 팔거현(고려), 성주목의 팔거현(조선), 팔거(이칭 칠곡) 등으로 변화하는 것을 확인할 수 있으며 삼국사기 지리지에는 팔거산성의 옛 명칭인 독모성도 기록되어 있다. 현재는 행정구역 이름을 따라 노곡동산성이라고도 한다.
발굴 조사 결과 신라시대 산성에서 주로 나타나는 양식인 현문식 구조, 곡성 등이 신라시대 축성양식의 보편성을 확인할 수 있고 완만한 경사의 성벽, 곡성과 성벽의 접합부 축조방식 등을 통해 해당 산성만의 독특한 축성 양식이 있다는 점에서 가치가 뛰어나다.
성내에 공동묘지와 헬기장, 방공호 등이 들어서 산성의 일부가 훼손되었다. 2015년 함지산 내 인접한 대구 구암동 고분군과 함께 팔거산성의 현황 조사와 유적의 보존 관리 및 정비 활용 방향을 설정하기 위하여 정밀 지표조사를 실시하였다.
등산로를 정비하여 운암지수변 공원에서 출발하는 운암지 만리길도 개설하였으니 함지박을 닮은 산과 운암지의 아름다운 수변공원의 정취를 함께 즐기는 대구 역사문화 밸트로 옛사람들의 삶을 그려보는 것도 잊지 못할 경험으로 남게 될 것이다.",,"▪ http://www.buk.daegu.kr/
▪ http://www.cha.go.kr",대구광역시 북구 노곡동,,,"있음
운암지 수변공원 공영주차
요금
- 최초 30분 : 400원(30분초과시 10분마다 200원)
- 일주차 : 4,000원","국가지정문화재 사적,대구광역시 기념물 제 6호",,"운암지쪽에서 올라가면 좀 편안한데, 저는 구암 어린이집 방면으로 올라갔습니다. 단거리라서 선택했는데 좀 힘들었네요. 인근에 고분군이 있다고 했는데, 고분군이나 팔거산성이나 발굴 중이라서 들어가볼 수는 없었습니다. 그냥 함지산 등산 다녀온다는 마음으로 다녀오면 좋을듯 합니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"구암동고분군, 팔거산성 탐방 : 단체 (10명 이상)
팔거산성탐방안내소 전화예약 (053-325-2344)"
큰장길 침구류 명물거리,"큰장길 침구류 명물거리는 서문시장 인근 70여 개 이불, 베개, 수예 제품 취급업체가 밀집된 거리이다. 이곳은 약 30년 전부터 침구류 도소매점이 하나씩 생겨 거리가 형성되었다. 또한 서문시장은 조선 중기부터 형성된 시장으로 전국 3대 장터 중 한 곳이었으며 지금도 그 명맥을 이어받아 대구 제일의 시장으로 자리 잡고 있다. 최근에는 야시장이 개장하여 더 많은 볼거리와 먹거리를 제공하고 있는 시장이다. 대구의 침장 제조업체는 전국의 27%가량 (578개사)으로 OEM을 포함하면 전국에 유통되는 침구 제품의 50~60%가 대구에서 생산되고 있으며, 그 중심에 있는 큰장길 침구류 명물거리는 시민들에게 고품질의 침장 제품을 합리적인 가격에 판매하고 있다. 또한 제품도 전국 각지로 활발히 공급한다. 서문시장과 대구근대화거리, 동성로 등 문화·쇼핑거리와도 밀접한 위치에 있어 편리하게 접근할 수 있는 곳이다.",,http://dgbedding.com,대구광역시 서구 큰장로 35 (내당동),※ 점포별 상이하므로 홈페이지 참고,※ 점포별 상이하므로 홈페이지 참고,"가능
요금 (무료)",,,,,있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
양천서원,"고려시대의 문신이자 서예가인 홍관 (洪灌,?~1126년)과 홍언박 (洪彦博, 1309~1363년), 조선 중기의 문신 홍위 (洪瑋, 1559~?)를 배향하고 있으며, 남양 홍씨 문중에서 소유와 관리를 맡고 있다. 1786년(정조 10)에 창건하여 남양 홍씨 후손들이 제사를 담당하여 오다가 1868 년( 고종 5) 흥선대원군의 서원철폐령으로 훼철되었다. 이후 1926년 이 지역에 오랫동안 세거해 온 남양 홍씨 후손들에 의하여 복설 되었다.

(출처 : 군위군 문화관광)",,https://www.gunwi.go.kr,대구광역시 군위군 군위읍 내외량길 243-55,상시 개방,연중무휴,"가능
요금 (무료)",,무료,,,있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
달성 한일우호관,"김충선(사야가) 장군을 모시고 있는 녹동서원 옆에 자리한 한, 일 화합의 공간으로 청소년들을 위한 살아있는 역사 공부와 체험 학습장으로 좋은 곳이다. 한, 일 교류 역사를 볼 수 있는 전시관을 비롯해 3D 영상실, 예절교실은 한일우호관을 찾는 국내 관광객과 일본인 관광객을 위한 한, 일 문화교류와 화합의 장으로 활용되고 있다. 이외에도 일본식 정원, 전통놀이 등 다양한 볼거리를 제공하고 있다",,http://www.dskjfriend.kr/,대구광역시 달성군 가창면 우록길 206,09:00~18:00(11월~2월 09:00~17:00),월요일 / 1월 1일 / 설 / 추석 당일,가능,,,,,장애인 전용 화장실 있음(1층),,무료,무료,,출입구까지 단차가 없어 휠체어 접근 가능함,,,,부지 4198㎡(지상 2층),주출입구는 단차가 없어 휠체어 접근 가능함,,,,,,,,,,,,,,,,,,,,점자블록 있음(정문 및 계단)_시각장애인 편의시설,,,,,,,,,,,,"[정기 체험] (첫 번째, 세 번째 주 일요일)]
의상(한복, 유카타) 체험 / 예절수업
[상시 체험]
3D 동영상 / 전자방명록"
청호서원,"이 서원은 조선조 대학자였던 모당(募堂) 손처눌(孫處訥)(1553~1634), 사월당 류시번(柳時藩), 양계(暘溪) 정호인(鄭好仁), 모당의 6대 조인 격재(格齋) 손조서(孫肇瑞) 네 분을 추모하기 위해 세운 것이다. 모당 손처눌의 자는 기도(幾道)이며, 한강(寒岡) 정구문하(鄭逑門下)에서 사사(師事)하여 학행과 효우로 스승에게 인정받았으며, 임진왜란과 정유재란 때 의병대장으로 활동하였다.

난리(亂離) 중 부모상(父母喪)을 당하였으며, 이를 옳게 못 모신 것을 한탄하면서 임진왜란이 평정되자 종신여모(終身廬慕)한다는 뜻에서 자기 거처를 영모당(永慕堂)이라 하였다. 난(難) 후 그는 후진 양성에 전념하여 영모당은 언제나 문전성시(門前盛市)를 이루었고 '영모당통강제자록(永慕堂通講諸子錄)'에는 제자 202명의 명단이 적혀 있어 당시의 규모를 짐작하게 한다.

마을 앞에 청호지(靑湖池)를 만들어 영농에도 힘썼으며, 조정에서의 논공행상도 사양하였으며 다만 대구향교의 최고 책임자인 도유사(都有司)를 12년간 맡았다. 손조서는 조선 초기의 문신으로 대과에 급제하여 집현전 한림학사로서 필재(畢齋)와 도의지교(道義之交)를 맺고 단종 때 봉산군수(鳳山郡守)로 있다가 단종의 참사 소식을 듣고 불사이군(不事二君)이라 하여 벼슬을 버리고 고향(밀양)으로 내려가 후학 교육에 전념하였다.

청호서원 역시 1864년 서원 철폐령으로 훼철되었으며 1947년경 강당만 세웠다가 1968년 화재로 소실되었으며, 현재의 건물은 1969년 강당과 위패를 모신 상인사(尙仁祠)를 중건한 것이다. 서원 입구에 모당선생 유허비(遺墟碑)도 세웠다.

(출처 : 행복수성 문화관광)",,https://www.suseong.kr/tour,대구광역시 수성구 청호로 250-11,상시 개방,연중무휴,불가능,,무료,,,없음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
오천서원,"오천서원(梧川書院)은 1744년(영조 20)에 양희지(楊凞止)[1439~1504]를 기리기 위하여 창건된 서원이다. 오천서원에 배향된 양희지는 본관은 중화(中和), 자는 가행(可行), 호는 대봉(大峰)이다. 연산군 즉위 후 직제학과 부승지를 거쳐 1500년에 부총관을 거쳐 대사헌에 올랐다. 1502년 동지중추부사(中樞府使)가 되고, 겸세자우부빈객, 동지성균사와 한성부우윤(漢城府右尹)을 역임하였다. 저서로 『대봉집』이 있다. 오천서원은 파동 끝자락 골짜기 안 야산의 남쪽 사면에 좌묘우학(左廟右學)[사당이 동쪽 강당이 서쪽] 형태로 배치되어 있다. 이는 땅의 형편을 고려한 배치이다. 서원을 마주 보고 섰을 때 좌측이 강당 영역이며 우측이 사당 영역이다. 강당과 사당은 각각 흙돌담으로 경계를 이루며 사당 영역이 강당 영역보다는 지대가 한 단 정도 더 높다. 출입문은 남쪽으로 각각 1개씩 있으며, 별도로 강당과 사당의 경계 담에 두 영역을 직접 잇는 작은 문을 두고 있다.",,https://www.suseong.kr/index.do,대구광역시 수성구 파동로2안길 20 (파동),상시 개방,연중무휴,"가능
요금 (무료)",,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"아양아트센터(구, 동구문화체육회관)","아양아트센터는 대구 동구에 위치한 문화예술 공간으로 팔공산의 웅장한 이미지를 형상화한 아름다운 건축물을 볼 수 있다. 1,165석의 공연장, 전시실, 5개의 문화강좌실이 있고, 체육시설로는 수영장, 헬스장, 체육관을 갖추고 있다. 또한 200석 규모의 예식장, 폐백실, 대기실, 다용도실, 식당과 400석의 야외공연장 등 다목적으로 이용할 수 있는 시설을 갖추고 있다. 지역의 특성과 지역민의 욕구를 반영하여 지속 가능한 문화예술 정책과 프로그램을 개발하기 위해 노력하고 있으며, 특히 예술인들의 창작 활동을 지원하고 새로운 도약의 기회를 열어주고 있다.",,http://www.ayangarts.or.kr,대구광역시 동구 효동로2길 24 (효목동),"평일 06:00~22:00
토요일 09:00~18:00",매주 일요일 / 공휴일,"가능
요금 (무료)",,,"클림트전 보러 갔었어요. 래플리카지만 여러 작품들을 해설 들으면서 감상하니 더 와닿더라고요. 그림, 섬유향수 체험도 같이 할 수 있어서 더 좋았어요. 벚꽃필때 정말 예뻤었어요 공연도 보고 산책하기도 좋고 맛집들도 있어 배도 채우고.. 어디 움직이지 않아도 근처에서 하루 시간보낼수있어요 대극장이라 큰 공연 보기 좋아요. 매달 막주 수요일에 클래식 공연 무료 관람 가능하고 딤프 때도 대학생 공연 대극장극을 올립니다. 콘서트도 주기적으로 개최됨",,장애인 화장실 있음,,,※ 시설별 상이하므로 홈페이지 참고,,"문화동 1층에서 이동가능함(문화센터,체육세넡,야외놀이마당,식당,매점)
문화동 2,3층에서 이동가능함(엘리베이터 이용/공연장,전시장,하늘공원,야외놀이마당,웨딩홀,다목적홀)","장애인 주차장 있음(6대,G주차장)_무장애 편의시설",대여 가능,"아양홀 기준 1,165명",,주 출입구는 턱이 없어 휠체어 접근 가능함,장애인용 엘리베이터 있음,,,,,,,,,,,,,,휠체어석 있음,,,,,,,문화동 입구(장애인주차장 옆 화단)에 장애인도우미벨 있음,,,,,,,,,,
대백프라자갤러리,"1971년 5월 대구백화점 본점 4층에 대구에서는 최초의 상업화랑으로 개관한 ‘대백갤러리’는 70년대 한국미술과 대구미술사에 있어 중요한 미술전람회를 유치 개최하고 대구미술문화의 중추적 역할을 수행해 왔다. 1993년 대백플라자점 개점과 함께 단일 전시공간으로는 대구 최대규모를 자랑하며 1993년 9월 15일에 개관했으며, 2004년 1월 새롭게 단장하여 재개관을 한 ‘대백플라자갤러리’는 지역 내 수준급 전문갤러리서, 기업이윤을 사회환원 취지로 백화점 고객 및 지역 주민들의 문화생활의 질을 높이고 예술과 근접할 수 있는 기회를 제공하는 고품격 문화공간이다.",,대백프라자갤러리 http://www.debec.co.kr/contents/main/main.do,대구광역시 중구 명덕로 333 (대봉동),"월요일~목요일 10:30~20:00
금요일~일요일 10:30~20:30",연중무휴,가능,,,,,장애인 전용 화장실 있음,,,무료,,"이동경로 폭이 넓어 휠체어 사용자 손쉽게 이용 가능
내부 턱 없음.","해당 문화시설 건물 내 지하주차장 있음.
장애인 전용 주차구역 있음.
주변 휠체어 이용자 등이 이용할 수 있는 여유공간 있음.",,,,"출입통로 형태 : 센서식 자동문
출입통로가 넓어 휠체어, 전동 스쿠터 진입 쉬움.",엘리베이터 있음,,,,유모차 대여 가능함(백화점 지하 1층),,,,"대중교통 이용 가능 : 대백프라자앞 정류장
저상버스 운행 : 모든버스
지하철역 엘리베이터 : 대봉교역 1,4번 출구 사이. 대구 3호선.",,,,,,,,,,,,,,,,,,,,,,,
봉산문화회관,2004년 10월 5일 개관한 봉산문화회관은 도심 재창조의 가치를 문화예술에게 발견할 수 있도록 다양한 기획을 통하여 변화와 성장을 모색하고 있는 곳으로 시민이 자랑하고 싶은 예술 명소가 되도록 힘쓰고 있다. 공간을 구성하는 가장 중요한 요소는 작품과 관객임을 기억하고 작품을 돋보이게 할 수 있는 가장 중요한 요소인 공간을 성장시키고 있다. 전시실과 공연장을 변화시키고 다양한 분야의 예술인들이 소통하는 예술 네트워크의 중심이 되고 있으며 매력적인 예술 콘텐츠를 확보하여 시민의 자랑스러운 공간이 되고 도심에 자리 잡은 쉼터가 되고 관객들이 찾는 문화 예술의 기반이 되기 위해 노력하는 공간이다. 상주하는 단체로 중구여성합창단과 창작플레이가 있으며 시민들에게 다양한 강좌를 개설하고 있다.,,https://www.jung.daegu.kr,대구광역시 중구 봉산문화길 77 (봉산동),※ 시설별 상이하므로 홈페이지 참고,매주 월요일 / 설·추석,"가능
요금 (무료)",,,,,장애인 전용 화장실 있음,,,※ 시설별 상이하므로 홈페이지 참고,,,장애인 전용 주차구역 있음_무장애 편의시설,휠체어 대여가능,,,,엘리베이터 있음,,,,,,,,,,,,,,장애인 전용 관람석 있음(가온홀 5석),,,,,점자블록 있음 (엘레베이터 입구)_시각장애인 편의시설,,점자손잡이 있음,,,,,,,,,,미술실기 / 음악실기 / 신체활동
선교사챔니스주택,"대구 중구 동산동 청라언덕에 붉은색 벽돌로 지어진 서양식 2층 건물로 1910년경에 지어진 것으로 보인다. 현재는 의료박물관으로 활용되고 있다. 남북으로 뻗은 긴 네모형으로 1층 내부에는 거실·서재·부엌·식당·계단 등이 있고, 2층에는 2개의 침실이 있다. 외부에는 나무로 된 현관과 베란다를 설치했으며, 지붕에는 2개의 붉은 벽돌로 된 굴뚝이 솟아있다. 당시 우리나라에 거주했던 미국인의 건축·주거·생활양식을 살펴볼 수 있는 건물이다.",,https://www.khs.go.kr/main.html,대구광역시 중구 달구벌대로 2029 (동산동),"상시 개방
※ 내부관람은 현재 운영 중단 상태",연중무휴,불가능,대구광역시 유형문화유산 선교사챔니스주택 (1989.06.15 지정),무료,,,있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
