place,info,문의 및 안내,홈페이지,주소,이용시간,휴일,주차,화장실,입장료,접근로,review,주차 요금,이용요금,체험,출입통로,장애인 주차 안내,엘리베이터,수유실,판매 품목,이용가능시설,주차요금,지정현황,체험가능 연령,유모차,휠체어,지체장애 기타 상세,입점브랜드,규모,대중 교통,주요시설,할인 정보,수용인원,오디오 가이드,시각장애 기타상세,관람석,점자 홍보물,보조견 동반,보유장비,안내 요원,시설이용료,부대시설,점자 블록,이용 시기,강습안내,청각 장애 기타상세,코스안내,영유아가족 기타상세
신광사(광주),"신광사는 근현대 광주 지역 최초의 비구니 수행 도량으로 지금은 국가 지정 전통 사찰이다. 원래는 광주시 동구 지산동 조선대학교 교내에 있었는데, 1993년 북구 두암동 현재의 위치로 옮겼으며 송광사의 말사이다. 일주문, 대웅전 1동, 삼성각 1동, 자형 반야당 1동, 종각 1동, 무설당 요사채 1동으로 구성되어 있다. 1933년 광주 시내 최동열의 모친 김청재월 보살의 시주금으로 선암사 광주시 서방포교당으로 지산동에 창건되었다. 그 뒤 안혜운 스님이 인수하였다. 1964년 법당이 협소하여 법당과 선방을 중창하였고, 1974년 요사가 낡아 헐어지게 되자 요사와 강당을 중창하였다. 근래에는 선암사에서 송광사로 본사를 옮기고 비구니 스님들의 수행처로 국태민안을 기원하는 전법도량으로서 절을 이끌어왔다. 그러던 중 1990년 조선대 교내에 있던 사찰 부지를 팔고 현재의 위치로 옮겼다. 그 뒤 최경주 스님이 절의 살림을 맡아 1992년 대웅전에 불상과 보살상을 봉안하였고, 요사채, 삼성각, 지하실 등의 대대적인 불사를 하였다. 2016년 제3대 주지인 동현이 주석하면서 불교 수행과 포교, 비구니 후학 양성에 주력하고 있다.",,http://aks.ai/GC60003249,광주광역시 북구 삼정로66번길 42-10,상시 개방,연중무휴,가능,있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
인당국악사,"광주광역시 지정 무형문화재 제12호 악기장 인당 이춘봉 선생님의 정성으로 제작한 혼이 깃은 우리 전통의 국악기인 가야금, 거문고, 아쟁, 해금, 대금, 장고 등을 전시, 판매 그리고 수리를 하는 곳이다. 악기의 최고의 소리를 내기 위해 좋은 재료를 선택하고 만드는데 전통방식을 고수한다. 매장은 남동 천주교 방면에서 약 30m 정도 위치하고 있다.",,,광주광역시 동구 제봉로 75,"08:00 ~ 22:00
※ 전화 문의 후 방문","매주 일요일
※ 전화 문의 후 방문",불가능,,,,,,,,,,,,"가야금, 거문고, 아쟁, 해금, 대금, 장고 기타 주문생산",,,,,,,,,60평,,,,,,,,,,,,,,,,,,,
[무등산 옛길 2구간] 원효사-서석대,"무등산 옛길은 광주 도심에서 원효사를 거쳐 서석대까지 옛사람들이 오르던 길을 복원한 길이다. 무등산으로 가는 길은 예나 지금이나 늘 붐빈다. 무등산은 인구 100만이 넘는 도시를 품은 해발 1000m가 넘는 산이다. 대도시와 인접해서 이렇게 높은 산이 있는 곳은 세계에서도 흔치 않다. 그만큼 광주 사람들의 무등산 사랑과 자부심은 대단하다. 그것들이 잃어버린 옛길과, 또 그 길과 함께 사라졌던 옛이야기들을 찾아 새 길을 놓았다. 무등산 옛길은 크게 3구간으로 나뉘는데 그중 무등산 옛길 2구간은 원효사서석대까지 4.2로 1시간 50분 정도 소요된다. 2구간의 무아지경길은 새소리, 바람소리, 물소리만 있어 무아지경에 이르게 하는 마음으로 걷는 길, 숨소리도 죽여가며 조용한 가운데 오감으로 느끼며 가는 길이다. 탐방로 중간지점까지는 돌길로, 중간지점 이후부터는 흙길로 되어있으며, 가는 길 중간에 물통거리나 주검동유적, 제철유적지 등 쉼터와 역사문화유적지가 있어 내려가는 길이 심심하지 않다. 제철유적지에서 원효사 입구까지는 약 15분 정도 소요된다. 1구간은 광주 도심과 무등산 산행을 시작하는 원효사를 잇는다. 3구간은 광주 도심에서 충장사를 거쳐 담양으로 이어진다.",,http://mudeung.knps.or.kr,광주광역시 북구 무등로 1514-35 원효사~서석대,상시 개방,연중무휴,가능,있음,,,,,,,,,,,,,,,전 연령,,,,,,,,,,,,,,,,,,,,,,,"[무등산 옛길 2구간] 원효사~서석대

＊구간 : 원효사~서석대

＊거리 : 4.2㎞ / 약 1시간 50분 소요)

＊코스 : 원효사주차장 - 무등산옛길입구 - 제철유적지 - 치마바위 - 서석대",
필문 이선제부조묘,"조선초의 이선제(, 1389~1454)를 모신 사당이다. 부조묘()는 나라에 특별한 공훈을 세운 사람을 기려 그 신주()를 영원히 모시도록 건립한 사당을 말한다. 원래 포충사 뒤쪽에 있던 것을 이곳으로 옮겨왔다. 이선제는 권근()에게 학문을 익혀 벼슬길에 올라 여러 관직을 역임하였고,태종실록()과고려사()의 편찬에도 참여하였다. 고향에 돌아와 후진 양성과 함께 향약()을 시행하여 향촌풍속을 순화하였다. 뒷산 언덕에 필문의 묘와 묘비가 있으며, 마을입구 도로변에 그의 신도비()가 있다. 마을 앞에는 필문이 심었다고 하는 600년쯤 된 왕버들이 있다. (출처 국가유산청)",,https://www.namgu.gwangju.kr,광주광역시 남구 구만산길 34 (원산동),상시 개방,연중무휴,불가능,,무료,,,,,,,,,,,,,광주광역시 민속문화유산 필문이선제부조묘 (1990.11.15. 지정),,,,,,,,,,,,,,,,,,,,,,,,,
광주 남구문화원,"우리는 문화가 모든 힘의 원천인 문화의 시대에 살고 있다. 또한, 국민소득증대와 주 5일 근무제가 확산됨에 따라 여가문화의 효율성 증대가 관심사로 부각되고 있다. 이러한 시대에 흐름에 발맞추어 지역의 전통문화와 역사를 전승하고 발전시키기 위해 만들어진 것이 광주 남구문화원이다. 1999년 3월 24일 설립된 남구문화원은 지식과 정보, 그리고 문화적 창조력이 지역 발전, 나아가서는 국가 발전의 원동력이 된다는 의식으로 주변의 다양한 문화와 교류하며 우리 문화를 창조적으로 발전시키기 위해 최선을 다하고 있다. 남구문화원은 지역문화 발전과 시민을 위한 문화 프로그램을 운영하고 있다. 우선 지역 주민을 위한 문화 프로그램으로는 단소반, 대금반, 장구반, 꽃꽂이반, 숯공예반, 한지공예반, 노래교실 등의 다양한 문화교실을 들 수 있다. 또한, 전통문화 중심의 금당문화대학을 12주간 운영하여, 광주 및 전남 지역의 문화유적답사를 진행한다.",,http://www.kjnamgu.co.kr,광주광역시 남구 봉선로 208 (봉선동),10:00~19:00,연중무휴,가능,장애인 전용 화장실 있음,,출입구까지 단차가 없어 휠체어 접근 가능함,"남구 문화원에는 도서관,문화센터 강의 등이 운영되고 있고 지역주민을 위한 영화 상영 월 1회 하네요 시설은 깔끔.단 주차가 조금 복잡하네요",무료,"연회비 50,000원
※ 자세한 사항 홈페이지 참고",,주출입구는 단차가 없어 휠체어 접근 가능함,장애인 전용 주차구역 있음_무장애 편의시설,엘리베이터 있음,,,,,,,,,,,,,,,,,,,촉지안내도 있음,,,,,,"점자블록 있음(화장실, 엘리베이터 입구)_시각장애인 편의시설",,,,,
광주 동구문화원,"지방 문화원 진흥 법에 의하여 1997년 8월 개원한 순수 민간 문화단체로 전통문화를 계승, 보존하고 지역 문화 사회 계발 및 향토문화 진흥을 목적으로 설립된 비영리 특별법인이다. 현재 향토문화 알고, 찾고, 가꾸기를 가치로 하여 전통문화의 파수꾼으로서의 역할을 수행하고 있다. 또 이를 기반으로 한민족의 우수한 문화와 현대 문화를 창달, 보존, 전승, 발전시키는 것을 주된 목적으로 하고 있다. 광주 동구문화원에서는 향토 사료의 수집, 보존, 발표 및 민족 문화 정체성 확립, 지역 주민 자긍심 및 애향심 고취시키기 위해 지역(향토) 문화 조사, 연구 사업을 진행하고 있다. 또한 우리 문화의 세계화, 관광 및 문화 산업 창출을 모색하는 지역 축제 개발, 육성 사업을 하고 있으며 그 밖에 지역 주민 문화 의식 함양 사업과 지역 환경 보존 등 지역사회 발전을 위한 문화 활동을 펼치고 있다.",,http://gjdonggu.kccf.or.kr,광주광역시 동구 예술길 18-1,"10:00~17:00
※ 프로그램 별 상이",매주 주말,가능,,,,,,프로그램 별 상이,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
광주공원 선정비군,"광주공원 선정비군은 광주 여러 곳에 있는 조선시대 선정비나 사적비를 광주공원에 모아 놓은 장소이다. 주로 전라도 광주의 수령이었던 광주목사, 군수의 비가 있으며, 관찰사, 도지사들의 비도 있다. 그 외 유학자 안규용, 어사 조헌과 여규익, 소수의 찰방 선정비가 있다. 광주공원 선정비군의 비석은 본래 전라남도 광주 지역 곳곳에 흩어져 훼손된 비석을 1957년 광주공원 입구에 조성하였다가, 1965년 지금의 위치인 광주공원으로 옮겨져 총 27기의 비석이 모여 있었으나 광주목사 신석유의 선정비는 2011년 복룡마을로 옮겨져 지금은 26기가 남아 있다. 26기의 비석 중 초대, 4대 전라남도 관찰사 및 전라남도 재판소 판사 윤웅렬(1840~1911), 5대 전라도 관찰사 겸 전라남도 재판소 판사 이근호(1861~1923), 전라남도 관찰부 광주군수 홍난유(1856~1913)는 일제 국권침탈 협력자로 친일 인명사전에 등재된 인물들이다. 2019년 8월 8일 광주광역시에서는 3·1 운동 100주년과 대한민국 임시정부 수립 100주년, 광주학생독립운동 90주년을 맞이하여 올바른 역사를 알리고 역사 정의를 바로 세우기 위해 일제 국권침탈 협력자 홍난유의 죄상을 밝힌 단죄문을 세우고 비석을 뽑아 눕혀 놓았다.",,http://www.grandculture.net,광주광역시 남구 중앙로107번길 15 (구동),상시 개방,연중무휴,가능,장애인용화장실 있음_무장애 편의시설,무료,,"광주광역시에서 송정신사가 된 곳 일제강점기 역사를 품은 곳은 안내판이 있고, 광주의 역사를 조금이라도 느낄 수 있어요.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
무양서원,"광주의 옛 이름 무진의 볕이라는 뜻을 지닌 무양서원은 고려 인종 때 탐진 최 씨 문중이 전국 유림의 호응을 얻어 세운 사원이다. 고려 인종 때 어의 최사 전과 그의 후손 최부, 최희춘, 나덕현 다섯 분의 신주를 모신 서원이다. 강당인 이택당을 중심으로 왼편과 오른편에 합의문과 합인문이 있다. 합의문을 지나면 오른편에 동재인 성지재가 있고 왼편에는 서재인 낙호재가 있다. 내삼문인 삼오 문을 지나 높은 땅 위에 담장이 있는 무양사가 자리 잡고 있는데, 이것은 사당 안에 함부로 들어가지 못하게 하기 위한 것이다. 무양서원에 이르는 마을은 토담길로 단장되어 있으며 입구의 광장과 주차장은 이곳을 찾는 사람들에게 편의를 제공하고 있다. 주위의 오래된 거목들은 마치 유생들의 기상을 펼쳐놓은 듯 아름드리 펼쳐있어 무양서원의 나이를 말해주는 듯하다.",,https://tour.gwangju.go.kr/,광주광역시 광산구 산월로21번길 26,상시 개방,연중무휴,,,무료,,좋아요,,,,,,,,,,,광주광역시 문화유산자료 무양서원 (1984.02.29. 지정),,,,,,,,,,,,,,,,,,,,,,,,,
오웬기념각,"기독간호대학교 내에 있는 오웬기념각은 배유지 목사와 함께 전남 최초의 선교사로 들어와 광주에서 순교한 오웬 선교사를 기념하기 위하여 미국 친지들이 보낸 기금 4,200 달러로 1914년에 세워진 연면적 434평방미터(부속건물 포함)인 양옥 건물이다. 이 건물은 평면 형태로 보아 예배당 및 집회 실로 사용되었으리라 짐작되나, 지금은 기독간호대학교의 강당으로 사용되고 있다. 오웬은 1900년대에 광주에 들어온 양림동의 서양촌 외국인 중 1명으로서 간호사인 부인과 함께 선교 및 의료봉사 활동에 헌신하다가 과로로 1909년에 죽었다. 오웬은 생전에 그의 할아버지 기념병원을 지으려다 선교 활동이 급하다고 판단하여 먼저 할아버지 기념각을 지을 계획을 수립하였으나, 그 계획이 추진되기 전에 사망하였다. 기념관 현판에 할아버지의 이름이 새겨진 것도 이 때문이다. 회색 벽돌의 2층 건물로서 평면 형태는 정방형이나 대각선 상의 모서리에 위치한 설교단을 중심으로 좌우대칭 형태이다. 주 출입구는 북쪽과 서쪽에 똑같은 모양으로 있으며 동쪽과 남쪽에는 모서리에 조그마한 문으로 된 부출입구가 있다. 1층 바닥은 모서리의 설교단을 향하여 약 0.910의 경사가 져 있으며, 2층의 노대(balcony) 역시 설교단을 향해 1.210 경사져 있다. 벽은 길이 225mm, 나비 110mm, 두께 55mm의 회색 벽돌을 사용하여 네덜란드식 쌓기를 하였다. 벽의 두께는 49cm로 공간 쌓기를 하였으며 지면과 면하는 고막이 부분은 장대석의 화강석으로 축조하였다. 1층과 2층 사이에는 벽돌의 허리 돌림띠를 두었으며 2B 두께의 붙임 기둥을 설치하였다. 개구부에는 창, 문 모두 동일한 형태의 결원 아치를 사용하였으며 하인방의 창대돌은 화강석으로 되어 있다. 또 정면의 작은 광창에는 창대 돌을 마구리 내쌓기 한 벽돌이 지지하고 있다. 양쪽의 현관 부분은 아치벽돌을 사용한 반원 아치로 key stone은 화강석으로 되어 있으며 porch의 천장은 나무널로 마무리되어 있다. 그리고 석조로 된 아치대를 받치고 있는 기둥에 커다란 원형 주철관을 사용하고 있는 점이 특이하다. 지붕의 구조는 맨사드 지붕틀로서 평보를 내부에 설치된 2개의 기둥으로 지지하고 있으며 굴뚝이 올라와 있는 부분을 제외하고는 함석 잇기를 하였다. 실내의 바닥은 마루널을 설교단을 향하여 경사지게 깔았으며, 벽은 회반죽으로 마감하였다. 한류의 매력을 만나는 여행 정보 영화 해어화 소율과 연희가 당대 유명 가수 이난영의 공연을 보러 간 장소이다. 실제로도 과거 기독교 관련 집회는 물론 강연, 음악회, 졸업식 등 지역의 크고 작은 문화 행사를 담당했으며, 현재는 종교 및 문화 행사를 개최하는 용도로 사용되고 있다.",,https://www.heritage.go.kr/,광주광역시 남구 백서로70번길 6 (양림동),상시 개방,연중무휴,가능,있음,무료,,부부동반으로 광주광역시 여행 중에 방문한 곳입니다. 선교사 묘지에서 내려오면 모두가 선교사 관련입니다. 잘 보았습니다. 꼭 한번 추천드려요. 선교 활동 및 의료봉사를 하다 사망한 선교자의 활동과 걷기좋른 장소입니더,,,,,,,,,,,광주광역시 유형문화유산 오웬기념각 (1998.05.07. 지정),,,,,,,,,,,,,,,,,,,,,,,,,
영산강문화관,"영산강문화관은 자연과 사람이 함께 어우러지는 우리의 강, 영산강과 함께 미래를 꿈꾸는 공간이다. 영산강과 영산강 살리기 사업에 대한 올바른 이해, 그리고 남도의 역사, 문화, 생태를 주제로 다양한 체험과 프로그램을 강가의 조약돌을 밟듯 조약돌 하나하나에 이야기를 담았다. 조약돌과 함께 옛 추억을 거닐며 수변문화로서의 미래비전을 경험해 보자.",,https://www.kwater.or.kr,광주광역시 남구 승촌보길 90 (승촌동),09:00~18:00 (휴게시간 12:00~13:00),매주 월요일,가능,장애인 화장실 있음,무료,출입구까지 턱이 없어 휠체어 접근 가능함,,,,,주출입구는 턱이 없어 휠체어 접근 가능함(수동문),장애인 주차장 있음(2대)_무장애 편의시설,엘리베이터 있음,,,"- 1층 : 상설전시실, 안내데스크(기념품점)
- 2층 : 기획전시실, 감동소통존, 북카페&체험실
- 3층 : 전망대, 회의실, 교육실",,,전 연령,대여가능(2대),대여가능(2대),층간 이동용 경사로 있음,,,,,,,,,,,,,,,,점자블록 있음_시각장애인 편의시설,,,,,
운암서원(광주),"운암서원은 1708년 지역 유림들의 청원으로 광주광역시 북구에 건립된 서원이다. 조선 중기의 학자 해광() 송제민()이 배향되어 있다. 그 후 1709년(숙종 35)에 임진왜란 때 의병장으로 활약하였던 제봉() 고경명()의 사촌동생이자 조선 선조 때의 유생인 창랑() 고경리()를 추배 하였다. 서원에는 그 외에도 송타(), 권필(), 신필(), 신한주() 등을 추배 하였다. 운암서원에는 송제민의 문집을 간행하기 위하여 제작된 해광집() 목판이 보관되어 있다.",,https://www.grandculture.net/gwangju/,광주광역시 북구 무등로 1040,상시 개방,연중무휴,가능,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
유애서원,"유애서원은 조선 중기의 문신 이신의(1551~1627)의 학덕과 충절을 기리기 위하여 지어졌으며, 삼문 양편에 배롱나무꽃이 흐드러지게 핀 아담한 공간이다. 1754년 이신의의 충절을 기려 호남 유림이 건립했다가 1868년 훼철됐다. 이어 1919년 경장각을 짓고 2000년 사우를 마련해 서원으로 성균관에 등록했다. 유애서원의 경장각에는 서적과 석탄금(거문고), 선조가 쓴 당 오언시를 목판에 새겨 찍은 여덟 폭 병풍(인조의 하사품) 등 유품을 보관했으며, 선무원종공신녹권을 비롯한 130여점의 고문서는 광주유형문화재로 지정되었다. 석탄 이신의 이신의는 한성에서 태어나 고양에서 자랐다. 아버지는 형조판서 이원손이며, 어머니는 정종의 현손이다. 일찍 어버이를 여의고 형으로부터 글을 배웠다. 도라산 숲속에 서실을 지어 공부하는데 물이 바위를 굽이쳐 흐르는 것을 보고 여울의 탄을 넣어 호를 석탄()이라 했다. 서경덕의 문하인 초당 허엽과 행촌 민순을 사사했다. 1592년 임진왜란이 일어나자 석탄은 의병 300여명을 결집해 고양에서 창의했다. 고향을 지키려는 이 작은 부대는 왜적이 쳐들어오자 혁혁한 공을 세운다. 1596년 서얼 이몽학의 난이 일어나 고을 수령들이 줄줄이 도망해 여러 현이 함락됐다. 이 와중에 석탄은 천안군수 정호인과 8천의 군사를 거느리고 난을 평정하는데 큰 공을 세운다. 이어 괴산·임천 군수, 홍주·해주목사를 거쳐 광주목사를 역임하면서 목민관으로 이름을 날렸다. 1617년, 영창대군이 참살당한 이후 광해군은 인목대비를 폐하기 위해 문무백관의 의견을 듣는 수의를 진행했다. 이 자리에서 그 부당함을 지적하는 항론을 올린다. 이 일로 이듬해 2월 함경도 회령으로 유배를 간다. 1623년 광해군의 폭정에 서인 일파가 정변을 일으키니 인조반정이다. 석탄은 5년의 귀양을 마치고 형조참의로 조정에 복귀한다. 광주목사에 이어 형조참판에 오른다. 1627년 정묘호란때 석탄은 노구를 이끌고 인조 호종을 위해 강화도로 향했다가 병을 얻어 77세에 수원의 어느 여사에서 숨을 거두었다. 우국일념이라는 한 마디를 남겼다고 한다. 이조판서에 추증되고, 시호는 문정이다. 고양의 문봉서원, 괴산의 화암서원, 그리고 광주의 유애서원에 제향됐다.",,http://www.seowonstay.com,광주광역시 광산구 용아로 460 (흑석동),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
빛고을시민문화관,"빛고을시민문화관은 아시아문화중심도시 광주의 새로운 복합문화시설로서 시민 정서 함양과 지역 문화예술의 창달을 위해 시민본위의 공연·전시, 쾌적하고 친숙한 문화예술공간 제공에 중점을 두고 운영하고 있다. 옛 구동체육관 부지에 2008년 11월 착공해 2010년 2월에 개관했다. 지하 2층, 지상 4층, 연면적 14,049㎡ 규모이며, 공연장(715석), 전시실, 다목적실 등의 시설을 갖추고 있다. 지역 주민들을 위한 공연·전시 등 각종 문화행사와 각종 문화강좌를 위한 공간으로 사용된다.",,http://bitculture.gjcf.or.kr,광주광역시 남구 천변좌로338번길 7,공연에 따라 상이하므로 홈페이지 참조,연중무휴,가능,장애인화장실 있음,,출입구까지 경사로가 설치되어 있음,청결하고 바로위에 도심 공원 좋아요.,,공연에 따라 상이하므로 홈페이지 참조,,주출입구는 경사로가 있어 휠체어 접근 가능함,장애인전용주차장 있음_무장애 편의시설,엘리베이터 있음,,,,,,,,,,,"지하 2층 / 지상 4층 / 부지 9,316.4㎡ / 연면적 14,083.32㎡",,,,공연장 715석,,,장애인 전용 관람석 있음,,,,,,,점자블록 있음(출입구)_시각장애인 편의시설,,,,,
남평문씨 쌍효문,"쌍효문은 문장갑과 문장섭 형제의 지극한 효성을 기리는 조선 후기 정려문이다. 정려문은 효자, 효부, 열녀, 충신을 기리기 위하여 지은 건물이나 문을 말한다. 정려문인 쌍효문 외에 내부에는 12개 현판이 있다고 전해지나 불에 그을려 확인할 수가 없다. 현재는 대문인 정려문만 남아 있다. 문장갑과 문장섭 형제는 지극한 효자였다. 아버지가 병환에 들자 2년 동안 정성으로 간호하였는데, 많이 아플 때는 본인들의 손가락을 잘라 피를 주었다. 아버지가 돌아가시자 상례의 제도에 따라서 장사를 지냈다. 주변 마을 사람들로부터 효자라고 칭송되고, 나라에서 문장갑, 문장섭 형제의 이와 같은 효행을 기리기 위하여 1866년에 남평문씨쌍효문을 건립하였다. 지금은 아무도 살고 있지 않으며 정려문 보호를 위하여 가림막을 설치하였다.",,,광주광역시 남구 사직안길 9 (사동),상시 개방,연중무휴,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
고싸움놀이전수교육관,"고싸움놀이전수교육관은 고싸움놀이 무형문화재 전수교육과 체험을 하며 궁극적으로는 고싸움놀이를 보존하기 위한 곳이다. 매년 국가 무형 유산 공개행사 고싸움놀이축제를 통하여 고싸움놀이가 지닌 고유한 멋과 즐거움을 일반 시민에게 전수, 보존하는데 힘쓰고 있다. 또한 체험과 교육 등의 다양한 프로그램을 연중 실시하여 우리 전통문화예술에 대한 사회적 향유 기회를 제공하고 있다. (출처 고싸움놀이전수교육관 홈페이지)",,http://www.gossaum.com/,광주광역시 남구 고싸움로 2,09:00~18:00,매주 월요일,가능,"장애인 화장실 있음 (전수관,공중화장실)",,출입구까지 경사로가 있어 휠체어 접근 가능함,,,무료 (체험 활동 비용 별도),"고싸움놀이 체험 / 옻돌마을 체험 / 나도 줄패장 체험 / 우리놀이 모꼬지 판 체험 / 보물찾기, 퀴즈 왕",주출입구는 경사로가 있어 휠체어 접근 가능함,"장애인 전용 주차구역 있음(전수관 뒷편,영상체험관 앞)_무장애 편의시설",,,,,,,,,,,,"건평 317㎡ / 부지 1,523평",,,,,,,,,,,,,,,,,,,
관덕정의 각궁,"정신과 신체를 동시에 건강하게 해주는, 관덕정의 각궁 궁술은 무사뿐만이 아니라 선비들도 반드시 익혀야 할 필수 요건이었다. 이러한 활이 요즘에는 생존이나 방비 기능은 완전히 상실하여 스포츠와 취미로 그 명맥을 이어가고 있다. 광주에도 스포츠와 취미로서 활의 명맥을 이어주는 곳이 있는데, 사직공원에 있는 활터 관덕정이 그것이다. 관덕정의 사범이자 전남에서는 유일하게 활을 만들고 있는 권태은 씨는 호라의 고장으로 널리 알려진 경북 예천이 고향으로 3대째 활을 만들고 있는데, 광주에 자리를 잡은 것은 23년 전이다. 경상도에서 활을 만들면 팔러 나가는 곳이 대부분 전라도이므로 아예 광주로 옮겨와 활을 만들기 시작했다는 권 씨의 이야기다. 옛날에는 활의 재료와 쓰임새에 따라 무척 다양했지만 요즘에는 각궁만이 남아 그 명맥을 유지해 주고 있다. 전통이 실려있는 각궁이란 후궁·장궁()이라고도 하는데 각궁의 모양은 시대에 따라 조금씩의 차이가 있다. 크게 2종류로 나눌 수 있는데, 전쟁이나 사냥에 쓰인 것은 궁간상()·뿔·힘줄·아교·실·칠 등 6가지로 만들고, 운동이나 오락으로 쓰인 것은 궁간상·참나무·대·벚나무·뿔·힘줄·아교 등 7가지로 만들었다. 강()·중()·연()의 구별이 있어서, 남녀 누구나 자신의 힘에 맞는 것을 쓸 수 있었다.",,https://www.heritage.go.kr/,광주광역시 남구 사직길 49,06:00~22:00,매주 일요일,,,"- 개인 1,200원
- 월회원 12,000원",,,,,,,,,,,,,국가등록문화유산 광주 관덕정 (2017.10.23. 지정),,,,,,,,,,,,,,,,,,,,,,,,,
광주예술의전당,"광주예술의전당은 1991년에 개관하였다. 전당에는 총 8개 예술 단체 300여 명의 단원이 소속되어 활발한 활동을 하고 있다. 전통 음악과 교향악, 창극부터 발레에 이르기까지 다양한 장르의 수준 높은 공연을 시민들에게 선보여 문화예술의 저변확대와 지역 인재양성에 기여하고 있다. 대극장은 음악회, 연극, 영화, 오페라, 발레, 뮤지컬 등 다양한 장르의 공연을 목적으로 설계된 2층 발코니형 프로시니엄(PROSCENIUM) 스테이지 공간이다. 대극장 600평의 로비(LOBBY)는 1층에서 상부층까지 개방시킨 톱라이트에 의한 채광으로 주 공간의 극적인 분위기를 연출하고 있다.",,http://gjart.gwangju.go.kr,광주광역시 북구 북문대로 60,09:00~22:30,연중무휴,가능 (옥내 327대 / 옥외107대),"장애인 화장실 있음(대 극장,소 극장)",,출입구까지 경사로가 설치되어 있음(수동문),부부동반으로 광주광역시 여행 중에 방문한 곳입니다. 규모가 엄청 크군요. 낮에 방문을 하니 주요 공연은 저녁에 있어서 그냥 한 바퀴 둘러보고 왔습니다.,,공연별 상이,문화예술교실 (자세한 사항은 홈페이지 참조 요망),주출입구는 경사로가 있어 휠체어 접근 가능함,"장애인 주차장 있음(후문경사로 앞 3대,소극장주차장 2대,본관 4대,지하주차장,장애인 표지판)_무장애 편의시설",장애인 엘리베이터 있음,수유실 있음,,,,,,,"대여가능(2대,안내데스크)",,,"부지면적 88,422㎡ / 건축연면적 46,979㎡ / 야외 원형무대 108㎡ / 전시면적 1,274㎡",,,,"대극장 1,517석 / 소극장 464석",,,"장애인 관람석 있음(대극장 18석,소극장 7석)",,,,,,,"점자유도로 있음(엘리베이터 앞)
점자블록 있음(대극장 진입 출입구 앞)_시각장애인 편의시설",,,,,어린이 놀이방 있음
광주광역시립 사직도서관,"광주광역시립사직도서관은 지하 2층 지상 5층 건물로 광주사직공원에 맞닿아 있으며 양림미술관과 인접해 있다. 2019년 7월 22일 도서관 3층에 북카페 이음을 개관하였고 열람실 일부를 리모델링하여 지역 주민의 복합문화공간이자 소통의 공간으로 활용하고 있다. 2024년 기준 약 250,000개의 책을 보유하고 있다.",,https://lib.gwangju.go.kr/rpst/citylibGuide/SJ,광주광역시 남구 제중로 56,"[종합자료실]
- 평일 09:00~22:00
- 주말 09:00~17:00
[어린이실, 디지털자료실]
- 평일 09:00~18:00
- 주말 09:00~17:00
[열람실]
- 07:00~22:00
[청소년 상담실]
- 평일 10:00~16:00
- 주말 휴실","매월 첫째, 셋째 월요일 / 관공서 공휴일 (단, 설과 추석 공휴일이 아닌 일요일은 제외) / 도서관 사정으로 관장이 지정한 날",가능,장애인 전용 화장실 있음,,출입구까지 경사로가 설치되어 있음,자주가는 도서관입니다. 주차장이 있긴 한데 작아서 오전에 일찍와서 주차해야합니다. 초등학생 관련 프로그램도 있어서 좋습니다.,무료,무료,,주출입구는 경사로가 있어 휠체어 접근 가능함,장애인 전용 주차구역 있음(1대)_무장애 편의시설,엘리베이터는 없으나 4층까지 장애인리프트 설치되어 있음(5층건물),,,,,,,,,,,"부지 2,982㎡ / 건평 5,124㎡ / 좌석 1,440석",,,,,,책나래서비스(장애인 도서우편 서비스) 이용가능,,,,,,,,점자블록 있음(주출입구부터 관내 주요시설까지 이어짐)_시각장애인 편의시설,,,,,
