place,info,문의 및 안내,홈페이지,주소,이용시간,휴일,주차,지정현황,review,입장료,화장실,체험가능 연령,이용가능시설,이용요금,출입통로,장애인 주차 안내,휠체어,접근로,시설이용료,엘리베이터,유모차,관람석,주차요금,수유실,대중 교통,판매 품목,주요시설,시각장애 기타상세,규모,지체장애 기타 상세,입실시간,퇴실시간,객실수,예약안내 홈페이지,객실유형,부대시설,객실,점자 홍보물,주차 요금,수용인원,영업시간,이용 시기,청각 장애 기타상세,개장기간,보유장비,오디오 가이드,할인 정보,큰활자 홍보물,대여안내,매표소,보조견 동반,점자 블록,안내 요원,유도안내 설비,코스안내,예약안내,객실내 취사 여부,식음료장,사우나실 여부,홍보물,자막 비디오 가이드,강습안내,영유아가족 기타상세,체험
본신계곡,"수하계곡, 울련산을 옆에 두고 있는 본신계곡은 울진군 온정면 백암온천으로 가는 길목에 펼쳐져 있으며 계곡 길이가 6km에 달한다. 울창한 숲과 즐비한 기암괴석, 그 위로 흐르는 옥계수가 한 폭의 산수화를 연상케하고, 사시사철 언제 찾아가도 절경을 맛볼 수 있다. 무더운 여름철이나 눈 쌓인 겨울철에는 그 즐거움을 더해주는 곳으로 경북 내륙지방을 동해로 이어주는 길목 역할도 하고 있어 그대로 차를 몰아 울진으로 가면 푸른 바다가 눈앞에 펼쳐진다.
새싹 돋는 봄엔 막 피어나는 꽃봉오리로, 무더운 여름철엔 땀을 씻어주는 피서지로, 결실의 가을엔 만산호엽 화려한 단풍으로, 눈 내린 겨울철엔 셔터를 누르고 싶은 절경으로, 본신계곡은 일 년 내내 옷을 갈아입으며 동해바다로 가는 사람들의 발걸음을 잡는다.
인근 금강소나무생태경영림과 반딧불이 생태공원, 검마산자연휴양림이 있어 피톤치드가 뿜어져 나오는 울창한 숲 속의 삼림욕과 자연과 하나 되는 생태체험도 즐길 수 있다.",,영양 문화관광 https://www.yyg.go.kr/tour,경상북도 영양군 수비면 본신리,상시 개방,연중무휴,없음,,,무료,,전 연령가능,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
고령 신촌숲,"고령 신촌숲은 신촌리에 위치한 자연적으로 형성된 휴양지이다. 마을 뒤쪽으로는 산이 있으며, 야산에서 흐르는 내와 경남 합천군 묘산에서 흘러오는 내가 서로 합류하여 안림천을 이룬다. 아름드리나무가 무성하며 깊지 않은 안림천은 시원한 숲속에서 물놀이를 할 수 있는 최상의 조건으로 여름 피서지로 각광을 받는다. 무엇보다 주차공간과 야영지가 넓고 개수대와 샤워실이 있어 무료 캠핑을 하기에 안성맞춤이다.
또한 신촌숲 주변 2㎞에 걸쳐 전망 및 관찰데크, 진입 계단, 램프, 학습장, 산책로, 지압로, 기타 체육 시설이 설치되어 있고, 안림교의 상류와 하류 1㎞ 구간에 자연적으로 자생하고 있는 수목을 따라 산책로를 비롯해 지압로 등 체육시설을 갖추고 있다.",,http://tour.goryeong.go.kr,경상북도 고령군 쌍림면 신촌길 39-5,,연중무휴,가능,,공기도 좋고 물놀이도 할 수 있고 무료캠핑이라 더 좋은곳이예요.. 올 여름에도 가고 싶네요..,,,,"<주요시설>
야영지 / 안림천

<기타 부대 시설>
매점 / 화장실 / 음수대 / 개수대",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
울릉예림원,"울릉해안 일주도로 70m 언덕 1만 4000㎡ 규모의 울릉예림원은 2007년에 개장한 울릉군 지역 내 유일한 식물원이다. 해상의 신비로운 주상절리와 천혜의 자연경관이 조화를 이루고 있는 평리의 노인봉 옆에 건물 2동과 파고라식 정자, 해상 전망대 및 조형물을 설치되어있고, 해상 주상절리의 결정체인 공암 [코끼리 바위]이 한 폭의 풍경화처럼 꾸며져 있다.
울릉예림원 내에는 울릉군 지역 자생 분재 300여 점과 희귀 야생화 분재 350여 점 등 650여 점의 분재가 있으며, 울릉군 지역 자연석을 이용한 대형 바위 조형물 70여 점도 전시되어 있다. 특히 울릉군 지역 자생수목 400여 그루 중에는 전 세계에서 유일하게 울릉군 지역에 자생하여 천연기념물 51호로 지정된 멸종 위기 식물인 섬개야광나무가 있으며, 1,200년 된 노거수인 주목도 같이 있다. 이 밖에도 울릉예림원의 일몰 해상 전망대에는 바다 절벽 위의 유리판에 올라서는 담력 체험장 등 다양한 체험장이 설치되어 있다.",,http://www.울릉예림원.kr,경상북도 울릉군 북면 울릉순환로 2746-24,"08:00~18:00 일몰시까지
※ 입장은 폐장 1시간전까지 가능",연중무휴,가능(소형 10대/대형 15대),,조용조용 산책하기 좋아요. 중간중간 전시관도 있고 풍경이 아기자기해요. 경북 이패스 사용해서 다니니 편했구요. 다른데 바람 많이 불었눈데 예람원은 좀 덜 불었어요 동뱍이 많았는데 벌써 벚꽃도 피었더라구요 아기자기하게 꾸며진 곳이에요. 울릉도 느낌이 물씬 나는 느낌이에요. 정말 후회없는 이곳 전망대를 오르면 확트인 바다를 접할수 있습니다 자연의 아름다움이 그대로 숨쉬는 식물원! 글자 박물관은 덤~~  작은식물원인데 입장료가 비싼감이 있네요 입장료는 있지만 와볼만 한 전망대가 있고 푸릇푸릇해서 좋은시간보냈어요,"- 성인 개인 5,000원 / 단체 4,000원
- 학생 개인 4,000원 / 단체 3,000원
- 경로/유공자,장애인 4,000원
※ 무료 만3세미만 어린이(가족동반 입장시)
※ 단체 40명 이상",있음,전 연령,"편의시설 - 정자, 전망대, 산책로, 전시관
위생시설 - 매점, 특산품판매점, 커피숍, 화장실, 휴게실 등",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
금오랜드 사계절썰매장,"금오산도립공원 내에 위치한 놀이공원인 금오랜드는 가족, 연인, 친구 모두가 방문하기 좋은 곳으로 놀이공원, 사계절 썰매장, 동물원, 아이스링크장, 베이커리 카페 등이 있다.
사계절 썰매장은 겨울에는 눈썰매장으로 봄, 여름, 가을에는 잔디썰매로 1년 내내 썰매를 즐길 수 있는 놀이시설이다. 7세 이상이 사용할 수 있는 긴 코스와 24개월 이상부터 6세까지 즐길 수 있는 짧은 코스가 있다. 24개월 이상 6세까지의 유아는 보호자가 같이 탑승해야 이용이 가능하다.
무빙벨트가 설치되어 있어 이동이 편리하고 12시부터 오후 1시까지는 브레이크 타임이다.",,금오랜드 http://gumoland.com,경상북도 구미시 금오산로 341,10:00~17:00 (휴게시간 12:00~13:00),주중,"가능 (약 50대)
요금 (무료)",,,,있음,24개월 이상,,,주출입구는 턱이 없어 휠체어 접근 가능함(수동문),장애인 주차장 있음(3대)_무장애 편의시설,,출입구까지 턱이 없어 휠체어 접근 가능함,,,,,,수유실 있음(빙상스케이트장 1층),,,,,,,,,,,,휴게실 / 놀이방 있음(동물원) / 매점,,,,,,,,,튜브썰매,,,,,,,,,,"성인용 코스(7세 이상)
미취학 코스(24개월~7세 미만)",,,,,,,,놀이방 있음(동물원),
운람사(의성),"※ 25년 3월 산불로 인해 보광전 등 건물 일부가 전소되어 방문 전 참고 부탁드립니다.

운람사는 대한불교조계종 제16교구 본사 고운사 소속 사찰이다. 신라 제31대 신문왕 때에 의상 대사가 창건하였다. 운람이라는 사찰의 이름에는 두 가지 설이 있다. 천등산 첩첩산중 깊은 계곡에 위치하여 아지랑이가 마치 구름같이 피어오른다는 것에서 유래했다는 설과 구름과 바람으로 지었다는 것이다.
운람사 창건 이후의 자세한 변천 과정은 기록이 없어 알 수 없지만, 보광전의 목조아미타 여래좌상과 복장 유물에 따르면 1602년(선조 35)과 1704년(숙종 30)에 중수하였다고 한다. 그리고 1741년(영조 17)에 지장 탱화, 1774년에 반자, 1827년(순조 27)에 산신 탱화를 조성하였으며, 1999년에는 보광전을 중창하였다.
운람사의 경내에는 3층 석탑과 보광전을 중심으로 산왕각, 식암당, 조당, 객당 등이 있다. 보광전 내부에는 주불인 아미타불과 왼편의 관세음보살, 오른편의 대세지보살 등 금동 삼존 여래 좌상이 조성되어 있는데, 좌우의 협시보살은 화관을 쓴 모습을 하고 있다. 3층 석탑은 신라 말에서 고려 초의 작품으로 추정되며, 높이 3.39m이다. 보광전 옆에 있는 산왕각의 내부에는 1827년에 조성한 산신 탱화가 있었으나 오래되어 1977년에 다시 조성하여 봉안하였다. 삼성각에는 최근 조성한 칠성 탱화, 산신 탱화, 독성 탱화가 봉안되어 있다. 그리고 1774년(영조 50)에 제작된 반자가 요사채 처마 아래에 걸려 있다.",,,경상북도 의성군 안평면 신안2길 223,상시 개방,연중무휴,가능,,"작년 10월에 방문했습니다. 경내에서 내려다보이는 절경은 황홀할 정도였어요. 좁은 도로지만 차로 가 볼 수 있어 편리한 곳입니다. 소박, 친근하면서도 식견이 깊은 주지스님과 차담을 나눌 수 있었던 것도 큰 행운이었습니다.",무료,있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
로보라이프 뮤지엄,"로보라이프 뮤지엄은 2008년 개관한 로봇체험전시관으로 한국로봇융합연구원 1층에 자리하고 있다. 지능로봇과의 만남이라는 주제로 편리한 주거생활과 미래의 로봇 환경을 제시하는 공간이다. 현재와 미래의 로봇을 만나고 로봇을 구성하는 다양한 기능의 체험을 할 수 있으며, 전시를 통해 우리 생활 속에 직간접적으로 영향을 미치고 있는 로봇을 만나볼 수 있다.
로보라이프 뮤지엄은 지능로봇흥미관, 지능로봇체험관, KIRO홍보관 등 다양한 전시관을 비롯하여 화상강의실, 로봇교육실, 3D프린팅존 등을 갖추고 있다. 주요 전시물로는 24개의 모터를 이용해 움직이는 휴머노이드 댄스 로봇, 양로원과 병원에서 사용되는 심리치료용 로봇인 파로, 물속에서 장애물을 피해 자유롭게 헤엄쳐 움직이는 물고기 로봇 등이 있다. 학생들이 스스로 사고하며 오감을 사용해 느끼고 생각으로 연결할 수 있는 체험 교육의 장일뿐 아니라 온 가족이 여가시간을 함께 보내실 수 있는 유익한 문화공간이다.",,http://m.kiro.re.kr/,경상북도 포항시 남구 지곡로 39 (지곡동),"10:00~18:00 (매표 마감 16:30)
※ 관람안내시간 : 10:00 / 13:30 / 15:00 / 16:30",매주 월요일 / 신정 / 설·추석 연휴,"가능
요금 (무료)",,,,장애인 화장실 있음,,"[1전시실 - 지능로봇흥미관] 로봇의 역사와 발전 / 로봇과 함께 살아가는 우리 / 좀 더 나은 세상으로 나아가는 로봇 기술들의 향연
[2전시실 - 지능로봇체험관] 로봇의 원리 및 동작 체험 / 지능로봇 에듀테인먼트 체험
[3전시실 - KIRO 홍보관] 한국로봇융합연구원 개발 로봇 전시
[중강당] 강연회 등 이벤트장
[로봇카페] 바리스타로봇과 라떼아트프린터가 있는 로봇 친화적 커뮤니티 카페
[화상 강의실] 로보라이프뮤지엄 / 홍보영상관람
[로봇 교육실] 로봇 만들기 체험 / 각종 로봇관련교육",,주출입구는 경사로가 있어 휠체어 접근 가능함,장애인 주차장 있음_무장애 편의시설,,출입구까지 경사로가 설치되어 있음,"- 개인 5,000원
- 단체 4,000원
※ 무료 : 24개월 미만 유아, 65세이상, 장애인, 국가유공자",장애인용 엘리베이터있음,유모차 무료대여가능 (1대구비),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,점자블록 있음_시각장애인 편의시설,,,,,,,,,,,,"[창의체험교육]
- IoT 프로젝트 포트폴리오 만들기(미래 CES 출품작) : 150,000원
- 예술과 과학을 IT는 스페이스워크 : 150,000원
- 미래와 과거를 IT 월영교 : 150,000원
[전시연계교육]
- 휴머노이드 로봇과 함께하는 로봇 코딩 (기관·단체 대상) : 44,000원
- 코딩 블록으로 재미있게 배우는 STEAM 코딩(기관·단체 대상) : 34,000원
- KIRO 로봇꿈나무 - 로봇메이커과정(기관·단체 대상) : 무료
※ 자세한 사항은 홈페이지 참조 요망"
동국대학교 WISE캠퍼스박물관,"동국대학교 WISE캠퍼스 박물관은 불교정신을 바탕으로 학술과 인격을 연마하는 동국대학교에서 운영하는 박물관이다. 경상북도 경주시 석장동에 자리하고 있는 박물관으로 불교 유물의 수집, 정리, 전시와 더불어 유적의 발굴조사와 연구를 목적으로 1983년 개관하였다.
개관 당시에는 도서관 건물의 3층과 4층을 사용하였고 동국대학교 박물관 경주 분관으로 출발하였다. 이후 1985년 4월에 전시실을 도서관 2층으로 확장, 이전하고, 1994년 사무실 및 부속시설을 전시실 옆으로 확장하여 현재에 이르고 있다. 박물관은 전시실, 수장고, 연구실, 사무실로 구성되어 있다.
소장품으로는 불교 관련 조각, 회화, 공예품들이 주를 이루며 경주지역에서 발굴된 유물들도 함께 소장되어 있으며, 금속류 483점, 옥석류 311점, 토기류 1,622점, 서화류 99점 등을 포함하여 약 3,000여 점에 이른다. 이 밖에도 석장사지, 경주 남산 천룡사지를 발굴하였으며, 1994년에는 고고 미술사학과 유적 조사팀과 합동으로 경주 석장동의 금장대 암각화를 발견하였다. 2011년에는 경주시 성건동 통일신라시대 건물 터에서 유아묘 1기를 발굴하였다.",,https://museum.dongguk.ac.kr/,경상북도 경주시 동대로 123 동국대학교 WISE캠퍼스박물관,10:00~16:00,"주말, 법정공휴일",가능,,,,장애인 화장실 있음,,,무료,주출입구에는 계단이 있으나 외부와 연결 된 엘리베이터를 통해 휠체어로 박물관 접근 가능함,"장애인 주차장 있음(3대,장애인표지판)_무장애 편의시설",,출입구까지 단차 없이 연결 됨,,엘리베이터 있음(박물관은 1층에 위치),,,,,,,,,"연건축면적 727㎡ (도서관 내)
전시실 277㎡, 수장고 264㎡, 연구실 132㎡, 사무실 26㎡, 기타",,,,,,,,,,무료,200명,,,,,,,,,,,,점자블록 있음(계단 앞)_시각장애인 편의시설,,,,,,,,,,,,
학남서원,"청도 학남서원은 1977년에 고운 최치원을 향사하기 위해 건립한 서원이다. 전면에 세운 3칸 규모의 산형대문을 들어서면 마당을 사이에 두고 정면으로 5칸 규모의 팔작기와집인 강당이 있으며, 강당의 전면 좌우측에는 동재와 서재를 배치하였다. 서재의 뒤쪽 언덕 위에는 경상북도 유형문화유산인 고운영정을 봉안한 계동사가 별도의 공간 안에 있으며, 계동사의 우측에는 경주 최씨 청도 입향조인 경산 최여준의 충효를 기리기 위해 건립한 충효각을 배치하였다.",,,경상북도 청도군 각남면 구곡길 125-1,상시 개방,연중무휴,가능,,안동 병산서원에 다녀왔는데..요사히 산불로 혹시나 했는데 괜찮타니 고맙내요,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
안동 가송마을,"안동 가송마을은 예부터 아름다운 소나무가 많아 지어진 이름으로, 강을 중심으로 하여 동쪽에 가사리, 서쪽에 쏘두들 그리고 쏘두들 남쪽으로 고개를 넘어가면 올미재가 있다. 특히 가사리는 퇴계 선생이 청량산을 왕래하던 중 강가에 늘어선 소나무를 보고 참으로 아름답다고 하여 가송이라 한 말에서 유래되었다 한다.
전형적인 농촌 마을로 어부가를 지은 농암 이현보선생(1467∼1555)의 농암고택과 고산정 등 유적지가 있으며, 조선시대 성리학자 퇴계 이황 선생이 낙동강을 따라 걸었다는 예던길(22km)과 인근 도산서원이 있어 옛 선비들의 발자취를 느껴볼 수 있는 고택 마을이다.
또한 가송마을은 경북 팔경에 속해 있으며 아름다운 청량산을 배경으로 낙동강 맑은 물은 여름철 래프팅을 즐기기 안성맞춤이다. 동강의 스릴 넘치는 속도감과 달리 이곳 낙동강은 유속이 빠르지 않아 유유자적 옛 선비들이 자연을 사색하고 즐기듯이 유유히 흐르는 강물 위에서 켜켜이 쌓인 청량산(870m) 퇴적암 절벽을 감상할 수 있다.",,https://www.tourandong.com/public,경상북도 안동시 도산면 퇴계로 3443,,연중무휴,가능,,,,있음,,숙박시설,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"래프팅, 퇴계 예던길 걷기 등
※ 체험은 계절 및 현지사정에 따라 변동가능함으로 전화문의"
춘천서원,"춘천서원은 김천시 부항면 파천리에 있는 조선 후기 교육 기관으로 춘천서당이라는 현판과 서원 입구에 세워진 하마비로 이곳이 춘천서원이었음을 알 수 있다. 조선 후기 노론파의 영수인 우암 송시열과 그의 후손 운평 송능상을 제사하기 위해 1756년(영조 32)에 건립한 서원이다. 지역 내 노론파 유림들이 여기에 모여 학문을 연구하였다. 1868년 철폐되어 현재는 일반 한옥 주택과 비슷한 규모의 작은 강당만이 남아 있다. 현재 향사는 지내지 않으며, 매년 곡우가 되면 함께 공부했던 연안이 씨, 하빈이 씨, 벽진이 씨, 순천박 씨, 거창신 씨, 성산이 씨 여섯 가문의 후손들이 이곳에 모여 조상을 기리며 공동으로 관리하고 있다.",,https://www.gc.go.kr/culture/main.do,경상북도 김천시 부항면 부항로 1453-12,상시,연중무휴,불가,,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
효곡서원,"효곡서원은 김충(1513~1572), 송량(1534~1618), 고인계(1594~1647), 김광두(1562~1608)를 제향 한 서원이다. 김충은 1515년(명종 6) 문과에 급제하여 춘추관, 기주관, 호조정랑 등을 역임하였다. 송량은 성운1497~1579)의 문인으로 헌릉참봉, 한성참군 등을 역임하였으며, 동지들과 함께 오현원을 창건하고 학규를 만들어 후진 양성에 전력하였다. 고인계는 북인에 가담하기를 거절하였다가 영서도찰방으로 좌천된 이후 사직하였다. 인조반정 후 성균관전적, 형조좌랑, 예안현감 등을 역임하였다. 김광두는 임진왜란 때 정경세, 이전, 이준 등과 함께 창의 하여 왜군을 격퇴하였다. 전란이 끝난 후 사설 의료원인 존애원을 설립하는 데 동참하였다.
효곡서원은 1685년(숙종 11) 송량을 배향한 세덕사로 출발하였다. 1724년(경종 4) 세덕사의 지세가 좁고 불편하여 공성면 각회산 아래로 이건 하였다. 1735년(영조 11) 김충과 고인계를 추배 하여 서원으로 승원 하였다. 1780년(정조 4) 각회산 아래에 있던 서원을 절동으로 이건 하였고, 1786년(정조 10) 김광두를 추배 하였다. 1870년(고종 7) 효곡서원은 서원철폐령에 의하여 훼철되었고, 1902년 유림의 공의로 단소를 설치하여 단향을 봉행하였다. 이후 1931년 효곡서원을 복원하자는 상주 유림의 공론이 취합되어 본래 자리에서 서북쪽로 약간 옮겨서 강당을 건립하였다. 1968년 비로소 묘우를 중건하여 단향을 폐지하고 복원 고유제를 봉행하였다.",,,경상북도 상주시 공성면 용신2길 51-23,상시 개방,연중무휴,가능,,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
동락서원,"조선 인조 때의 학자 여헌 장현광의 학문과 덕행을 추모하기 위해 위패를 모신 서원으로 낙동강변 언덕 위에 위치해 있다. 장현광은 인조 때 의정부 우참찬을 역임한 문관으로 학문과 후학 양성에 힘썼으며, 1636년 병자호란 때는 의병을 일으키고 군량미를 모아 전장에 보냈다는 기록이 있다.
동락서원이란 동방의 이락이라는 뜻으로 이락이 주자학의 상징인 것처럼, 동락서원이 조선 성리학의 근원이자 상징이 되기를 바라는 뜻이 담겨 있다. 선생이 서거하자 효종 6년(1655) 장현광 선생의 제자들이 선생이 학문을 가르쳤던 부지암정사에 묘우를 지어 서원 체제를 갖추고 위판을 봉안해 부지암서원이라 개칭했다. 이후 숙종 2년(1676)에 나라에서 동락서원의 현판을 받고 사액서원이 되었다. 고종 8년(1871)에 흥선대원군의 서원철폐령으로 철거되었다가, 1932년 묘우를 복원하고 1971년 서원 건물 전체를 다시 세워 지금의 모습을 갖췄다.
경내의 건물로는 묘우인 경덕묘, 강당인 중정당, 동재 윤회재, 서재 근집재, 외삼문인 준도문이 있다. 이중 중정당은 중앙에 마루를 두고 양쪽에 방을 두었는데 마루를 회합장소로 썼다고 한다. 준도문 바로 앞에 400여 년 묵은 은행나무가 있는데 장현광 선생이 직접 심은 나무로 알려져 있으며 보호수로 지정되어 있다.",,http://www.grandculture.net,경상북도 구미시 수출대로 327-13 (임수동),09:00~18:00,"1월 1일 / 설날, 추석 당일","있음(약 소형 5대, 무료)",경상북도 문화재자료 동락서원강당 (1985.08.05 지정),,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
연악서원,"연악서원은 상주시 지천동에 위치한 조선 후기의 서원이다. 박언성, 김언건(1511~1571), 강응철(1562~1635), 김각(1536~1610), 조광벽(1566~1642), 강용량(1608~1676)을 배향하기 위하여 건립하였다.
박언성은 12세에 할머니 상을 당하여 3년상을 마쳤고, 어머니를 봉양하기 위하여 벼슬도 사양할 정도로 효자였다. 김언건은 1624년(인조 2) 효행으로 읍민이 정표할 것을 청하여 감찰로 증직 되었다. 강응철은 임진왜란이 일어나자 의병을 모집하여 상주를 지켰고, 광해군의 폭정에 분개하여 은퇴하고 독서와 저술로 일생을 보냈다. 김각은 김언건의 아들이다. 임진왜란이 일어나자 상주에서 의병을 일으켜 전과를 올렸다. 조광벽은 류성룡(1542~1607)의 문인으로 임진왜란이 일어나자 창의 하여 공훈을 세웠다. 강용량은 강응철의 아들이다. 병자호란 이후 의리를 지켜 공조참의에 증직 되었다.
연악서원의 사당 창덕사는 정면 3칸, 측면 1칸의 맞배지붕으로, 1987년 서원을 복원하며 지은 건물이다. 박언성, 김언건, 강응철, 김각, 조광벽, 강용량의 위패가 있다. 묘우 정면은 현재 경지로 활용되고 있다. 묘정으로 출입하는 삼문은 솟을대문이다. 강당은 정면 4칸, 측면 2칸의 팔작지붕으로, 가운데 2칸을 어칸으로 하여 우물마루를 시공하였고, 전면에 빗살 사분합문을 두었다. 지천서당의 편액도 함께 걸려 있는 것으로 보아 연악서원이 훼철되고 복원할 때 재원의 부족으로 강당을 신축하지 못하고 지천서당의 건물을 함께 활용하고 있는 것으로 추정된다.",,https://www.sangju.go.kr/tour/main.tc,경상북도 상주시 지천1길 49,상시 개방,연중무휴,가능 (소형 4대),,,무료,있음,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
소암서당,"소암서당은 투암 채몽연(1561~1638), 백포 채무(1588~1670), 극명당 장내범(1563~1640)의 위패를 모시고 제사를 지내는 서원이다. 1703년(숙종 29) 유학자인 장벽, 장세휘, 박정석 등 20여 명이 소암동 팜암바위 뒷산에 사당과 강당을 지어 소암사라하고 같은 해, 1712년(숙종 38)에 투암, 백포 부자를 봉안하였다. 1803년(순조 3)에 서원으로 승격하고 1847년(헌종 13)에는 극명당을 배향하였으나 1871년, 서원 철폐령에 의하여 모두 훼철되었다. 이후 1932년, 강당을 복원하고 이를 소암서당이라 하여 오늘날에 이르고 있다. 강당 대청 상부에는 기문 등이 남아 있다.",,,경상북도 칠곡군 기산면 지산로 807-11 (기산면),상시,연중무휴,"가능
요금 (무료)",,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
문경문화원,"경상북도 문경시 점촌동에 위치하고 있는 문경문화원은 전통유교문화의 계승과 보존, 문경지역 문화예술의 진흥, 발전을 위하여 1971년 3월 30일 사단법인 문경문화원의 설립을 허가받아 문경시민의 전통 문화예술교육과 향유를 위한 활동을 하는 공간이다. 매년 분기별로 시민 대상의 청소년문화사업, 예절교실, 유교문화, 음악, 미술, 스포츠 등의 강좌를 개설, 진행하고 있으며 그 결과물도 함께 공유할 수 있는 공연과 전시의 기회를 제공한다.
또한 부속기관인 향토문화연구소, 문경문화유적회, 전통예술단, 실버공연단의 활동을 지원하고, 문경문화제, 경상감사 교인식 재현 등을 주관한다. 향토문화연구소에서는 1984년부터 2021년까지 총 32권 사료집을 발간하였다. 문경의 역사와 전통, 자연과 경관, 문화와 교육, 산업과 경제, 정치와 행정, 사회 및 인물 등의 모든 분야를 종합적으로 집대성한 책이다.
향토전통문화예술의 계승과 보급은 문경의 과거와 현재를 이어주며 시민의 정서함양과 문화생활로 삶의 질을 높여준다.",,,경상북도 문경시 점촌5길 20,09:00~18:00,토요일 / 일요일 / 공휴일,있음(약 소형 50대),,,,장애인 전용 화장실 있음,,,,,장애인 전용 주차구역 있음(문화원 공영주차장)_무장애 편의시설,,출입구까지 경사로 있어 휠체어 접근 가능함,,,,,,,,,,,"전용면적 1,000여 평",,,,,,,,,,무료,180명,,,,,,,,,,,,,,,,,,,,,,,,"인문교양
음악
미술
웰빙 스포츠
전통 예술"
봉산리사(봉화),"조선 중기 문신인 김종걸(1628∼1708) 선생을 추모하기 위해 사림들이 세운 건물이다. 선생은 학문과 덕행에서 뿐 아니라 효성이 지극하여, 부모님이 병들자 소태산에 올라가 7일 동안 금식 기도를 드렸다. 그 후 약을 구하러 가는 길에 호랑이가 나타나 인도하여 명약을 구해 부모님의 병을 낫게 했다는 일화가 전하고 있다. 그는 죽은 뒤에 이조 참판으로 추대되었다. 정조 17년(1793)에 세운 이 사당은 흥선대원군의 서원철폐령으로 고종 5년(1868) 폐쇄되었다가 1925년 복원하여 오늘에 이르고 있다. 제관실(祭官室)이 딸린 문간채와 一자형의 본채가 어우러져 전체적으로 ㅁ자형을 이루고 있다. 앞쪽에는 선생의 위패를 모신 사당이 자리 잡고 있으며 봄, 가을에 제사를 지내고 있다.
(출처 : 국가유산청)",,https://www.khs.go.kr/main.html,경상북도 봉화군 봉화읍 예봉로 1840,상시,연중무휴,"가능
요금 (무료)",경상북도 문화유산자료 봉산리사 (1985.08.05 지정),,,,,"숭덕사, 봉산당, 신문, 진례문, 주소",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
반암서원,"반암서원은 경상북도 고령군 덕곡면 반성리 원전마을에 있는 조선 후기 서원이다. 반암서원은 정종의 별묘(別廟)였다. 처음에 정구는 1777년 정충사(靖忠祠)에 백촌(白村) 김문기(金文起)와 함께 모셔져 있었으나 1794년 정충사에서 다른 분을 추향 하게 되어 그 해 9월에 이곳으로 이봉(移封)하면서 반암서원이라 현판(懸板)하였다. 1868년(고종 5) 흥선대원군의 서원철폐령에 의해 서원이 철폐(撤廢)되었으며, 이후 반암서당으로 현판 하였다가 건물이 노후하여 1994년에 확대 개축하였다. 서원에는 강당인 반암서당과 뒤쪽에 사당인 세덕사가 있어 전학 후묘(前學後墓)의 배치를 이루고 있다. 사당인 세덕사(世德詞)는 정면 3칸, 측면 2칸 규모의 건물로 맞배지붕 형식이다. 전면에 반 칸의 툇간을 구성하여 의례 공간으로 활용하고 있으며 사당으로서는 보기 드문 다포 형식을 보인다. 어칸에는 2구의 간포, 좌우 협칸에는 1구의 간포를 얹었다. 강당인 숭덕재(崇德齋)는 전체 5칸 중 중앙 2칸에 마루를 두고 좌·우로 온돌방을 설치하였다. 무익공(無翼工) 형식의 건물로 3량 구조이나 방 전면에 툇간을 구성하기 위해 중간에 사잇기둥을 놓았다.",,http://www.seowonstay.com/,경상북도 고령군 덕곡면 원앞길 7,상시,연중무휴,"가능
요금 (무료)",,,무료,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
